"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Aldana Cometti","Argentina","D",1,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Estefania Banini","Argentina","M",2,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Florencia Bonsegundo","Argentina","F",3,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Mariana Larroquette","Argentina","F",4,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Vanina Correa","Argentina","G",5,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Yamila Rodriguez","Argentina","F",6,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Hayley Raso","Australia","F",7,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Caitlin Foord","Australia","F",8,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Ellie Carpenter","Australia","D",9,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Mackenzie Arnold","Australia","G",10,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Kadidiatou Diani","France","F",11,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Steph Catley","Australia","D",12,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Adriana","Brazil","F",13,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Bia Zaneratto","Brazil","F",14,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Debinha","Brazil","F",15,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Geyse","Brazil","F",16,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Kerolin","Brazil","F",17,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Ludmila","Brazil","F",18,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Adriana Leon","Canada","F",19,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Allysha Chapman","Canada","D",20,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Desiree Scott","Canada","M",21,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Julia Grosso","Canada","M",22,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Kadeisha Buchanan","Canada","D",23,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Kailen Sheridan","Canada","G",24,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Lou Jiahui","China PR","D",25,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Wang Shanshan","China PR","F",26,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Wang Shuang","China PR","M",27,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Xiao Yuyi","China PR","F",28,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Yang Lina","China PR","M",29,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Zhu Yu","China PR","G",30,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Carolina Arias","Colombia","D",31,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Catalina Usme","Colombia","F",32,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Daniela Montoya","Colombia","M",33,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Leicy Santos","Colombia","M",34,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Linda Caicedo","Colombia","F",35,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Manuela Vanegas","Colombia","D",36,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Cristin Granados","Costa Rica","M",37,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Katherine Alvarado","Costa Rica","M",38,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Mariana Benavides","Costa Rica","D",39,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Priscila Chinchilla","Costa Rica","M",40,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Raquel Rodriguez","Costa Rica","M",41,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Maria Paula Salas","Costa Rica","F",42,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Kathrine Kuhl","Denmark","M",43,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Katrine Veje","Denmark","D",44,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Lene Christensen","Denmark","G",45,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Signe Bruun","Denmark","F",46,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Karen Holmgaard","Denmark","M",47,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Sofie Svava","Denmark","D",48,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Alessia Russo","England","F",49,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Rachel Daly","England","F",50,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Ella Toone","England","M",51,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Sakina Karchaoui","France","D",52,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Keira Walsh","England","M",53,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Lauren Hemp","England","F",54,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Leah Williamson","England","D",55,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Mary Earps","England","G",56,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Clara Mateo","France","F",57,
"Soccer",2023,"Donruss","FIFA Womens World Cup","Base Set","Eugenie Le Sommer","France","F",58,
