"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2018,"Panini","Eminence","Banner Signatures","Zico","Brazil","M",1,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Diego Forlan","Uruguay","F",3,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Robert Lewandowski","Poland","F",4,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Roberto Baggio","Italy","F",5,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Ronaldo","Brazil","F",6,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Xavi Hernandez","Spain","M",8,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Alvaro Morata","Spain","F",10,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Philippe Coutinho","Brazil","M",12,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Rio Ferdinand","England","D",14,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Paolo Maldini","Italy","D",15,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Javier Hernandez","Mexico","F",17,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Luis Suarez","Uruguay","F",18,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Miroslav Klose","Germany","F",19,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Oliver Kahn","Germany","G",20,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Hugo Sanchez","Mexico","F",22,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Ian Rush","Wales","F",23,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Jorge Campos","Mexico","G",24,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Rivaldo","Brazil","M",25,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Wesley Sneijder","Netherlands","M",26,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Landon Donovan","United States","F",28,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Lionel Messi","Argentina","F",29,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Alan Shearer","England","F",30,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Eric Cantona","France","F",31,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Arturo Vidal","Chile","M",33,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Christian Pulisic","United States","M",34,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Cristiano Ronaldo","Portugal","F",35,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Dennis Bergkamp","Netherlands","F",36,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Franz Beckenbauer","Germany","D",37,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Gabriel Batistuta","Argentina","F",38,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Falcao","Brazil","M",39,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Manuel Neuer","Germany","G",40,10
"Soccer",2018,"Panini","Eminence","Banner Signatures","Mesut Ozil","Germany","M",41,10
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Zico","Brazil","M",1,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Diego Forlan","Uruguay","F",3,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Robert Lewandowski","Poland","F",4,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Roberto Baggio","Italy","F",5,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Ronaldo","Brazil","F",6,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Thierry Henry","France","F",7,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Xavi Hernandez","Spain","M",8,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Alvaro Morata","Spain","F",10,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Philippe Coutinho","Brazil","M",12,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Rio Ferdinand","England","D",14,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Paolo Maldini","Italy","D",15,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Javier Hernandez","Mexico","F",17,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Luis Suarez","Uruguay","F",18,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Miroslav Klose","Germany","F",19,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Oliver Kahn","Germany","G",20,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Hugo Sanchez","Mexico","F",22,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Ian Rush","Wales","F",23,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Jorge Campos","Mexico","G",24,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Rivaldo","Brazil","M",25,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Wesley Sneijder","Netherlands","M",26,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Landon Donovan","United States","F",28,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Lionel Messi","Argentina","F",29,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Alan Shearer","England","F",30,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Eric Cantona","France","F",31,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Arturo Vidal","Chile","M",33,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Christian Pulisic","United States","M",34,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Cristiano Ronaldo","Portugal","F",35,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Dennis Bergkamp","Netherlands","F",36,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Franz Beckenbauer","Germany","D",37,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Gabriel Batistuta","Argentina","F",38,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Falcao","Brazil","M",39,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Manuel Neuer","Germany","G",40,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Gold","Mesut Ozil","Germany","M",41,5
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Zico","Brazil","M",1,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Diego Forlan","Uruguay","F",3,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Robert Lewandowski","Poland","F",4,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Roberto Baggio","Italy","F",5,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Ronaldo","Brazil","F",6,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Thierry Henry","France","F",7,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Xavi Hernandez","Spain","M",8,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Alvaro Morata","Spain","F",10,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Philippe Coutinho","Brazil","M",12,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Rio Ferdinand","England","D",14,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Paolo Maldini","Italy","D",15,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Javier Hernandez","Mexico","F",17,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Luis Suarez","Uruguay","F",18,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Miroslav Klose","Germany","F",19,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Oliver Kahn","Germany","G",20,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Hugo Sanchez","Mexico","F",22,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Ian Rush","Wales","F",23,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Jorge Campos","Mexico","G",24,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Rivaldo","Brazil","M",25,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Wesley Sneijder","Netherlands","M",26,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Landon Donovan","United States","F",28,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Lionel Messi","Argentina","F",29,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Alan Shearer","England","F",30,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Eric Cantona","France","F",31,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Arturo Vidal","Chile","M",33,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Christian Pulisic","United States","M",34,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Cristiano Ronaldo","Portugal","F",35,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Dennis Bergkamp","Netherlands","F",36,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Franz Beckenbauer","Germany","D",37,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Gabriel Batistuta","Argentina","F",38,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Falcao","Brazil","M",39,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Manuel Neuer","Germany","G",40,1
"Soccer",2018,"Panini","Eminence","Banner Signatures Platinum","Mesut Ozil","Germany","M",41,1
"Soccer",2018,"Panini","Eminence","Base Autographs","Sergio Ramos","Spain","D",2,10
"Soccer",2018,"Panini","Eminence","Base Autographs","Cuauhtemoc Blanco","Mexico","F",3,10
"Soccer",2018,"Panini","Eminence","Base Autographs","Raul","Spain","F",4,10
"Soccer",2018,"Panini","Eminence","Base Autographs","Rivaldo","Brazil","M",5,10
