"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Adrien Rabiot","France","M",1,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Alan Shearer","England","F",2,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Ansu Fati","Spain","F",3,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Carles Puyol","Spain","D",5,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Christian Pulisic","United States","M",6,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Cristiano Ronaldo","Portugal","F",7,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","David Beckham","England","M",8,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","David Trezeguet","France","F",9,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Federico Valverde","Uruguay","M",10,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Filippo Inzaghi","Italy","F",11,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Frank Lampard","England","M",12,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Gabriel Batistuta","Argentina","F",13,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Gary Lineker","England","F",14,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Harry Kane","England","F",15,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Jack Grealish","England","M",16,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Jens Lehmann","Germany","G",17,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Jurgen Klinsmann","Germany","F",18,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Kevin De Bruyne","Belgium","M",19,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Lionel Messi","Argentina","F",20,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Luka Modric","Croatia","M",22,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Mason Mount","England","M",23,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Mikel Oyarzabal","Spain","F",24,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Neymar Jr","Brazil","F",25,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Pele","Brazil","F",26,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Joao Felix","Portugal","F",27,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Thierry Henry","France","F",28,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures","Vinicius Jr.","Brazil","F",30,10
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Adrien Rabiot","France","M",1,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Alan Shearer","England","F",2,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Ansu Fati","Spain","F",3,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Carles Puyol","Spain","D",5,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Christian Pulisic","United States","M",6,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Cristiano Ronaldo","Portugal","F",7,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","David Beckham","England","M",8,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","David Trezeguet","France","F",9,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Federico Valverde","Uruguay","M",10,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Filippo Inzaghi","Italy","F",11,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Frank Lampard","England","M",12,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Gabriel Batistuta","Argentina","F",13,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Gary Lineker","England","F",14,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Harry Kane","England","F",15,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Jack Grealish","England","M",16,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Jens Lehmann","Germany","G",17,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Jurgen Klinsmann","Germany","F",18,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Kevin De Bruyne","Belgium","M",19,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Lionel Messi","Argentina","F",20,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Luka Modric","Croatia","M",22,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Mason Mount","England","M",23,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Mikel Oyarzabal","Spain","F",24,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Neymar Jr","Brazil","F",25,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Pele","Brazil","F",26,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Joao Felix","Portugal","F",27,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Thierry Henry","France","F",28,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Gold","Vinicius Jr.","Brazil","F",30,5
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Adrien Rabiot","France","M",1,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Alan Shearer","England","F",2,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Ansu Fati","Spain","F",3,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Carles Puyol","Spain","D",5,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Christian Pulisic","United States","M",6,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Cristiano Ronaldo","Portugal","F",7,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","David Beckham","England","M",8,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","David Trezeguet","France","F",9,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Federico Valverde","Uruguay","M",10,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Filippo Inzaghi","Italy","F",11,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Frank Lampard","England","M",12,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Gabriel Batistuta","Argentina","F",13,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Gary Lineker","England","F",14,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Harry Kane","England","F",15,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Jack Grealish","England","M",16,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Jens Lehmann","Germany","G",17,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Jurgen Klinsmann","Germany","F",18,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Kevin De Bruyne","Belgium","M",19,1
"Soccer",2022,"Panini","Eminence FIFA World Cup Qatar 2022 TM","Banner Signatures Platinum","Lionel Messi","Argentina","F",20,1
