Title,Price,Link,Image Link,Sold Date
Lucas Hernandez AUTO Holo Topps Chrome UEFA 2021/22 Bayern Munich,"109,586.25 VND",https://www.ebay.com/itm/375914985237,https://i.ebayimg.com/images/g/GTUAAOSwfOlnZFBJ/s-l140.jpg,"Sold  Jan 14, 2025"
Topps Finest Champions League 2021 Lucas Hernandez Bayern Auto ,"42,092.57 VND",https://www.ebay.com/itm/335761249815,https://i.ebayimg.com/images/g/dhoAAOSwYLxnfYw0/s-l140.jpg,"Sold  Jan 14, 2025"
2004-05 Guti Hernandez Real Madrid #174 Panini Megacracks La Liga MGK Legend,"513,121.50 VND",https://www.ebay.com/itm/386182635839,https://i.ebayimg.com/images/g/ltYAAOSwZEllJEtR/s-l140.jpg,"Sold  Feb 16, 2025"
2014 Panini Prizm World Cup Stars Red & Blue Plaid Prizms Javier Hernandez #27,"257,850.00 VND",https://www.ebay.com/itm/305126422639,https://i.ebayimg.com/images/g/WKYAAOSwZ9Jk-wPK/s-l140.jpg,"Sold  Dec 20, 2024"
2014 Panini Adrenalyn XL FIFA World Cup Icon Xavi Hernandez Spain,"451,237.50 VND",https://www.ebay.com/itm/267198190720,https://i.ebayimg.com/images/g/8rwAAOSwn0Fn0anX/s-l140.jpg,"Sold  Mar 30, 2025"
2014 Panini Adrenalyn XL FIFA World Cup Game Changer Javier Hernandez Mexico,"51,312.15 VND",https://www.ebay.com/itm/267136811849,https://i.ebayimg.com/images/g/3KwAAOSw8IVnh3O-/s-l140.jpg,"Sold  Feb 2, 2025"
2014 Panini Prizm World Cup Stars R/W/B Power Plaid #35 Xavi Hernandez Spain,"58,016.25 VND",https://www.ebay.com/itm/256811262360,https://i.ebayimg.com/images/g/n4sAAOSw6ednmOSA/s-l140.jpg,"Sold  Feb 16, 2025"
2023-24 Panini Obsidian Soccer Theo Hernandez Galaxy Gear Red Pulsar 48/49,"219,172.50 VND",https://www.ebay.com/itm/375990141017,https://i.ebayimg.com/images/g/urkAAOSwh7dnrGgQ/s-l140.jpg,"Sold  Feb 21, 2025"
2010 Panini Adrenalyn XL FIFA World Cup Limited Xavi Hernandez Spain,"309,420.00 VND",https://www.ebay.com/itm/256781212067,https://i.ebayimg.com/images/g/ug4AAOSwfaFnePLc/s-l140.jpg,"Sold  Jan 19, 2025"
2010 Panini Adrenalyn XL FIFA World Cup Champion Xavi Hernandez Spain,"270,742.50 VND",https://www.ebay.com/itm/256781208759,https://i.ebayimg.com/images/g/62MAAOSweUFnePY1/s-l140.jpg,"Sold  Jan 19, 2025"
2013-14 Panini Adrenalyn Champions League Limited Xavi Hernandez FC Barcelona,"109,586.25 VND",https://www.ebay.com/itm/267150913059,https://i.ebayimg.com/images/g/icQAAOSw~NtnmPYr/s-l140.jpg,"Sold  Feb 16, 2025"
Panini FIFA 365 2024 Sticker No. 424 Cata Coll Olga Carmona Oihane Hernandez,"33,229.13 VND",https://www.ebay.com/itm/236027937118,https://i.ebayimg.com/images/g/JugAAOSwld1lhtyF/s-l140.jpg,"Sold  Apr 5, 2025"
"Panini Prizm World Cup 2014, Team Mexico, Lot 14 Cards, Hernandez, Dos Santos, ","386,517.15 VND",https://www.ebay.com/itm/226523683024,https://i.ebayimg.com/images/g/I4MAAOSwpMFmIVUK/s-l140.jpg,"Sold  Jan 8, 2025"
Merlin’s Premier League 2017 (100 to 199) *Select the Stickers You Need*,"33,229.13 VND",https://www.ebay.com/itm/192490271282,https://i.ebayimg.com/images/g/5sMAAOSwdPtatP3W/s-l140.jpg,"Sold  Apr 2, 2025"
A0829- 2015 Donruss Soccer #s 1-100 +Insert Cards -You Pick- 15+ FREE US SHIP,"25,527.15 VND to 773,292.15 VND",https://www.ebay.com/itm/234664288772,https://i.ebayimg.com/images/g/FqMAAOSwkrNi~nI1/s-l140.jpg,"Sold  Mar 30, 2025"
85-170 Topps Merlin 2017 Premier League stickers,"32,896.84 VND to 99,355.10 VND",https://www.ebay.com/itm/175431100949,https://i.ebayimg.com/images/g/fJ0AAOSwnC5jNFUO/s-l140.jpg,"Sold  Feb 6, 2025"
16/17 Topps Match Attax Premier League Trading Cards  -  Star Player,"32,896.84 VND",https://www.ebay.com/itm/275072971508,https://i.ebayimg.com/images/g/-gAAAOSwdthhwVDV/s-l140.jpg,"Sold  Jan 23, 2025"
Lucas Hernandez AUTO Holo Topps Chrome UEFA 2021/22 Bayern Munich,"109,586.25 VND",https://www.ebay.com/itm/375914985237,https://i.ebayimg.com/images/g/GTUAAOSwfOlnZFBJ/s-l140.jpg,"Sold  Jan 14, 2025"
Topps Finest Champions League 2021 Lucas Hernandez Bayern Auto ,"42,092.57 VND",https://www.ebay.com/itm/335761249815,https://i.ebayimg.com/images/g/dhoAAOSwYLxnfYw0/s-l140.jpg,"Sold  Jan 14, 2025"
2004-05 Guti Hernandez Real Madrid #174 Panini Megacracks La Liga MGK Legend,"513,121.50 VND",https://www.ebay.com/itm/386182635839,https://i.ebayimg.com/images/g/ltYAAOSwZEllJEtR/s-l140.jpg,"Sold  Feb 16, 2025"
2014 Panini Prizm World Cup Stars Red & Blue Plaid Prizms Javier Hernandez #27,"257,850.00 VND",https://www.ebay.com/itm/305126422639,https://i.ebayimg.com/images/g/WKYAAOSwZ9Jk-wPK/s-l140.jpg,"Sold  Dec 20, 2024"
2014 Panini Adrenalyn XL FIFA World Cup Icon Xavi Hernandez Spain,"451,237.50 VND",https://www.ebay.com/itm/267198190720,https://i.ebayimg.com/images/g/8rwAAOSwn0Fn0anX/s-l140.jpg,"Sold  Mar 30, 2025"
2014 Panini Adrenalyn XL FIFA World Cup Game Changer Javier Hernandez Mexico,"51,312.15 VND",https://www.ebay.com/itm/267136811849,https://i.ebayimg.com/images/g/3KwAAOSw8IVnh3O-/s-l140.jpg,"Sold  Feb 2, 2025"
2014 Panini Prizm World Cup Stars R/W/B Power Plaid #35 Xavi Hernandez Spain,"58,016.25 VND",https://www.ebay.com/itm/256811262360,https://i.ebayimg.com/images/g/n4sAAOSw6ednmOSA/s-l140.jpg,"Sold  Feb 16, 2025"
2023-24 Panini Obsidian Soccer Theo Hernandez Galaxy Gear Red Pulsar 48/49,"219,172.50 VND",https://www.ebay.com/itm/375990141017,https://i.ebayimg.com/images/g/urkAAOSwh7dnrGgQ/s-l140.jpg,"Sold  Feb 21, 2025"
2010 Panini Adrenalyn XL FIFA World Cup Limited Xavi Hernandez Spain,"309,420.00 VND",https://www.ebay.com/itm/256781212067,https://i.ebayimg.com/images/g/ug4AAOSwfaFnePLc/s-l140.jpg,"Sold  Jan 19, 2025"
2010 Panini Adrenalyn XL FIFA World Cup Champion Xavi Hernandez Spain,"270,742.50 VND",https://www.ebay.com/itm/256781208759,https://i.ebayimg.com/images/g/62MAAOSweUFnePY1/s-l140.jpg,"Sold  Jan 19, 2025"
2013-14 Panini Adrenalyn Champions League Limited Xavi Hernandez FC Barcelona,"109,586.25 VND",https://www.ebay.com/itm/267150913059,https://i.ebayimg.com/images/g/icQAAOSw~NtnmPYr/s-l140.jpg,"Sold  Feb 16, 2025"
Panini FIFA 365 2024 Sticker No. 424 Cata Coll Olga Carmona Oihane Hernandez,"33,229.13 VND",https://www.ebay.com/itm/236027937118,https://i.ebayimg.com/images/g/JugAAOSwld1lhtyF/s-l140.jpg,"Sold  Apr 5, 2025"
"Panini Prizm World Cup 2014, Team Mexico, Lot 14 Cards, Hernandez, Dos Santos, ","386,517.15 VND",https://www.ebay.com/itm/226523683024,https://i.ebayimg.com/images/g/I4MAAOSwpMFmIVUK/s-l140.jpg,"Sold  Jan 8, 2025"
Merlin’s Premier League 2017 (100 to 199) *Select the Stickers You Need*,"33,229.13 VND",https://www.ebay.com/itm/192490271282,https://i.ebayimg.com/images/g/5sMAAOSwdPtatP3W/s-l140.jpg,"Sold  Apr 2, 2025"
A0829- 2015 Donruss Soccer #s 1-100 +Insert Cards -You Pick- 15+ FREE US SHIP,"25,527.15 VND to 773,292.15 VND",https://www.ebay.com/itm/234664288772,https://i.ebayimg.com/images/g/FqMAAOSwkrNi~nI1/s-l140.jpg,"Sold  Mar 30, 2025"
