Title,Price,Link,Image Link,Sold Date
Santiago Gimezez AC Milan Home Jersey 2025 Size Large #7 With Patches,"1,561,200.00 VND",https://www.ebay.com/itm/365442308297,https://i.ebayimg.com/images/g/tMUAAeSw2xxnyQ26/s-l140.jpg,"Sold  Apr 10, 2025"
Santiago Gimezez AC Milan Jersey Size Large #7 With Patches,"1,561,200.00 VND",https://www.ebay.com/itm/365406072159,https://i.ebayimg.com/images/g/D50AAeSwwoxns--l/s-l140.jpg,"Sold  Mar 8, 2025"
Puma AC Milan Third Soccer Jersey Pink 770401-03 Youth Size XL,"962,479.80 VND",https://www.ebay.com/itm/267199974740,https://i.ebayimg.com/images/g/w7MAAOSwyThn4r-Y/s-l140.jpg,"Sold  Apr 10, 2025"
Puma AC Milan Third Soccer Jersey Pink 770401-03 Youth Size L,"962,479.80 VND",https://www.ebay.com/itm/267199974765,https://i.ebayimg.com/images/g/w7MAAOSwyThn4r-Y/s-l140.jpg,"Sold  Apr 2, 2025"
Puma AC Milan Third Soccer Jersey Gray 775037-03 Youth Size M,"910,439.80 VND",https://www.ebay.com/itm/267172331622,https://i.ebayimg.com/images/g/P0oAAOSwlgJnv-qI/s-l140.jpg,"Sold  Mar 31, 2025"
Kaká AC Milan 2006/07 Retro Jersey - Size Medium,"1,431,100.00 VND",https://www.ebay.com/itm/396387356967,https://i.ebayimg.com/images/g/c-cAAOSwJjxn6uwB/s-l140.jpg,"Sold  Apr 9, 2025"
Ronaldinho AC Milan 2009/10 Retro Jersey - Size Medium ,"1,431,100.00 VND",https://www.ebay.com/itm/396335129398,https://i.ebayimg.com/images/g/Cp0AAOSwWqtnp3t8/s-l140.jpg,"Sold  Apr 7, 2025"
Kaká AC Milan 2006/07 Retro Jersey - Size Medium,"1,431,100.00 VND",https://www.ebay.com/itm/396386505828,https://i.ebayimg.com/images/g/c-cAAOSwJjxn6uwB/s-l140.jpg,"Sold  Mar 31, 2025"
Kaka AC Milan 2006/2007 Retro Soccer Jersey - Size XL,"1,561,200.00 VND",https://www.ebay.com/itm/396333076864,https://i.ebayimg.com/images/g/Bd0AAOSwS0Rnyxf3/s-l140.jpg,"Sold  Mar 24, 2025"
Kaka AC Milan 2006/2007 Retro Soccer Jersey - Size XL,"1,561,200.00 VND",https://www.ebay.com/itm/396290436374,https://i.ebayimg.com/images/g/Bd0AAOSwS0Rnyxf3/s-l140.jpg,"Sold  Mar 16, 2025"
Kaka AC Milan 2006/2007 Retro Soccer Jersey - Size Medium,"1,561,200.00 VND",https://www.ebay.com/itm/396290421851,https://i.ebayimg.com/images/g/qUkAAOSwDYNnyxdW/s-l140.jpg,"Sold  Mar 10, 2025"
Kaka AC Milan 2006/2007 Retro Soccer Jersey - Size Large,"1,561,200.00 VND",https://www.ebay.com/itm/396290429707,https://i.ebayimg.com/images/g/KXMAAOSwRWFnyxev/s-l140.jpg,"Sold  Mar 10, 2025"
Ronaldinho AC Milan 2009/10 Retro Jersey - Size Medium ,"1,431,100.00 VND",https://www.ebay.com/itm/396187860044,https://i.ebayimg.com/images/g/Cp0AAOSwWqtnp3t8/s-l140.jpg,"Sold  Feb 8, 2025"
Adidas Fly Emirates AC Milan 2012 #10 Ibrahimovic Jersey Men's Medium Red Black,"1,378,799.80 VND",https://www.ebay.com/itm/276694838502,https://i.ebayimg.com/images/g/jSIAAOSwkM1mnQSb/s-l140.jpg,"Sold  Apr 9, 2025"
Adidas Fly Emirates AC Milan 2012 Home Jersey Men's Medium Red Black L/S,"1,293,239.45 VND",https://www.ebay.com/itm/135438512239,https://i.ebayimg.com/images/g/SGkAAOSwiYhngltl/s-l140.jpg,"Sold  Jan 31, 2025"
Puma AC Milan Home Soccer Jersey Red 765826-01 Youth Size L,"1,040,539.80 VND",https://www.ebay.com/itm/256873970727,https://i.ebayimg.com/images/g/78kAAOSwZkpn5qrI/s-l140.jpg,"Sold  Apr 9, 2025"
Puma AC Milan Away Soccer Jersey White Red 775018-02 Youth Size L,"910,439.80 VND",https://www.ebay.com/itm/256834655917,https://i.ebayimg.com/images/g/QesAAOSwfBZnv-dQ/s-l140.jpg,"Sold  Mar 24, 2025"
AC Milan 2006/07 Kaka 22 Long Sleeve Soccer Football Futbol Jersey Retro XXL,"2,182,817.80 VND",https://www.ebay.com/itm/396231270679,https://i.ebayimg.com/images/g/Y~kAAeSwS4lnt~4W/s-l140.jpg,"Sold  Apr 9, 2025"
AC Milan 2006/07 Maldini Long Sleeve Soccer Football Futbol Jersey Shirt Retro L,"2,255,934.00 VND",https://www.ebay.com/itm/396402495604,https://i.ebayimg.com/images/g/FcUAAOSwKDZnX2rD/s-l140.jpg,"Sold  Apr 9, 2025"
AC Milan 2006/07 Maldini Long Sleeve Soccer Football Futbol Jersey Shirt Retro L,"2,261,398.20 VND",https://www.ebay.com/itm/396327908611,https://i.ebayimg.com/images/g/FcUAAOSwKDZnX2rD/s-l140.jpg,"Sold  Mar 31, 2025"
AC Milan 2006/07 Maldini Long Sleeve Football Futbol Jersey Shirt Retro Size XL,"2,211,700.00 VND",https://www.ebay.com/itm/396229681568,https://i.ebayimg.com/images/g/S7cAAOSwQp9nI7G6/s-l140.jpg,"Sold  Mar 26, 2025"
AC Milan 2006/07 Kaka 22 Long Sleeve Soccer Football Futbol Jersey Shirt Retro M,"2,211,439.80 VND",https://www.ebay.com/itm/396169800684,https://i.ebayimg.com/images/g/2gQAAOSwxNBmyNkx/s-l140.jpg,"Sold  Mar 26, 2025"
AC Milan 2006/07 Maldini Long Sleeve Soccer Football Futbol Jersey Shirt Retro L,"2,261,398.20 VND",https://www.ebay.com/itm/396281333499,https://i.ebayimg.com/images/g/FcUAAOSwKDZnX2rD/s-l140.jpg,"Sold  Mar 16, 2025"
AC Milan 2006/07 Kaka Long Sleeve Soccer Football Futbol Jersey Shirt Retro XL,"2,174,491.40 VND",https://www.ebay.com/itm/396126777329,https://i.ebayimg.com/images/g/uwwAAOSwdhtmyNkx/s-l140.jpg,"Sold  Mar 16, 2025"
AC Milan 2006/07 Maldini Long Sleeve Soccer Football Futbol Jersey Shirt Retro M,"2,211,700.00 VND",https://www.ebay.com/itm/396039365327,https://i.ebayimg.com/images/g/H7QAAeSwa-tnt1bx/s-l140.jpg,"Sold  Mar 13, 2025"
AC Milan 2006/07 Ronaldo #99 Long Sleeve Soccer Football Futbol Jersey Retro L,"2,172,409.80 VND",https://www.ebay.com/itm/396231348210,https://i.ebayimg.com/images/g/uwwAAOSwdhtmyNkx/s-l140.jpg,"Sold  Mar 13, 2025"
AC Milan 2006/07 Gattuso Long Sleeve Soccer Football Futbol Jersey Shirt Retro S,"2,250,990.20 VND",https://www.ebay.com/itm/396249471927,https://i.ebayimg.com/images/g/YUUAAeSw2WJnvyog/s-l140.jpg,"Sold  Mar 9, 2025"
AC Milan 2006/07 Maldini Long Sleeve Soccer Football Futbol Jersey Shirt Retro L,"2,261,398.20 VND",https://www.ebay.com/itm/396272174571,https://i.ebayimg.com/images/g/FcUAAOSwKDZnX2rD/s-l140.jpg,"Sold  Mar 5, 2025"
AC Milan 2006/07 Kaka 22 Long Sleeve Soccer Football Futbol Jersey Shirt Retro L,"1,821,400.00 VND",https://www.ebay.com/itm/176870346886,https://i.ebayimg.com/images/g/pPMAAOSw9DRnvBHU/s-l500.jpg,"Sold  Mar 3, 2025"
AC Milan 2006/07 Maldini Long Sleeve Soccer Football Futbol Jersey Shirt Retro L,"2,261,398.20 VND",https://www.ebay.com/itm/396229671650,https://i.ebayimg.com/images/g/FcUAAOSwKDZnX2rD/s-l140.jpg,"Sold  Mar 3, 2025"
AC Milan 2006/07 Gattuso Long Sleeve Soccer Football Futbol Jersey Shirt Retro L,"2,250,990.20 VND",https://www.ebay.com/itm/396249467770,https://i.ebayimg.com/images/g/YUUAAeSw2WJnvyog/s-l140.jpg,"Sold  Mar 1, 2025"
AC Milan 2006/07 Kaka 22 Long Sleeve Soccer Football Futbol Jersey Shirt Retro L,"2,201,031.80 VND",https://www.ebay.com/itm/396011505358,https://i.ebayimg.com/images/g/9VYAAOSwj6ZnYLBP/s-l140.jpg,"Sold  Feb 25, 2025"
AC Milan 2006/07 Maldini Long Sleeve Soccer Football Futbol Jersey Shirt Retro S,"2,211,700.00 VND",https://www.ebay.com/itm/396011486852,https://i.ebayimg.com/images/g/g6MAAOSwTV9nX2pu/s-l140.jpg,"Sold  Feb 3, 2025"
AC Milan 2006/07 Kaka 22 Long Sleeve Soccer Football Futbol Jersey Shirt Retro M,"2,211,439.80 VND",https://www.ebay.com/itm/395928911114,https://i.ebayimg.com/images/g/2gQAAOSwxNBmyNkx/s-l140.jpg,"Sold  Feb 2, 2025"
