Title,Price,Link,Image Link,Sold Date
2020-21 Topps Chrome UEFA Champions League Achraf Hakimi Auto #CA-AH,"296,527.50 VND",https://www.ebay.com/itm/126981034857,https://i.ebayimg.com/images/g/I~EAAeSwo9xntjrx/s-l140.jpg,"Sold  Mar 12, 2025"
2020-21 Topps Chrome UEFA Champions League Achraf Hakimi Auto #CA-AH,"219,172.50 VND",https://www.ebay.com/itm/126951275490,https://i.ebayimg.com/images/g/I~EAAeSwo9xntjrx/s-l140.jpg,"Sold  Feb 24, 2025"
ACHRAF HAKIMI 2022 PANINI WORLD CUP BLUE BORDER #MAR6 CGC 9,"25,527.15 VND",https://www.ebay.com/itm/396330388926,https://i.ebayimg.com/images/g/qlwAAOSw3mVn196a/s-l140.jpg,"Sold  Mar 24, 2025"
ACHRAF HAKIMI 2022 PANINI WORLD CUP BLUE BORDER #MAR6 CGC 8.5 (A),"25,527.15 VND",https://www.ebay.com/itm/396330388123,https://i.ebayimg.com/images/g/E8wAAOSwrd9n1-JT/s-l140.jpg,"Sold  Mar 24, 2025"
ACHRAF HAKIMI 2022 PANINI WORLD CUP BLUE BORDER #MAR6 CGC 8.5 (B),"25,527.15 VND",https://www.ebay.com/itm/396330388125,https://i.ebayimg.com/images/g/LR8AAOSwcTtn1-KM/s-l140.jpg,"Sold  Mar 24, 2025"
2023-24 Topps Stadium Club Chrome UEFA Achraf Hakimi Say Cheese Gold /50,"515,442.15 VND",https://www.ebay.com/itm/365226443118,https://i.ebayimg.com/images/g/4UcAAOSwPCJnMsuu/s-l140.jpg,"Sold  Mar 13, 2025"
2023-24 Stadium Club Chrome UEFA Achraf Hakimi Say Cheese! #SC-AH,"25,527.15 VND",https://www.ebay.com/itm/126875134274,https://i.ebayimg.com/images/g/59cAAOSwZihngECG/s-l140.jpg,"Sold  Jan 14, 2025"
ACHRAF HAKIMI 2020 TOPPS STADIUM CLUB CHROME UEFA CHAMPIONS LEAGUE REFRACTOR #93,"25,527.15 VND",https://www.ebay.com/itm/266572847467,https://i.ebayimg.com/images/g/K0oAAOSwjoZiW0A4/s-l140.jpg,"Sold  Feb 7, 2025"
ACHRAF HAKIMI 20-21 TOPPS CHROME UERA CHAMPIONS LEAGUE BLUE REFRACTOR AUTO,"206,280.00 VND",https://www.ebay.com/itm/267182452753,https://i.ebayimg.com/images/g/BxAAAOSwgKFnzFrh/s-l140.jpg,"Sold  Mar 13, 2025"
2021-22 Topps Merlin Chrome UEFA Achraf Hakimi Auto Gold Refractor #48/50,"425,452.50 VND",https://www.ebay.com/itm/375952979318,https://i.ebayimg.com/images/g/2wAAAOSwI4lngYQ3/s-l140.jpg,"Sold  Jan 31, 2025"
2021-22 Topps Merlin Chrome UEFA Achraf Hakimi Auto Gold Refractor #48/50,"376,461.00 VND",https://www.ebay.com/itm/375917189314,https://i.ebayimg.com/images/g/2wAAAOSwI4lngYQ3/s-l140.jpg,"Sold  Jan 15, 2025"
ACHRAF HAKIMI 2020 TOPPS X TYSON BECK GOLD UEFA  AQUA /49 Q3660,"32,231.25 VND",https://www.ebay.com/itm/276827957043,https://i.ebayimg.com/images/g/PPkAAOSwSyNngFh3/s-l140.jpg,"Sold  Jan 30, 2025"
ACHRAF HAKIMI 2020 TOPPS X TYSON BECK GOLD UEFA  AQUA /49 Q3660,"25,785.00 VND",https://www.ebay.com/itm/276811097678,https://i.ebayimg.com/images/g/PPkAAOSwSyNngFh3/s-l140.jpg,"Sold  Jan 16, 2025"
TOPPS STADIUM CHROME UEFA 2023-24 ACHRAF HAKIMI /50 GOLD REFRACTOR SAY CHEESE,"78,644.25 VND",https://www.ebay.com/itm/146414602534,https://i.ebayimg.com/images/g/fe8AAOSw0ctnvlR-/s-l140.jpg,"Sold  Mar 2, 2025"
TOPPS STADIUM CHROME UEFA 2023-24 ACHRAF HAKIMI /50 GOLD REFRACTOR SAY CHEESE,"58,016.25 VND",https://www.ebay.com/itm/146369297046,https://i.ebayimg.com/images/g/TWsAAOSw-YVnoqek/s-l140.jpg,"Sold  Feb 9, 2025"
Achraf Hakimi 2021-22 Topps Museum Collection UEFA Relic Auto Sapphire /75,"773,550.00 VND",https://www.ebay.com/itm/286323854040,https://i.ebayimg.com/images/g/rKcAAeSw4tlnrS0r/s-l140.jpg,"Sold  Feb 28, 2025"
Achraf Hakimi 2021-22 Topps Museum Collection UEFA Autograph Relic Auto Gold /50,"910,700.00 VND",https://www.ebay.com/itm/256788408494,https://i.ebayimg.com/images/g/dPkAAOSwF3Vni3jC/s-l140.jpg,"Sold  Jan 26, 2025"
2021-22 Topps Merlin Collection Chrome UCL Blue Refractor /75 Achraf Hakimi Auto,"462,895.80 VND",https://www.ebay.com/itm/335809941132,https://i.ebayimg.com/images/g/F9IAAeSwO0NnrPgE/s-l140.jpg,"Sold  Apr 4, 2025"
2021-22 Topps Merlin Collection Chrome UCL Blue 61/75 Achraf Hakimi Auto,"481,370.00 VND",https://www.ebay.com/itm/356719650588,https://i.ebayimg.com/images/g/RHkAAOSw2iNn577z/s-l140.jpg,"Sold  Apr 3, 2025"
2021-22 Topps Chrome UCL Chrome Auto Achraf Hakimi #CA-AH Auto,"403,049.80 VND to 575,042.00 VND",https://www.ebay.com/itm/335819205451,https://i.ebayimg.com/images/g/lZIAAeSw2yFn5tqa/s-l140.jpg,"Sold  Mar 24, 2025"
2021-22 Topps Chrome UCL Chrome Autograph Achraf Hakimi #CA-AH PSG *pwe,"115,789.00 VND",https://www.ebay.com/itm/297056777060,https://i.ebayimg.com/images/g/YAcAAOSwrDVnPGhR/s-l140.jpg,"Sold  Mar 2, 2025"
2021-22 Topps Chrome UCL Chrome Auto Achraf Hakimi #CA-AH Auto,"313,020.60 VND to 403,049.80 VND",https://www.ebay.com/itm/235877463196,https://i.ebayimg.com/images/g/FP0AAeSw0SJnobV7/s-l140.jpg,"Sold  Jan 31, 2025"
2018-19 Panini Donruss Rated Rookie Achraf Hakimi #181 Rookie RC,"25,759.80 VND",https://www.ebay.com/itm/256843320579,https://i.ebayimg.com/images/g/rzEAAeSwWyhnx5SJ/s-l140.jpg,"Sold  Mar 13, 2025"
2018-19 Panini Donruss Rated Optic Orange /99 Achraf Hakimi #181 Rookie RC,"724,657.00 VND",https://www.ebay.com/itm/235830794590,https://i.ebayimg.com/images/g/TK8AAOSwz6RnNknF/s-l140.jpg,"Sold  Feb 1, 2025"
2022-23 Futera Paris Saint-Germain Season Review Purple 9/9 Achraf Hakimi #SRP05,"92,371.00 VND",https://www.ebay.com/itm/335807144285,https://i.ebayimg.com/images/g/kwgAAeSwmf9nqnjf/s-l140.jpg,"Sold  Feb 24, 2025"
2022-23 Futera Paris Saint-Germain Season Review Silver /15 Achraf Hakimi #SRP05,"32,525.00 VND",https://www.ebay.com/itm/235913138623,https://i.ebayimg.com/images/g/q2QAAOSwDgZnhb51/s-l140.jpg,"Sold  Jan 23, 2025"
2022-2023 Topps Gold Achraf Hakimi Paris Saint-Germain /99,"28,489.30 VND",https://www.ebay.com/itm/256871553925,https://i.ebayimg.com/images/g/yZAAAeSwzVJnyF86/s-l140.jpg,"Sold  Apr 2, 2025"
2022-2023 Topps Gold Achraf Hakimi Paris Saint-Germain /25,"185,180.44 VND",https://www.ebay.com/itm/256844179303,https://i.ebayimg.com/images/g/4yoAAeSwwBhnyF98/s-l140.jpg,"Sold  Mar 12, 2025"
Achraf Hakimi - Topps PSG Premium Red Parallel #04/05,"1,054,104.03 VND",https://www.ebay.com/itm/316493801834,https://i.ebayimg.com/images/g/CQoAAOSwHdVn1Egh/s-l140.jpg,"Sold  Mar 24, 2025"
Achraf Hakimi - Topps PSG Premium Red Parallel 1/5,"726,761.99 VND",https://www.ebay.com/itm/316361569927,https://i.ebayimg.com/images/g/7xMAAOSwQKpnuhEa/s-l140.jpg,"Sold  Mar 1, 2025"
Achraf Hakimi - Topps PSG Premium Relic Black 09/10,"470,073.42 VND",https://www.ebay.com/itm/316330413136,https://i.ebayimg.com/images/g/O8MAAOSw1VZnthQ~/s-l140.jpg,"Sold  Feb 24, 2025"
Achraf Hakimi - Topps PSG Premium 10/10,"441,584.12 VND",https://www.ebay.com/itm/316330554706,https://i.ebayimg.com/images/g/jtYAAOSwn0ZnthY8/s-l140.jpg,"Sold  Feb 24, 2025"
Achraf Hakimi 2024-25 Topps UCC Superstar Memorabilia Relic GU Patch Red 5/5,"1,431,100.00 VND",https://www.ebay.com/itm/256859759649,https://i.ebayimg.com/images/g/s3IAAOSwg99n1bfs/s-l140.jpg,"Sold  Mar 23, 2025"
Achraf Hakimi 2024-25 Topps UCC Superstar Memorabilia Relic Orange /25,"365,060.60 VND",https://www.ebay.com/itm/256773706587,https://i.ebayimg.com/images/g/RrYAAOSwzshneSFA/s-l140.jpg,"Sold  Jan 12, 2025"
TOPPS PREMIUM TEAM SET 2023-24 ACHRAF HAKIMI /49 SILVER PSG,"110,585.00 VND",https://www.ebay.com/itm/146443348178,https://i.ebayimg.com/images/g/mkoAAOSwLjNn0MrT/s-l140.jpg,"Sold  Mar 16, 2025"
TOPPS PREMIUM TEAM SET 2023-24 ACHRAF HAKIMI /49 SILVER PSG,"51,779.80 VND",https://www.ebay.com/itm/146437618768,https://i.ebayimg.com/images/g/LO8AAOSwx95nzNFx/s-l140.jpg,"Sold  Mar 13, 2025"
2024 Futera Unique World Football Achraf Hakimi Trio Defender 14/21 Game Worn,"390,300.00 VND",https://www.ebay.com/itm/376031031868,https://i.ebayimg.com/images/g/P-QAAOSwnXRnwZ4U/s-l140.jpg,"Sold  Mar 8, 2025"
2024 Futera Unique World Football Achraf Hakimi Legacy Emerald 07/09 Game Worn,"169,130.00 VND",https://www.ebay.com/itm/376028182208,https://i.ebayimg.com/images/g/ELMAAOSwW3lnwEyS/s-l140.jpg,"Sold  Mar 7, 2025"
Achraf Hakimi - Topps PSG Premium Bronze Auto 14/25,"868,923.59 VND",https://www.ebay.com/itm/316395861953,https://i.ebayimg.com/images/g/dBYAAOSwi2xnv4u0/s-l140.jpg,"Sold  Mar 8, 2025"
Achraf Hakimi - Topps PSG Premium Bronze Patch Relic 02/25,"441,584.12 VND",https://www.ebay.com/itm/316395801464,https://i.ebayimg.com/images/g/cKQAAOSwvbtnv4hB/s-l140.jpg,"Sold  Mar 8, 2025"
Achraf Hakimi - Topps PSG Premium Auto Relic 3/5,"2,848,929.80 VND",https://www.ebay.com/itm/316361564199,https://i.ebayimg.com/images/g/epsAAOSwF2hnug92/s-l140.jpg,"Sold  Mar 1, 2025"
Achraf Hakimi - Topps PSG Premium Auto Relic 04/10,"1,182,305.87 VND",https://www.ebay.com/itm/316361458167,https://i.ebayimg.com/images/g/mJgAAOSwS55nug38/s-l140.jpg,"Sold  Mar 1, 2025"
2024 Futera Unique World Football Achraf Hakimi Silver 19/69 #015 Morocco,"25,759.80 VND",https://www.ebay.com/itm/376028182326,https://i.ebayimg.com/images/g/O6QAAOSwordnvsaB/s-l140.jpg,"Sold  Mar 6, 2025"
2024 Futera Unique World Football Achraf Hakimi Topaz 44/62 #015 Morocco,"25,759.80 VND",https://www.ebay.com/itm/376028182206,https://i.ebayimg.com/images/g/HxoAAOSwwCxnvf56/s-l140.jpg,"Sold  Mar 6, 2025"
Achraf Hakimi - Topps PSG Premium Relic Black 05/10,"498,562.72 VND",https://www.ebay.com/itm/316330401441,https://i.ebayimg.com/images/g/XAgAAOSwWO5nthHb/s-l140.jpg,"Sold  Feb 24, 2025"
Achraf Hakimi - Topps PSG Premium Auto Relic 07/10,"754,966.40 VND",https://www.ebay.com/itm/316330403563,https://i.ebayimg.com/images/g/XAgAAOSwWO5nthHb/s-l140.jpg,"Sold  Feb 24, 2025"
Achraf Hakimi 1/5 - Premium Red Autograph - Topps PSG 2023/24,"2,051,229.46 VND",https://www.ebay.com/itm/316222471325,https://i.ebayimg.com/images/g/SQYAAOSwdlNnmXCt/s-l140.jpg,"Sold  Feb 16, 2025"
Achraf Hakimi 3/5 - Premium Autograph - Topps PSG 2023/24,"1,794,825.77 VND",https://www.ebay.com/itm/316174737251,https://i.ebayimg.com/images/g/ghwAAOSwyolnnVaA/s-l140.jpg,"Sold  Feb 7, 2025"
Achraf Hakimi 14/15 - Premium Black Autograph - Topps PSG 2023/24,"1,153,816.57 VND",https://www.ebay.com/itm/316171930980,https://i.ebayimg.com/images/g/2N8AAOSwRFpnm-Kd/s-l140.jpg,"Sold  Feb 6, 2025"
Achraf Hakimi 1/5 - Premium Red Autograph - Topps PSG 2023/24,"3,063,169.32 VND",https://www.ebay.com/itm/316167316551,https://i.ebayimg.com/images/g/SQYAAOSwdlNnmXCt/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 Topps Paris Saint-Germain Official Team Set Achraf Hakimi Parallel PSG,"28,489.30 VND",https://www.ebay.com/itm/335784267697,https://i.ebayimg.com/images/g/7EgAAOSwZs9nlP8o/s-l140.jpg,"Sold  Feb 1, 2025"
2023-24 Topps Paris Saint-Germain Official Team ACHRAF HAKIMI Icy Parallel PSG,"28,489.30 VND",https://www.ebay.com/itm/335784257125,https://i.ebayimg.com/images/g/HYQAAOSwpm9nlP19/s-l140.jpg,"Sold  Feb 1, 2025"
Achraf Hakimi 2023-24 Topps Premium Black and White PSG Premium Relic /49,"273,210.00 VND",https://www.ebay.com/itm/256773407039,https://i.ebayimg.com/images/g/sJ4AAOSwjRFndiKx/s-l140.jpg,"Sold  Jan 12, 2025"
Achraf Hakimi 2023-24 Topps Premium Black and White PSG Premium Auto Green /30,"780,600.00 VND",https://www.ebay.com/itm/256773407078,https://i.ebayimg.com/images/g/M4MAAOSwyddndjv6/s-l140.jpg,"Sold  Jan 12, 2025"
Achraf Hakimi 2023-24 Topps Premium Black and White PSG Premium Auto On Card /49,"637,490.00 VND",https://www.ebay.com/itm/256773407081,https://i.ebayimg.com/images/g/HUcAAOSwArtnd0z3/s-l140.jpg,"Sold  Jan 12, 2025"
