Title,Price,Link,Image Link,Sold Date
2023-24 Topps Chrome UEFA Women Ada Hegerberg Inferno Auto /75,"1,289,250.00 VND",https://www.ebay.com/itm/296867597403,https://i.ebayimg.com/images/g/kicAAOSwoM9nU6mi/s-l500.jpg,"Sold  Apr 6, 2025"
2023-24 Topps Chrome UEFA Women Ada Hegerberg Red Mojo Auto #/125,"1,546,842.15 VND",https://www.ebay.com/itm/176631336704,https://i.ebayimg.com/images/g/JT8AAOSwk5tnDwZB/s-l140.jpg,"Sold  Nov 11, 2024"
2023 Donruss Womens World Cup | 216 Ada Hegerberg Norway | RC SP Silver Fresh!,"154,710.00 VND",https://www.ebay.com/itm/296013169419,https://i.ebayimg.com/images/g/UcoAAOSwQollPatr/s-l140.jpg,"Sold  Mar 27, 2025"
2023 Womens World Cup | Ada Hegerberg Norway | RC SP Base!,"180,495.00 VND",https://www.ebay.com/itm/296934830695,https://i.ebayimg.com/images/g/Y0sAAOSwgydngDqL/s-l140.jpg,"Sold  Feb 9, 2025"
2023-24 Topps Chrome Sapphire UEFA Women's Ada Hegerberg refractor Gold #/50,"83,801.25 VND",https://www.ebay.com/itm/376066215729,https://i.ebayimg.com/images/g/7rkAAeSw0DBn0yJq/s-l140.jpg,"Sold  Mar 18, 2025"
2022 Topps Chrome Sapphire UEFA Women's Ada Hegerberg RC Orange #16/25,"954,045.00 VND",https://www.ebay.com/itm/126986364967,https://i.ebayimg.com/images/g/srQAAeSw9ptnzzJe/s-l140.jpg,"Sold  Mar 15, 2025"
2022 Topps Chrome Sapphire UEFA Women's Ada Hegerberg Selections RC #SS-9,"141,817.50 VND",https://www.ebay.com/itm/126986364968,https://i.ebayimg.com/images/g/NLcAAeSw~SJnzzIK/s-l140.jpg,"Sold  Mar 15, 2025"
2022 Topps Chrome Sapphire UEFA Women's Ada Hegerberg RC #100b,"25,527.15 VND",https://www.ebay.com/itm/126963921878,https://i.ebayimg.com/images/g/TNUAAeSwmldnv3Sm/s-l140.jpg,"Sold  Mar 3, 2025"
2023-24 Topps Chrome Sapphire UEFA Women's Ada Hegerberg Base Auto / OL Lyon,"257,592.15 VND",https://www.ebay.com/itm/176867163347,https://i.ebayimg.com/images/g/IDYAAOSwlgJnupZU/s-l140.jpg,"Sold  Mar 3, 2025"
2023-24 Topps Chrome Sapphire UWCL Ada Hegerberg Auto Gold /50 Lyon,"1,300,739.80 VND",https://www.ebay.com/itm/405364932702,https://i.ebayimg.com/images/g/xzMAAOSwUslnO2lR/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Topps Chrome UEFA Women's Ada Hegerberg  Gold /50 - Olympique Lyon,"231,807.15 VND",https://www.ebay.com/itm/176864992848,https://i.ebayimg.com/images/g/nPAAAOSwcSpnuVfc/s-l140.jpg,"Sold  Feb 24, 2025"
2023-24 Topps Chrome UEFA Women's Ada Hegerberg Gold Auto /50 - Olympique Lyon,"386,517.15 VND",https://www.ebay.com/itm/176864972575,https://i.ebayimg.com/images/g/SgcAAOSw9KRnuVOK/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 Topps Chrome UEFA Women's Ada Hegerberg Orange /25 - OL Lyon,"515,442.15 VND",https://www.ebay.com/itm/176794183136,https://i.ebayimg.com/images/g/AVgAAOSwAmBnidtg/s-l140.jpg,"Sold  Jan 16, 2025"
2023 Topps Chrome UEFA Women’S Champions League Ada Hegerberg /25 PSA 10,"3,352,050.00 VND",https://www.ebay.com/itm/356432119711,https://i.ebayimg.com/images/g/hqcAAOSwrmRneAAV/s-l140.jpg,"Sold  Apr 6, 2025"
2022 Topps Chrome Sapphire UEFA Women's Champions League Ada Hegerberg RC #100b,"77,355.00 VND",https://www.ebay.com/itm/376010656306,https://i.ebayimg.com/images/g/jykAAeSwARZnt19t/s-l140.jpg,"Sold  Feb 25, 2025"
ADA HEGERBERG 2023 TOPPS CHROME UEFA WOMEN'S SAPPHIRE B AUTO Q0757,"219,172.50 VND",https://www.ebay.com/itm/276881212723,https://i.ebayimg.com/images/g/nwYAAeSwcbJntQqN/s-l140.jpg,"Sold  Feb 25, 2025"
ADA HEGERBERG 2023 TOPPS CHROME UEFA WOMEN'S SAPPHIRE A AUTO Q0757,"232,065.00 VND",https://www.ebay.com/itm/276881212872,https://i.ebayimg.com/images/g/zdwAAeSwB9NntQrQ/s-l140.jpg,"Sold  Feb 25, 2025"
Ada Hegerberg 2023-24 Topps Inception UEFA Star Quality Blue 43/49 [dbK71,"83,801.25 VND",https://www.ebay.com/itm/376108518357,https://i.ebayimg.com/images/g/fMYAAOSwYcBn53qT/s-l140.jpg,"Sold  Apr 2, 2025"
Ada Hegerberg 2023-24 Topps Inception UEFA Star Quality Auto Blue 30/49 [dbJ36,"528,592.50 VND",https://www.ebay.com/itm/376108182324,https://i.ebayimg.com/images/g/BMAAAOSwvlZn14ZR/s-l140.jpg,"Sold  Apr 2, 2025"
Ada Hegerberg 2023-24 Topps Inception UEFA Star Quality Auto Blue 30/49 [dbJ36,"374,913.90 VND",https://www.ebay.com/itm/376075324699,https://i.ebayimg.com/images/g/BMAAAOSwvlZn14ZR/s-l140.jpg,"Sold  Mar 21, 2025"
Ada Hegerberg 2023-24 Topps Inception UEFA Star Quality Auto Pink 24/75 [dbJ36,"193,387.50 VND",https://www.ebay.com/itm/376075254521,https://i.ebayimg.com/images/g/bOIAAOSwI-hn13zz/s-l140.jpg,"Sold  Mar 21, 2025"
Ada Hegerberg 2023-24 Topps Inception UEFA Star Quality Green 98/99 [dbI95,"25,785.00 VND",https://www.ebay.com/itm/376066950502,https://i.ebayimg.com/images/g/a~cAAOSwAj1n05BD/s-l140.jpg,"Sold  Mar 18, 2025"
Ada Hegerberg 2023-24 Topps Inception UEFA Star Quality Auto Pink 30/75 [dbK81,"352,050.60 VND",https://www.ebay.com/itm/376124740785,https://i.ebayimg.com/images/g/j3UAAOSwJZRn7eqz/s-l140.jpg,"Sold  Apr 7, 2025"
2023-24 Topps Inception UEFA Ada Hegerberg Autograph Pink 55/75 Norway Lyonnais,"232,065.00 VND",https://www.ebay.com/itm/365490368372,https://i.ebayimg.com/images/g/RrcAAOSwI31n50ZW/s-l140.jpg,"Sold  Apr 2, 2025"
2023-24 Topps Inception UEFA Ada Hegerberg Autograph Green 44/99 Norway Lyonnais,"270,742.50 VND",https://www.ebay.com/itm/365336209823,https://i.ebayimg.com/images/g/77QAAOSwW8lngcrX/s-l140.jpg,"Sold  Jan 15, 2025"
Ada Hegerberg 2024 Topps Chrome UEFA Women's Champions Sapphire Selections[xm25,"58,016.25 VND",https://www.ebay.com/itm/375958731692,https://i.ebayimg.com/images/g/prgAAOSw6kdnmuev/s-l140.jpg,"Sold  Feb 3, 2025"
Ada Hegerberg 2024 Topps Chrome UEFA Women's Champions Sapphire Selections[xm25,"25,785.00 VND",https://www.ebay.com/itm/375958717506,https://i.ebayimg.com/images/g/A-MAAOSwDn5nmuPx/s-l140.jpg,"Sold  Feb 3, 2025"
2023-24 Topps Inception UEFA Ada Hegerberg Star Quality OL #43,"25,785.00 VND",https://www.ebay.com/itm/405571831047,https://i.ebayimg.com/images/g/qSoAAeSw0w1nrP~q/s-l140.jpg,"Sold  Feb 27, 2025"
2023-24 Topps UCC Inception Ada Hegerberg Star Quality #43,"133,899.70 VND",https://www.ebay.com/itm/176713254775,https://i.ebayimg.com/images/g/X4MAAOSwvXZnB8d-/s-l140.jpg,"Sold  Feb 16, 2025"
Topps Inception UCC 2023/24 Ada Hegerberg Green Parallel Auto  /99,"520,139.80 VND",https://www.ebay.com/itm/335735380295,https://i.ebayimg.com/images/g/1IUAAOSwr8lnYldY/s-l140.jpg,"Sold  Feb 14, 2025"
Topps Inception UCC 2023/24 Ada Hegerberg Green Parallel Auto 35/99,"248,491.00 VND",https://www.ebay.com/itm/356613576733,https://i.ebayimg.com/images/g/WkcAAOSwEJhnvAib/s-l140.jpg,"Sold  Mar 3, 2025"
2023-24 Topps Chrome Women Ada Hegerberg Autograph Fierce 18/75 Norway Lyonnais,"325,250.00 VND",https://www.ebay.com/itm/176809163712,https://i.ebayimg.com/images/g/2JcAAOSw4UZnjV0A/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Topps Chrome Sapphire Ada Hegerberg Autograph Black 8/10 Norway Lyonnais,"1,427,717.40 VND",https://www.ebay.com/itm/365388849908,https://i.ebayimg.com/images/g/1DEAAOSwvaVnqUjq/s-l140.jpg,"Sold  Feb 14, 2025"
2023-24 Topps Chrome Sapphire Ada Hegerberg Autograph Black 8/10 Norway Lyonnais,"1,182,348.80 VND",https://www.ebay.com/itm/365363946477,https://i.ebayimg.com/images/g/ob8AAOSwmltnlYJB/s-l140.jpg,"Sold  Feb 1, 2025"
2023-24 Topps Chrome Sapphire Ada Hegerberg Autograph Black 8/10 Norway Lyonnais,"1,327,020.00 VND",https://www.ebay.com/itm/365342089678,https://i.ebayimg.com/images/g/5FIAAOSwHdBnhb9Y/s-l140.jpg,"Sold  Jan 20, 2025"
ADA HEGERBERG 2024 Topps Chrome UWCL Sapphire Auto ORANGE /25 PSA 10 GEM *cc,"1,353,040.00 VND",https://www.ebay.com/itm/156648730692,https://i.ebayimg.com/images/g/~NcAAOSwOsxnkB04/s-l140.jpg,"Sold  Jan 28, 2025"
ADA HEGERBERG 2024 Topps Chrome UWCL Sapphire Auto GOLD /50 PSA 9 Mint *cc,"1,014,519.80 VND",https://www.ebay.com/itm/167266965166,https://i.ebayimg.com/images/g/IfEAAOSwUqxnkBcN/s-l140.jpg,"Sold  Jan 28, 2025"
Match Attax Champions League 2024-25 Extra PL 8 Platinum Pull Ada Hegerberg,"199,425.09 VND",https://www.ebay.com/itm/297187510896,https://i.ebayimg.com/images/g/53wAAOSwnEdnshuS/s-l500.jpg,"Sold  Apr 10, 2025"
Match Attax Champions League 2024-25 Extra PL 8 Platinum Pull Ada Hegerberg,"199,425.09 VND",https://www.ebay.com/itm/297025009687,https://i.ebayimg.com/images/g/53wAAOSwnEdnshuS/s-l140.jpg,"Sold  Feb 26, 2025"
TOPPS WOMENS CHROME SAPPHIRE 23/24 ADA HEGERBERG OLYMPIQUE LYONNAIS AUTO A-AH,"283,539.94 VND",https://www.ebay.com/itm/156791222056,https://i.ebayimg.com/images/g/n6YAAOSw8m9n1CCW/s-l140.jpg,"Sold  Mar 23, 2025"
TOPPS CHROME SAPPHIRE WOMENS 2023/24 ADA HEGERBERG OLYMPIQUE LYONNAIS AUTO 4/5.,"3,836,128.60 VND",https://www.ebay.com/itm/156674552830,https://i.ebayimg.com/images/g/STUAAOSwZ71no4hk/s-l140.jpg,"Sold  Mar 9, 2025"
