Title,Price,Link,Image Link,Sold Date
Alejandro Bedoya Union 2022 Topps Finest MLS Soccer Auto AQUA Refractor SP /75,"206,022.15 VND",https://www.ebay.com/itm/256574300225,https://i.ebayimg.com/images/g/1UkAAOSwoDpmgHWl/s-l140.jpg,"Sold  Mar 23, 2025"
Alejandro Bedoya Union 2022 Topps Finest MLS Soccer Auto AQUA Refractor SP /75,"206,280.00 VND",https://www.ebay.com/itm/176770967420,https://i.ebayimg.com/images/g/XAUAAOSwr0VneDHR/s-l140.jpg,"Sold  Feb 23, 2025"
Alejandro Bedoya 5/5 Ruby Patch Auto 2022 Topps MLS Renaissance Soccer Card,"631,732.50 VND",https://www.ebay.com/itm/297118060868,https://i.ebayimg.com/images/g/B7QAAeSwlDFn1d5k/s-l140.jpg,"Sold  Mar 20, 2025"
Alejandro Bedoya 03/20 Patch Auto 2022 Topps MLS Renaissance Soccer Card,"399,667.50 VND",https://www.ebay.com/itm/296921677685,https://i.ebayimg.com/images/g/UXsAAOSwBqNneF1u/s-l140.jpg,"Sold  Jan 8, 2025"
Alejandro Bedoya PHI 2024 Topps FINEST MLS 3 Case (24 Box) Player Break #2,"27,060.80 VND",https://www.ebay.com/itm/167423311398,https://i.ebayimg.com/images/g/iQ8AAOSwEF5n7E2Q/s-l500.jpg,"Sold  Apr 9, 2025"
Alejandro Bedoya PHI 2024 Topps FINEST MLS 3 Case (24 Box) Player Break #1,"25,759.80 VND",https://www.ebay.com/itm/167421069957,https://i.ebayimg.com/images/g/iQ8AAOSwEF5n7E2Q/s-l500.jpg,"Sold  Apr 6, 2025"
2022 Topps Finest Aqua #57 Alejandro Bedoya 17/75 - Philadelphia Union,"104,080.00 VND",https://www.ebay.com/itm/375908532855,https://i.ebayimg.com/images/g/884AAOSw8odnfDkC/s-l140.jpg,"Sold  Jan 8, 2025"
2022 Finest MLS Base Purple #57 Alejandro Bedoya /250 - Philadelphia Union,"51,779.80 VND",https://www.ebay.com/itm/314779978002,https://i.ebayimg.com/images/g/028AAOSwaPpk37DG/s-l140.jpg,"Sold  Jan 31, 2025"
2022 Topps Renaissance MLS Auto Relics #9/20 Alejandro Bedoya #AR-AB5 Union,"650,500.00 VND",https://www.ebay.com/itm/146437215414,https://i.ebayimg.com/images/g/Jr0AAOSwLjNnzIGY/s-l140.jpg,"Sold  Mar 10, 2025"
2022 Topps Renaissance MLS Auto Relics /20 Alejandro Bedoya #AR-AB3 Auto,"634,888.00 VND",https://www.ebay.com/itm/235951520116,https://i.ebayimg.com/images/g/8D0AAeSw1cRnqVL5/s-l140.jpg,"Sold  Mar 6, 2025"
Alejandro Bedoya 2022 Topps MLS Renaissance Soccer On Card Red Auto SP /10,"644,367.15 VND",https://www.ebay.com/itm/256861544688,https://i.ebayimg.com/images/g/0TkAAeSwMeJn2KCe/s-l140.jpg,"Sold  Mar 31, 2025"
2022 Topps Finest Major League Soccer Alejandro Bedoya Refractor Auto,"25,527.15 VND",https://www.ebay.com/itm/226661458116,https://i.ebayimg.com/images/g/AaYAAOSwsLBmgzQt/s-l140.jpg,"Sold  Mar 30, 2025"
2022 Topps Chrome MLS Soccer Alejandro Bedoya Aqua Lava Parallel /299 Union,"51,570.00 VND",https://www.ebay.com/itm/334683308663,https://i.ebayimg.com/images/g/t2gAAOSwaxhjrlCs/s-l140.jpg,"Sold  Jan 20, 2025"
