Title,Price,Link,Image Link,Sold Date
"Aleksandar Dragovic, Austria, Original Autograph","56,978.60 VND",https://www.ebay.com/itm/267175996539,https://i.ebayimg.com/images/g/JqgAAOSwStFnxILg/s-l140.jpg,"Sold  Mar 29, 2025"
"Aleksandar Dragovic, Austria, Original Autograph","34,187.16 VND",https://www.ebay.com/itm/265761231984,https://i.ebayimg.com/images/g/KSsAAOSwxGlivxHU/s-l140.jpg,"Sold  Mar 21, 2025"
"Aleksandar Dragovic, Austria, Bayer Leverkusen, original autograph","28,489.30 VND",https://www.ebay.com/itm/265818505582,https://i.ebayimg.com/images/g/BWoAAOSw~C5i79Sk/s-l140.jpg,"Sold  Mar 21, 2025"
"Aleksandar Dragovic, Austria, Autograph Original","71,223.25 VND",https://www.ebay.com/itm/266357652421,https://i.ebayimg.com/images/g/tbYAAOSwZvxky0pU/s-l140.jpg,"Sold  Mar 15, 2025"
2020 Panini Select UEFA Euro Tiger Aleksandar Dragovic Austria World Cup,"464,130.00 VND",https://www.ebay.com/itm/394357213802,https://i.ebayimg.com/images/g/KCwAAOSw3jRjh3KM/s-l500.jpg,"Sold  Feb 18, 2025"
ALEKSANDAR DRAGOVIC 2020 SELECT UEFA CAMO 38/60,"257,592.15 VND",https://www.ebay.com/itm/234719890402,https://i.ebayimg.com/images/g/gk4AAOSweZVjLNpz/s-l500.jpg,"Sold  Feb 18, 2025"
2020 PANINI SELECT UEFA EURO TERRAACE RED ALEKSANDAR DRAGOVIC AUSTRIA #95,"25,527.15 VND",https://www.ebay.com/itm/387627388665,https://i.ebayimg.com/images/g/YYgAAOSwbuRnO4AN/s-l140.jpg,"Sold  Feb 18, 2025"
Aleksandar Dragovic 2020 Select UEFA Euro Soccer Purple Prizm #/79 SSP Austria,"127,635.75 VND",https://www.ebay.com/itm/324741658384,https://i.ebayimg.com/images/g/REIAAOSw2jZhDCYu/s-l140.jpg,"Sold  Feb 18, 2025"
Aleksandar Dragovic - Autograph Card - Hand Signed - Football - Austria Vienna,"99,712.54 VND",https://www.ebay.com/itm/267209040615,https://i.ebayimg.com/images/g/j5kAAOSwrrNnzX~v/s-l140.jpg,"Sold  Apr 4, 2025"
Aleksandar Dragovic Signed Bayer Leverkusen Club Card,"33,024.06 VND",https://www.ebay.com/itm/187064283851,https://i.ebayimg.com/images/g/v7UAAOSweqplfwa1/s-l140.jpg,"Sold  Mar 27, 2025"
Aleksandar Dragovic Austria Leverkusen Signed Autographed 20x28 Photo ,"284,608.09 VND",https://www.ebay.com/itm/361843874715,https://i.ebayimg.com/images/g/jt0AAOSwj85YQN53/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Prizm Euro 2016 Aleksandar Dragovic Austria Austria Purple 78/99,"142,161.60 VND",https://www.ebay.com/itm/265797683154,https://i.ebayimg.com/images/g/yEEAAOSwDgFi3~rx/s-l140.jpg,"Sold  Feb 26, 2025"
