Title,Price,Link,Image Link,Sold Date
ALEX SANDRO 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2053,"39,030.00 VND",https://www.ebay.com/itm/356674869803,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 16, 2025"
ALEX SANDRO 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2034,"39,030.00 VND",https://www.ebay.com/itm/356639413243,https://i.ebayimg.com/images/g/yzQAAOSwWsVnwkKI/s-l140.jpg,"Sold  Mar 6, 2025"
ALEX SANDRO 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2032,"39,030.00 VND",https://www.ebay.com/itm/356626038543,https://i.ebayimg.com/images/g/2qYAAOSwURBnvN3m/s-l140.jpg,"Sold  Mar 2, 2025"
Alex Sandro - 2023-24 Immaculate Soccer Int'l - 3X Box Player BREAK #7,"64,789.80 VND",https://www.ebay.com/itm/297105278004,https://i.ebayimg.com/images/g/7v4AAeSw6c1n0Oj1/s-l140.jpg,"Sold  Mar 14, 2025"
Alex Sandro - 2023-24 Immaculate Soccer Int'l - 3X Box Player BREAK #6,"64,789.80 VND",https://www.ebay.com/itm/235997231789,https://i.ebayimg.com/images/g/Zh0AAeSwFhdnzj6a/s-l140.jpg,"Sold  Mar 12, 2025"
Alex Sandro Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"64,789.80 VND",https://www.ebay.com/itm/235961729350,https://i.ebayimg.com/images/g/vfoAAOSwi7xnsoSK/s-l140.jpg,"Sold  Feb 23, 2025"
Alex Sandro Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"64,789.80 VND",https://www.ebay.com/itm/235957517782,https://i.ebayimg.com/images/g/UiEAAOSw50Rnrpst/s-l140.jpg,"Sold  Feb 20, 2025"
FIFA SCORE CARD 2021-22 3D JUVENTUS NO 10 DE LIE ALEX SANDRO DANILO,"282,217.96 VND",https://www.ebay.com/itm/356544524838,https://i.ebayimg.com/images/g/0KAAAOSwWxlnpium/s-l140.jpg,"Sold  Feb 14, 2025"
2022 Panini FIFA World Cup Sticker ALEX SANDRO (BRA 5)PURPLE Border Rare To Find,"773,292.15 VND",https://www.ebay.com/itm/305763585573,https://i.ebayimg.com/images/g/D2MAAOSwBP9mgEbT/s-l140.jpg,"Sold  Jan 25, 2025"
2020 Panini Topps Match Attax 2019 Champions League ALEX SANDRO Card,"42,092.57 VND",https://www.ebay.com/itm/254566416294,https://i.ebayimg.com/images/g/pbMAAOSwxuJekbOt/s-l140.jpg,"Sold  Jan 4, 2022"
2022-23 Topps Chrome Juventus Team Set First Team Auto Alex Sandro #FT-AS,"156,120.00 VND",https://www.ebay.com/itm/236019641059,https://i.ebayimg.com/images/g/sVIAAeSwHzRn4fQk/s-l140.jpg,"Sold  Apr 2, 2025"
Alex Sandro BRA 2.OS 2012 Football Photo ORIGINAL,"227,914.38 VND",https://www.ebay.com/itm/396155982061,https://i.ebayimg.com/images/g/LwUAAOSw2rFnl~JX/s-l140.jpg,"Sold  Apr 1, 2025"
Alex Sandro Match Worn Unwashed Juventus Serie A Jersey Worn,"9,572,404.13 VND",https://www.ebay.com/itm/187035518580,https://i.ebayimg.com/images/g/qZAAAOSwN5pm5YV1/s-l140.jpg,"Sold  Mar 18, 2025"
2022-23 Topps Chrome Alex Sandro Juventus Team Set Auto Gold 40/50 5291,"520,139.80 VND",https://www.ebay.com/itm/187018980955,https://i.ebayimg.com/images/g/KsUAAOSwgoRnx~qJ/s-l140.jpg,"Sold  Mar 18, 2025"
2019/20 JUVENTUS ALEX SANDRO COLLECTION STICKER FIGURE #90 ALBUM 2020,"28,489.30 VND",https://www.ebay.com/itm/303876484617,https://i.ebayimg.com/images/g/KKQAAOSwDVVgHWfW/s-l140.jpg,"Sold  Feb 28, 2025"
Branco / Alex Sandro - Brazil - Futera Unique - Dual Match Worn Patch - /17,"223,496.19 VND",https://www.ebay.com/itm/405475589389,https://i.ebayimg.com/images/g/dI8AAOSwV6VnhYQH/s-l140.jpg,"Sold  Jan 21, 2025"
