Title,Price,Link,Image Link,Sold Date
panini champions league 2014-2015 Alexis Sanchez #52,"28,250.05 VND",https://www.ebay.com/itm/315977310815,https://i.ebayimg.com/images/g/9JYAAOSw5jRnPQZs/s-l140.jpg,"Sold  Apr 4, 2025"
panini champions league 2014-2015 Alexis Sanchez #52,"28,250.05 VND",https://www.ebay.com/itm/315977310815,https://i.ebayimg.com/images/g/9JYAAOSw5jRnPQZs/s-l500.jpg,"Sold  Apr 4, 2025"
PANINI SELECT FIFA SOCCER 2022-23 ALEXIS SANCHEZ /25 CHILE,"194,390.41 VND",https://www.ebay.com/itm/365475976040,https://i.ebayimg.com/images/g/1rIAAeSwZiln3szS/s-l140.jpg,"Sold  Mar 29, 2025"
PANINI SELECT FIFA SOCCER 2022-23 ALEXIS SANCHEZ /20 CHILE,"85,731.15 VND",https://www.ebay.com/itm/365475974780,https://i.ebayimg.com/images/g/micAAeSwN4Zn3sxo/s-l140.jpg,"Sold  Mar 29, 2025"
PANINI SELECT FIFA SOCCER 2022-23 ALEXIS SANCHEZ /49 CHILE,"73,104.08 VND",https://www.ebay.com/itm/365475971059,https://i.ebayimg.com/images/g/r1kAAeSw1oBn3svp/s-l140.jpg,"Sold  Mar 29, 2025"
2023-24 Panini Impeccable Premier League Alexis Sanchez Masterstrokes Auto /99,"1,598,670.00 VND",https://www.ebay.com/itm/365469128752,https://i.ebayimg.com/images/g/oycAAOSw0bhn2kYA/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Impeccable Premier League Alexis Sanchez Masterstrokes Auto /99,"1,830,735.00 VND",https://www.ebay.com/itm/365446815352,https://i.ebayimg.com/images/g/IEUAAOSw01hny7JJ/s-l140.jpg,"Sold  Mar 14, 2025"
2023-24 Panini Impeccable Premier League Alexis Sanchez Masterstrokes Auto /99,"1,572,885.00 VND",https://www.ebay.com/itm/365427728119,https://i.ebayimg.com/images/g/xagAAOSwitdnv9r4/s-l140.jpg,"Sold  Mar 3, 2025"
/30 Alexis Sanchez 2023/24 Panini Immaculate Soccer Shadowbox Auto Ruby SSP,"4,897,860.75 VND",https://www.ebay.com/itm/297117263252,https://i.ebayimg.com/images/g/kGwAAOSw75dn1ZnN/s-l140.jpg,"Sold  Mar 19, 2025"
/30 Alexis Sanchez 2023/24 Panini Immaculate Soccer Shadowbox Auto Ruby SSP,"4,897,860.75 VND",https://www.ebay.com/itm/297110461560,https://i.ebayimg.com/images/g/nPQAAOSwnENn0vfV/s-l140.jpg,"Sold  Mar 13, 2025"
Alexis Sanchez 2023 Daka Soccer On Card Autograph Auto /79 Chile & Udinese,"1,289,250.00 VND",https://www.ebay.com/itm/376018060427,https://i.ebayimg.com/images/g/G0wAAeSwcSJnu05p/s-l140.jpg,"Sold  Apr 5, 2025"
2016-17 Panini Noir Soccer Alexis Sanchez Base /75 Black & White Chile #16,"902,475.00 VND",https://www.ebay.com/itm/316601426930,https://i.ebayimg.com/images/g/Mg4AAOSwnVtn8A9r/s-l140.jpg,"Sold  Apr 5, 2025"
2016-17 Panini Select Soccer National Pride Camo Alexis Sanchez 03/20,"670,410.00 VND",https://www.ebay.com/itm/365494323497,https://i.ebayimg.com/images/g/4b8AAOSwojtn6Vzf/s-l140.jpg,"Sold  Apr 4, 2025"
2023-24 Copa America Prizm Soccer #46 Alexis Sanchez Purple Pulsar /49,"309,420.00 VND",https://www.ebay.com/itm/405330288267,https://i.ebayimg.com/images/g/Mq4AAOSwIjVnKs6k/s-l140.jpg,"Sold  Apr 3, 2025"
Panini C127 Score Ligue 1 2022-23 Score Team #26 - Alexis Sanchez,"169,217.78 VND",https://www.ebay.com/itm/256040456158,https://i.ebayimg.com/images/g/xkgAAOSwXK5kKyjh/s-l140.jpg,"Sold  Oct 30, 2023"
2014 Panini Adrenalyn XL FIFA World Cup Alexis Sanchez Chile,"360,990.00 VND",https://www.ebay.com/itm/256868257151,https://i.ebayimg.com/images/g/yZkAAOSw-thn0aXE/s-l140.jpg,"Sold  Mar 30, 2025"
2014-15 Panini Adrenalyn Champions League Limited Alexis Sanchez Arsenal,"58,016.25 VND",https://www.ebay.com/itm/267198183303,https://i.ebayimg.com/images/g/qikAAOSwKVxn0YMj/s-l140.jpg,"Sold  Mar 30, 2025"
PANINI SELECT SOCCER 2016-17 ALEXIS SANCHEZ /99 WHITE ARSENAL CHILE,"241,908.06 VND",https://www.ebay.com/itm/365476408630,https://i.ebayimg.com/images/g/EB8AAOSw6-NngkNY/s-l140.jpg,"Sold  Mar 29, 2025"
TOPPS UEFA CHAMPIONS LEAGUE 2016-17 ALEXIS SANCHEZ /50 ARSENAL,"167,474.81 VND",https://www.ebay.com/itm/365476367697,https://i.ebayimg.com/images/g/AAwAAeSw2BBn3uvI/s-l140.jpg,"Sold  Mar 29, 2025"
2021-22 Panini Mosaic FIFA Road to World Cup Genesis Prizm Alexis Sanchez #166,"148,263.75 VND",https://www.ebay.com/itm/256862670623,https://i.ebayimg.com/images/g/8FIAAeSwWTFn2fXq/s-l140.jpg,"Sold  Mar 26, 2025"
2014 Panini Prizm World Cup Alexis Sanchez #45,"36,099.00 VND to 68,845.95 VND",https://www.ebay.com/itm/235958458335,https://i.ebayimg.com/images/g/fEsAAeSw7Ghn1a9E/s-l140.jpg,"Sold  Mar 12, 2025"
2023-24 Panini Impeccable Premier League Masterstrokes /99 Alexis Sanchez Auto,"3,526,872.30 VND",https://www.ebay.com/itm/335847659541,https://i.ebayimg.com/images/g/pCsAAeSwxohnyX4P/s-l140.jpg,"Sold  Mar 9, 2025"
2022 Panini National Treasures Road to FIFA World Cup Ruby 24/25 Alexis Sanchez,"195,966.00 VND",https://www.ebay.com/itm/256832808742,https://i.ebayimg.com/images/g/W2EAAeSwe3tnvlTs/s-l140.jpg,"Sold  Mar 5, 2025"
Alexis Sanchez /5 Donruss Elite Fifa,"847,501.38 VND",https://www.ebay.com/itm/286364734728,https://i.ebayimg.com/images/g/zzgAAeSwJzFnv2w9/s-l140.jpg,"Sold  Mar 5, 2025"
Alexis Sanchez 2021-22 Panini Chronicles Serie A Soccer Blue 63/99 [kzk11,"32,231.25 VND",https://www.ebay.com/itm/376029685850,https://i.ebayimg.com/images/g/STAAAOSw1spnwRqG/s-l140.jpg,"Sold  Mar 4, 2025"
2023-24 Panini Select Serie A ALEXIS SANCHEZ Signature Auto Tie-Dyed /15 SPP SP,"2,037,015.00 VND",https://www.ebay.com/itm/387581352153,https://i.ebayimg.com/images/g/X14AAOSwe7FnKc77/s-l140.jpg,"Sold  Mar 3, 2025"
2023-24 ALEXIS SANCHEZ /25 Impeccable Premier League AUTO - ARSENAL!,"1,830,735.00 VND",https://www.ebay.com/itm/176869666292,https://i.ebayimg.com/images/g/Qo8AAeSwu0RnslBo/s-l140.jpg,"Sold  Mar 2, 2025"
2022-23 Panini Select Soccer #111 Alexis Sanchez Purple Mojo Prizm Chile,"51,570.00 VND",https://www.ebay.com/itm/226577628473,https://i.ebayimg.com/images/g/egUAAOSwTANnnu2M/s-l140.jpg,"Sold  Feb 17, 2025"
