Title,Price,Link,Image Link,Sold Date
2024-25 Panini Donruss Soccer - Amara Diouf 190 Rated Rookie Blue /99,"257,850.00 VND",https://www.ebay.com/itm/405726993596,https://i.ebayimg.com/images/g/avwAAeSwt5Jn8KhQ/s-l140.jpg,"Sold  Apr 5, 2025"
2024-25 Panini Donruss Soccer - Amara Diouf 190 Rated Rookie Blue /99,"257,850.00 VND",https://www.ebay.com/itm/405726993596,https://i.ebayimg.com/images/g/avwAAeSwt5Jn8KhQ/s-l500.jpg,"Sold  Apr 5, 2025"
2024-25 Donruss FIFA Amara Diouf Pink Velocity Optic Rated Rookie #190 SP /99 RC,"902,217.15 VND",https://www.ebay.com/itm/405698259054,https://i.ebayimg.com/images/g/Y4gAAOSw7C5n5Kis/s-l140.jpg,"Sold  Mar 28, 2025"
2024-25 Donruss FIFA - Pink Velocity Optic Rated Rookie #190 Amara Diouf /99,"902,475.00 VND",https://www.ebay.com/itm/286406584351,https://i.ebayimg.com/images/g/H4MAAeSw6L9nveeu/s-l140.jpg,"Sold  Mar 18, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Optic Rated Rookie BLUE Prizm 071/149 Senegal,"409,981.50 VND",https://www.ebay.com/itm/286438854954,https://i.ebayimg.com/images/g/f6kAAOSwyxFn487k/s-l140.jpg,"Sold  Mar 26, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Optic Rated Rookie BLUE Prizm 032/149 Senegal,"409,981.50 VND",https://www.ebay.com/itm/286318420208,https://i.ebayimg.com/images/g/QHIAAOSwfC9nqvIr/s-l140.jpg,"Sold  Mar 26, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Optic Rated Rookie Red Prizm 231/299 Senegal,"281,056.50 VND",https://www.ebay.com/itm/286360259528,https://i.ebayimg.com/images/g/Xm0AAOSwRLhnvWJG/s-l140.jpg,"Sold  Mar 26, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Optic Rated Rookie RED FOIL #98/99 Senegal,"109,586.25 VND",https://www.ebay.com/itm/205342672821,https://i.ebayimg.com/images/g/pbYAAeSwH2Vnzesa/s-l140.jpg,"Sold  Mar 16, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Optic Rated Rookie BLUE Prizm #/149 Senegal,"109,328.40 VND",https://www.ebay.com/itm/205333062258,https://i.ebayimg.com/images/g/GukAAeSwebBnt0DQ/s-l140.jpg,"Sold  Mar 9, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Rated Rookie Blue Cubic 67/99 Senegal,"135,113.40 VND",https://www.ebay.com/itm/176886658193,https://i.ebayimg.com/images/g/EXQAAeSwD-5nw8bG/s-l140.jpg,"Sold  Mar 8, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Rated Rookie RED 51/99 Senegal,"435,766.50 VND",https://www.ebay.com/itm/286361282724,https://i.ebayimg.com/images/g/e74AAOSwsUFnvc04/s-l140.jpg,"Sold  Mar 5, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Optic Rated Rookie BLUE Prizm #55/149 Senegal,"51,312.15 VND",https://www.ebay.com/itm/205316362955,https://i.ebayimg.com/images/g/PwUAAeSwfxNnvfwf/s-l140.jpg,"Sold  Mar 2, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Optic Rated Rookie BLUE Prizm 139/149 Senegal,"309,420.00 VND",https://www.ebay.com/itm/286341551840,https://i.ebayimg.com/images/g/mi4AAeSwNJNntRON/s-l140.jpg,"Sold  Feb 19, 2025"
AMARA DIOUF 2024-25 Donruss FIFA Optic Rated Rookie BLUE Prizm /149 Senegal *ab,"167,602.50 VND",https://www.ebay.com/itm/167290661034,https://i.ebayimg.com/images/g/3r8AAOSwCr1nn-Gk/s-l140.jpg,"Sold  Feb 9, 2025"
2024-25 Panini Donruss Soccer Cubic Amara Diouf #190 Senegal,"154,452.15 VND",https://www.ebay.com/itm/116507908958,https://i.ebayimg.com/images/g/nCcAAeSwihRnyPeq/s-l140.jpg,"Sold  Mar 26, 2025"
2024-25 Panini Donruss Soccer Cubic Amara Diouf #190 Senegal Barcelona,"128,667.15 VND",https://www.ebay.com/itm/176818123719,https://i.ebayimg.com/images/g/JlAAAOSwwTBnnp7C/s-l140.jpg,"Sold  Feb 8, 2025"
2024-25 Donruss Optic Soccer Holo Prizm Rated Rookie #190 Amara Diouf - Senegal,"154,452.15 VND",https://www.ebay.com/itm/286385490352,https://i.ebayimg.com/images/g/LBwAAeSwb91nyNAn/s-l140.jpg,"Sold  Mar 12, 2025"
"2024-25 Donruss Soccer Rated Rookies #190 Amara Diouf, Senegal","25,527.15 VND",https://www.ebay.com/itm/235928912093,https://i.ebayimg.com/images/g/dUkAAOSwcaBnlDur/s-l140.jpg,"Sold  Feb 16, 2025"
Amara Diouf 2024-25 Panini Donruss Soccer FIFA Rated Rookie Red 68/99 [dbH46,"180,495.00 VND",https://www.ebay.com/itm/376032413285,https://i.ebayimg.com/images/g/oDoAAOSwH8pnwnVr/s-l140.jpg,"Sold  Mar 5, 2025"
Amara Diouf 2024-25 Panini Donruss Optic FIFA Rated Rookie Red 265/299 [dbH46,"25,785.00 VND",https://www.ebay.com/itm/376032382206,https://i.ebayimg.com/images/g/V0MAAOSw7a9nwnF1/s-l140.jpg,"Sold  Mar 5, 2025"
Amara Diouf 2024-25 Panini Donruss Soccer Optic Rated Rookie Silver [dbH22,"25,785.00 VND",https://www.ebay.com/itm/375992018868,https://i.ebayimg.com/images/g/9ycAAOSw2ElnrXK8/s-l140.jpg,"Sold  Feb 17, 2025"
2024-2025 Donruss FIFA Soccer  Amara Diouf SP RED ROOKIE /99 SSP,"51,312.15 VND",https://www.ebay.com/itm/205311545758,https://i.ebayimg.com/images/g/4g4AAeSwZPdnt0GV/s-l140.jpg,"Sold  Mar 2, 2025"
2024-2025 Donruss FIFA Soccer Amara Diouf SP SILVER ROOKIE #314/349 Rookie,"51,312.15 VND",https://www.ebay.com/itm/205315725146,https://i.ebayimg.com/images/g/IjAAAeSwH~pnvfpb/s-l140.jpg,"Sold  Mar 2, 2025"
2024-25 Donruss Soccer Amara Diouf Rated Rookie Holo Optic #190 Senegal,"128,667.15 VND",https://www.ebay.com/itm/396163726412,https://i.ebayimg.com/images/g/HUQAAOSw-ERnnErc/s-l140.jpg,"Sold  Feb 16, 2025"
2024-25 Donruss Soccer Amara Diouf Rated Rookie Holo Optic #190 Senegal,"51,570.00 VND",https://www.ebay.com/itm/296979038949,https://i.ebayimg.com/images/g/o7cAAOSw3Ndnmnjb/s-l140.jpg,"Sold  Feb 8, 2025"
2024-25 Donruss Soccer Rated Rookie Amara Diouf 25/25,"3,322,912.95 VND",https://www.ebay.com/itm/156677881388,https://i.ebayimg.com/images/g/XJYAAOSwbchnpOVy/s-l140.jpg,"Sold  Feb 6, 2025"
2024-25 Donruss Soccer Rated Rookie Amara Diouf 25/25,"1,661,456.48 VND",https://www.ebay.com/itm/156677762813,https://i.ebayimg.com/images/g/XJYAAOSwbchnpOVy/s-l140.jpg,"Sold  Feb 6, 2025"
"2024-25 Donruss Soccer Rookie Kings RED #14 Amara Diouf, Senegal","25,527.15 VND",https://www.ebay.com/itm/296979651173,https://i.ebayimg.com/images/g/A24AAOSwxC5nnoX0/s-l140.jpg,"Sold  Feb 6, 2025"
"2024-25 Donruss Soccer The Rookies RED #10 Amara Diouf, Senegal","25,527.15 VND",https://www.ebay.com/itm/296978311352,https://i.ebayimg.com/images/g/W-sAAOSwuVlnnZV9/s-l140.jpg,"Sold  Feb 5, 2025"
2024-25 Donruss Soccer Rated Rookie Amara Diouf #190 Silver 182/349 Senegal,"83,801.25 VND",https://www.ebay.com/itm/167278904037,https://i.ebayimg.com/images/g/PSoAAOSweYRnl~Za/s-l140.jpg,"Sold  Feb 1, 2025"
2024-25 Donruss Soccer Rated Rookie Amara Diouf #190 Silver 265/349 Senegal,"412,302.15 VND",https://www.ebay.com/itm/186913983333,https://i.ebayimg.com/images/g/dKcAAOSwEHNnlkIb/s-l140.jpg,"Sold  Jan 29, 2025"
2024-25 Panini Donruss Optic Amara Diouf Gold #/10 rookie rc 5/10 Fifa,"3,957,997.50 VND",https://www.ebay.com/itm/365439917275,https://i.ebayimg.com/images/g/0dEAAOSwlgJnx6Mc/s-l140.jpg,"Sold  Mar 11, 2025"
Amara Diouf 2024-25 Donruss Fifa /99,"257,850.00 VND",https://www.ebay.com/itm/126961854700,https://i.ebayimg.com/images/g/YZkAAOSwbXVnvfhi/s-l140.jpg,"Sold  Feb 25, 2025"
2024-25 Panini Donruss Soccer - Senegal Amara Diouf Optic Rated Rookie Refractor,"51,570.00 VND",https://www.ebay.com/itm/405539508376,https://i.ebayimg.com/images/g/Fx0AAeSwr9tnq9pT/s-l140.jpg,"Sold  Feb 24, 2025"
2024-2025 Donruss FIFA Amara Diouf Red /99 SSP 🔥💎,"1,031,400.00 VND",https://www.ebay.com/itm/306097693886,https://i.ebayimg.com/images/g/XUUAAOSw3R1npnB-/s-l140.jpg,"Sold  Feb 8, 2025"
2024-25 Panini Donruss FIFA Amara Diouf RARE Blue Rated Rookie RC SSP /49 ⭐️MINT,"2,578,242.15 VND",https://www.ebay.com/itm/226577081916,https://i.ebayimg.com/images/g/IuAAAOSw~NdnnmYO/s-l140.jpg,"Sold  Feb 1, 2025"
2024-25 Donruss Soccer Amara Diouf RC Teal Rated Rookie /199 #190,"167,602.50 VND",https://www.ebay.com/itm/267139671761,https://i.ebayimg.com/images/g/ShoAAOSwEKxnmo9P/s-l140.jpg,"Sold  Feb 1, 2025"
2024-25 Panini Donruss Optic FIFA Blue Amara Diouf  /149,"206,280.00 VND",https://www.ebay.com/itm/156660756826,https://i.ebayimg.com/images/g/BzYAAOSwyzBnmYuf/s-l140.jpg,"Sold  Jan 29, 2025"
