Title,Price,Link,Image Link,Sold Date
Andres Iniesta 2024-25 Topps UEFA UCC Soccer Hobby 1X Case Player Break #10,"51,312.15 VND",https://www.ebay.com/itm/236029871955,https://i.ebayimg.com/images/g/R1wAAeSwdNhn6gx1/s-l140.jpg,"Sold  Apr 4, 2025"
Andres Iniesta 2024-25 Topps UEFA UCC Soccer Hobby 1X Case Player Break #9,"154,710.00 VND",https://www.ebay.com/itm/297162911352,https://i.ebayimg.com/images/g/tsUAAeSw1u9n6Lrm/s-l140.jpg,"Sold  Apr 3, 2025"
2021 Topps Finest UEFA Marc-Andre ter Stegen Auto Gold #28/50,"393,221.25 VND",https://www.ebay.com/itm/376098679186,https://i.ebayimg.com/images/g/UoAAAeSwh~hn4xQr/s-l140.jpg,"Sold  Mar 30, 2025"
2021 Topps Finest UEFA Marc-Andre ter Stegen Auto #BA-MT,"244,957.50 VND",https://www.ebay.com/itm/127014192387,https://i.ebayimg.com/images/g/hmAAAeSw6XFn4xQ7/s-l140.jpg,"Sold  Mar 30, 2025"
2014 Panini Adrenalyn XL FIFA World Cup Icon Andres Iniesta Spain,"502,807.50 VND",https://www.ebay.com/itm/256868254745,https://i.ebayimg.com/images/g/cIIAAOSwSh1n0anL/s-l140.jpg,"Sold  Mar 30, 2025"
2010 Panini Adrenalyn XL World Cup Limited Edition Andres Iniesta Spain #YPM,"25,527.15 VND",https://www.ebay.com/itm/197130747734,https://i.ebayimg.com/images/g/H0YAAOSwe9ln3Aft/s-l140.jpg,"Sold  Mar 25, 2025"
TOPPS FINEST UEFA 2021-22 MARC-ANDRE TER STEGEN /25 AUTO ORANGE REFRACTOR,"799,335.00 VND",https://www.ebay.com/itm/146468513187,https://i.ebayimg.com/images/g/IucAAOSw2LJn31Dr/s-l140.jpg,"Sold  Mar 27, 2025"
TOPPS FINEST UEFA 2021-22 MARC-ANDRE TER STEGEN /25 AUTO ORANGE WAVE REFRACTOR,"902,475.00 VND",https://www.ebay.com/itm/146468512334,https://i.ebayimg.com/images/g/tQAAAOSwBGtn31DN/s-l140.jpg,"Sold  Mar 27, 2025"
Andre Onana 2023-24 Panini Select Premier League Soccer Patch Silver [dbJ32,"83,801.25 VND",https://www.ebay.com/itm/376088623611,https://i.ebayimg.com/images/g/VfwAAOSwyZln3hXT/s-l140.jpg,"Sold  Mar 26, 2025"
Andre Onana 2023-24 Panini Select Premier League Soccer Silver Autograph #S-AO ,"58,274.10 VND",https://www.ebay.com/itm/335866754161,https://i.ebayimg.com/images/g/77MAAeSwlYZn2HIY/s-l140.jpg,"Sold  Mar 24, 2025"
TOPPS CHROME UEFA EURO 2024 ANDRES INIESTA /150 BLUE REFRACTOR Dream Big SPAIN,"51,312.15 VND",https://www.ebay.com/itm/146460874254,https://i.ebayimg.com/images/g/VPgAAOSw0Jdn2gav/s-l140.jpg,"Sold  Mar 23, 2025"
TOPPS CHROME UEFA EURO 2024 ANDRES INIESTA /125 YELLOW REFRACTOR DREAM BIG SPAIN,"51,312.15 VND",https://www.ebay.com/itm/146460874054,https://i.ebayimg.com/images/g/9LoAAOSw28pn2gab/s-l140.jpg,"Sold  Mar 23, 2025"
PANINI SELECT LA LIGA 2022-23 MARC-ANDRE TER STEGEN 20/20 WHITE FIELD LEVEL,"502,807.50 VND",https://www.ebay.com/itm/146460872119,https://i.ebayimg.com/images/g/VFAAAOSwECRn2gYP/s-l140.jpg,"Sold  Mar 23, 2025"
PANINI SELECT LA LIGA 2022-23 MARC-ANDRE TER STEGEN /35 TIE DYE FIELD LEVEL,"489,915.00 VND",https://www.ebay.com/itm/146460872009,https://i.ebayimg.com/images/g/QDQAAOSw1tNn2gX8/s-l140.jpg,"Sold  Mar 23, 2025"
2024-25 Topps UEFA Club Competitions #153 Marc-Andre Ter Stegen Barcelona Pink,"70,908.75 VND",https://www.ebay.com/itm/388164151372,https://i.ebayimg.com/images/g/1cMAAeSwVDpn52SU/s-l140.jpg,"Sold  Apr 4, 2025"
ANDRES INIESTA 2014 Panini Prizm FIFA World Cup #177 Base Card *5 LOT* SPAIN J1,"51,312.15 VND",https://www.ebay.com/itm/167416024768,https://i.ebayimg.com/images/g/bF0AAOSwNPFn6WQ6/s-l140.jpg,"Sold  Apr 4, 2025"
TOPPS CHAMPIONS LEAGUE 2024/25 - Sticker No. 161 - MARC-ANDRE TER STEGEN,"28,250.05 VND",https://www.ebay.com/itm/205143623364,https://i.ebayimg.com/images/g/tV0AAOSw~kVnTzLH/s-l140.jpg,"Sold  Apr 4, 2025"
2016-17 Panini Select Soccer Field Level White Andres Iniesta 09/99 Barcelona,"386,517.15 VND",https://www.ebay.com/itm/365494413468,https://i.ebayimg.com/images/g/K~EAAOSwYbln6O53/s-l140.jpg,"Sold  Apr 4, 2025"
2016-17 Panini Select Soccer National Pride Camo Andres Iniesta 03/20,"928,260.00 VND",https://www.ebay.com/itm/365494317659,https://i.ebayimg.com/images/g/aU0AAOSwygRn6Wfa/s-l140.jpg,"Sold  Apr 4, 2025"
2024-25 Topps Match Attax Champions League Barcelona 137 Marc-Andre Ter Stegen,"28,250.05 VND",https://www.ebay.com/itm/176559308301,https://i.ebayimg.com/images/g/sC0AAOSw45Zm2GCi/s-l140.jpg,"Sold  Sep 29, 2024"
2024-25 Panini Donruss Fifa - The Rookies Andres Montano #15 Red,"51,312.15 VND",https://www.ebay.com/itm/396369304889,https://i.ebayimg.com/images/g/D4wAAeSwGodn5X6C/s-l140.jpg,"Sold  Apr 3, 2025"
2024-25 Topps UCL UEFA Soccer Historic Captains Lots 8 Andres Iniesta,"58,016.25 VND",https://www.ebay.com/itm/365489351033,https://i.ebayimg.com/images/g/vV4AAOSwonFn5puy/s-l140.jpg,"Sold  Apr 3, 2025"
World Soccer Magazine April 2011 Andres Iniesta Barcelona - Qatar World Cup ,"386,517.15 VND",https://www.ebay.com/itm/405500053545,https://i.ebayimg.com/images/g/cxQAAOSwgQ5nlBAZ/s-l140.jpg,"Sold  Apr 3, 2025"
"2024 Topps Finest MLS Soccer #95 Andre Blake, Philadelphia Union","25,527.15 VND",https://www.ebay.com/itm/236036619107,https://i.ebayimg.com/images/g/84MAAOSwnfhn7tZd/s-l140.jpg,"Sold  Apr 3, 2025"
1998-99 Merlin TORE ANDRE FLO (CHELSEA) Rainbow Gold Foil insert soccer card #B9,"256,560.75 VND",https://www.ebay.com/itm/374027286976,https://i.ebayimg.com/images/g/lgwAAOSwf79iXMQ3/s-l140.jpg,"Sold  Apr 3, 2025"
2018 Panini Eminence Soccer Gold Andre Pirlo Match-Worn Patch Gold Ink AUTO 1/5,"14,955,300.00 VND",https://www.ebay.com/itm/365485201931,https://i.ebayimg.com/images/g/6RgAAOSwwTRn5Ebg/s-l140.jpg,"Sold  Apr 2, 2025"
Andres Iniesta Barcelona Soccer Autographed 8x10 Photo Signed COA AUTHENTIC,"1,237,680.00 VND",https://www.ebay.com/itm/187055637164,https://i.ebayimg.com/images/g/q6QAAeSwC9tn2Lbr/s-l140.jpg,"Sold  Apr 2, 2025"
2023-24 Panini Donruss FIFA - Base Card #97 Andre Onana - Manchester United,"6,446.25 VND",https://www.ebay.com/itm/356710826409,https://i.ebayimg.com/images/g/eEgAAeSwkW9n2raa/s-l140.jpg,"Sold  Apr 2, 2025"
2022 Select FIFA Marc-Andre ter Stegen Purple #53/75,"40,740.30 VND",https://www.ebay.com/itm/376104260901,https://i.ebayimg.com/images/g/0lUAAeSwGN5n5bAV/s-l140.jpg,"Sold  Apr 1, 2025"
2024-25 TOPPS NOW UEFA CLUB COMPETITIONS /2218 #2 ANDRES INIESTA BGS 9,"386,775.00 VND",https://www.ebay.com/itm/297145683242,https://i.ebayimg.com/images/g/cu4AAeSwLoFn4b5G/s-l140.jpg,"Sold  Apr 1, 2025"
2023-24 Select FIFA Winter Camo #17 Andre Onana /99,"25,527.15 VND",https://www.ebay.com/itm/396369731113,https://i.ebayimg.com/images/g/NDEAAOSwO0Fn5bOc/s-l140.jpg,"Sold  Apr 1, 2025"
2023 Topps Finest Andres Iniesta The Man UEFA Euro Gold 7/50 Spain 53191 READ,"515,442.15 VND",https://www.ebay.com/itm/187083328880,https://i.ebayimg.com/images/g/rwEAAOSwP-Bn5L~r/s-l140.jpg,"Sold  Apr 1, 2025"
Andres Iniesta 2022-23 Topps UEFA Museum Collection Archival Auto Sapphire 48/75,"2,037,015.00 VND",https://www.ebay.com/itm/376102269260,https://i.ebayimg.com/images/g/47sAAOSwXQRn5NJ3/s-l140.jpg,"Sold  Mar 31, 2025"
ANDRES GUARDADO 2022 PANINI PRIZM FIFA WORLD CUP PHENOMENON SILVER Q4266,"25,785.00 VND",https://www.ebay.com/itm/276967376654,https://i.ebayimg.com/images/g/UD0AAeSwrXpn3fDH/s-l140.jpg,"Sold  Mar 31, 2025"
2024-25 Topps UEFA Andres Iniesta Historic Captains Gold Foilboard #31/50,"219,172.50 VND",https://www.ebay.com/itm/127016015114,https://i.ebayimg.com/images/g/TGAAAeSwEC5n5F7T/s-l140.jpg,"Sold  Mar 31, 2025"
Andres Iniesta HERO Panini FIFA World Cup Brazil 2014 Adrenalyn xl UPDATE,"494,375.81 VND",https://www.ebay.com/itm/396338507192,https://i.ebayimg.com/images/g/8HoAAOSwmApnJKyb/s-l140.jpg,"Sold  Mar 31, 2025"
Andres Iniesta TOP MASTER Panini Road to 2014 FIFA World Cup Brazil Adrenalyn xl,"211,875.35 VND",https://www.ebay.com/itm/396338507282,https://i.ebayimg.com/images/g/lccAAOSwvFVm~fkE/s-l140.jpg,"Sold  Mar 31, 2025"
Andres Iniesta CHAMPION Panini UEFA Champions League 2009-2010 Super Strikes,"353,125.58 VND",https://www.ebay.com/itm/396338507292,https://i.ebayimg.com/images/g/YhsAAOSwQkVm~qRG/s-l140.jpg,"Sold  Mar 31, 2025"
2018 Panini Prizm World Cup #197 Andres Iniesta Red & Blue Wave Prizm Spain (U),"51,312.15 VND",https://www.ebay.com/itm/127023424050,https://i.ebayimg.com/images/g/x-oAAeSwUqJn6Z5q/s-l140.jpg,"Sold  Mar 31, 2025"
Adrenalyn Road World Cup Brazil Panini - Andres Iniesta - LIMITED EDITION,"92,942.65 VND",https://www.ebay.com/itm/302383244088,https://i.ebayimg.com/images/g/yuoAAOSws19fqJwP/s-l140.jpg,"Sold  Mar 31, 2025"
2023-24 Topps Inception Uefa Club Competitions #31 Andres Iniesta Blue PSA 8.5,"902,217.15 VND",https://www.ebay.com/itm/297003658799,https://i.ebayimg.com/images/g/JcYAAeSwND9nqj1X/s-l140.jpg,"Sold  Mar 30, 2025"
2024 Topps Chrome UEFA Euro ANDRES INIESTA 17/50 Auto Gold Refractor Spain CA-AI,"2,294,865.00 VND",https://www.ebay.com/itm/306195011378,https://i.ebayimg.com/images/g/y0oAAOSwFvxn3roa/s-l140.jpg,"Sold  Mar 30, 2025"
2018-19 Panini National Treasures Soccer #87 Andre Silva 27/50 Portugal,"193,387.50 VND",https://www.ebay.com/itm/236013816434,https://i.ebayimg.com/images/g/x6IAAOSwyPpn3HbC/s-l140.jpg,"Sold  Mar 30, 2025"
2023 Topps Finest MLS Soccer Hologlow Gold Refractor #H-4 Andres Reyes 16/50,"58,016.25 VND",https://www.ebay.com/itm/365478162990,https://i.ebayimg.com/images/g/EbgAAOSwK4ln4Chk/s-l140.jpg,"Sold  Mar 30, 2025"
2021 Panini Mosaic UEFA Euro AM-MAS Marc-Andre Ter Stegen Gold Circles Auto 5/10,"580,162.50 VND",https://www.ebay.com/itm/236013852063,https://i.ebayimg.com/images/g/etEAAOSwdWxnaHKX/s-l140.jpg,"Sold  Mar 30, 2025"
2014-15 Panini Adrenalyn Champions League Limited´Andres Iniesta FC Barcelona,"51,312.15 VND",https://www.ebay.com/itm/267198189777,https://i.ebayimg.com/images/g/ObIAAOSwMxBn0aPk/s-l140.jpg,"Sold  Mar 30, 2025"
ANDRES INIESTA PANINI FLAWLESS SOCCER 2015-16 11 DIAMOND ENCASED 03/20,"6,441,010.49 VND",https://www.ebay.com/itm/135638410299,https://i.ebayimg.com/images/g/U0gAAeSw2wpn2-tr/s-l140.jpg,"Sold  Mar 30, 2025"
MARC ANDRE TER STEGEN ONE & TWO FC BARCELONA TOPPS 2024 LA LIGA HOLOCENE /99,"42,375.07 VND",https://www.ebay.com/itm/135639072576,https://i.ebayimg.com/images/g/jsoAAOSwjxZntxXB/s-l140.jpg,"Sold  Mar 30, 2025"
2023/24 Topps UEFA Euro Chrome Andres Iniesta /10 Auto Black,"5,649,726.70 VND",https://www.ebay.com/itm/156812116289,https://i.ebayimg.com/images/g/q~UAAeSwhqBnyKiZ/s-l140.jpg,"Sold  Mar 30, 2025"
Andres Iniesta 2022-23 Panini Select FIFA Jumbo Swatches Patch Relic Tie-dye /25,"928,260.00 VND",https://www.ebay.com/itm/256868048019,https://i.ebayimg.com/images/g/A1EAAOSwT1Zn33BY/s-l140.jpg,"Sold  Mar 30, 2025"
