Title,Price,Link,Image Link,Sold Date
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"33,262.65 VND to 71,940.15 VND",https://www.ebay.com/itm/405197789971,https://i.ebayimg.com/images/g/vxQAAOSwx8dm3ko5/s-l140.jpg,"Sold  Mar 26, 2025"
2016 Donruss Soccer - Pick A Card,"25,527.15 VND to 515,442.15 VND",https://www.ebay.com/itm/133432293754,https://i.ebayimg.com/images/g/XZsAAOSwJZVe3SqC/s-l140.jpg,"Sold  Mar 11, 2025"
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/375655204280,https://i.ebayimg.com/images/g/bawAAOSwoJlm6Z6V/s-l140.jpg,"Sold  Mar 6, 2025"
2024 Panini Prizm COPA America Soccer RED # /199 Parallel #1-200 Pick Your Card,"51,312.15 VND to 386,517.15 VND",https://www.ebay.com/itm/126655212337,https://i.ebayimg.com/images/g/S98AAOSwyXhm1eg-/s-l140.jpg,"Sold  Feb 28, 2025"
2024 Panini Prizm COPA America Soccer Pick Your Base #1-200 - Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/256627701927,https://i.ebayimg.com/images/g/x9EAAOSwSyFm2Jws/s-l140.jpg,"Sold  Feb 4, 2025"
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"33,262.65 VND to 71,940.15 VND",https://www.ebay.com/itm/405197789971,https://i.ebayimg.com/images/g/vxQAAOSwx8dm3ko5/s-l140.jpg,"Sold  Mar 26, 2025"
2016 Donruss Soccer - Pick A Card,"25,527.15 VND to 515,442.15 VND",https://www.ebay.com/itm/133432293754,https://i.ebayimg.com/images/g/XZsAAOSwJZVe3SqC/s-l140.jpg,"Sold  Mar 11, 2025"
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/375655204280,https://i.ebayimg.com/images/g/bawAAOSwoJlm6Z6V/s-l140.jpg,"Sold  Mar 6, 2025"
2024 Panini Prizm COPA America Soccer RED # /199 Parallel #1-200 Pick Your Card,"51,312.15 VND to 386,517.15 VND",https://www.ebay.com/itm/126655212337,https://i.ebayimg.com/images/g/S98AAOSwyXhm1eg-/s-l140.jpg,"Sold  Feb 28, 2025"
2024 Panini Prizm COPA America Soccer Pick Your Base #1-200 - Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/256627701927,https://i.ebayimg.com/images/g/x9EAAOSwSyFm2Jws/s-l140.jpg,"Sold  Feb 4, 2025"
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"33,262.65 VND to 71,940.15 VND",https://www.ebay.com/itm/405197789971,https://i.ebayimg.com/images/g/vxQAAOSwx8dm3ko5/s-l140.jpg,"Sold  Mar 26, 2025"
2016 Donruss Soccer - Pick A Card,"25,527.15 VND to 515,442.15 VND",https://www.ebay.com/itm/133432293754,https://i.ebayimg.com/images/g/XZsAAOSwJZVe3SqC/s-l140.jpg,"Sold  Mar 11, 2025"
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/375655204280,https://i.ebayimg.com/images/g/bawAAOSwoJlm6Z6V/s-l140.jpg,"Sold  Mar 6, 2025"
2024 Panini Prizm COPA America Soccer RED # /199 Parallel #1-200 Pick Your Card,"51,312.15 VND to 386,517.15 VND",https://www.ebay.com/itm/126655212337,https://i.ebayimg.com/images/g/S98AAOSwyXhm1eg-/s-l140.jpg,"Sold  Feb 28, 2025"
2024 Panini Prizm COPA America Soccer Pick Your Base #1-200 - Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/256627701927,https://i.ebayimg.com/images/g/x9EAAOSwSyFm2Jws/s-l140.jpg,"Sold  Feb 4, 2025"
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"33,262.65 VND to 71,940.15 VND",https://www.ebay.com/itm/405197789971,https://i.ebayimg.com/images/g/vxQAAOSwx8dm3ko5/s-l140.jpg,"Sold  Mar 26, 2025"
2016 Donruss Soccer - Pick A Card,"25,527.15 VND to 515,442.15 VND",https://www.ebay.com/itm/133432293754,https://i.ebayimg.com/images/g/XZsAAOSwJZVe3SqC/s-l140.jpg,"Sold  Mar 11, 2025"
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/375655204280,https://i.ebayimg.com/images/g/bawAAOSwoJlm6Z6V/s-l140.jpg,"Sold  Mar 6, 2025"
2024 Panini Prizm COPA America Soccer RED # /199 Parallel #1-200 Pick Your Card,"51,312.15 VND to 386,517.15 VND",https://www.ebay.com/itm/126655212337,https://i.ebayimg.com/images/g/S98AAOSwyXhm1eg-/s-l140.jpg,"Sold  Feb 28, 2025"
2024 Panini Prizm COPA America Soccer Pick Your Base #1-200 - Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/256627701927,https://i.ebayimg.com/images/g/x9EAAOSwSyFm2Jws/s-l140.jpg,"Sold  Feb 4, 2025"
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"33,262.65 VND to 71,940.15 VND",https://www.ebay.com/itm/405197789971,https://i.ebayimg.com/images/g/vxQAAOSwx8dm3ko5/s-l140.jpg,"Sold  Mar 26, 2025"
2016 Donruss Soccer - Pick A Card,"25,527.15 VND to 515,442.15 VND",https://www.ebay.com/itm/133432293754,https://i.ebayimg.com/images/g/XZsAAOSwJZVe3SqC/s-l140.jpg,"Sold  Mar 11, 2025"
2024 Panini Prizm Copa America Soccer Pick Your Base #1-200 - Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/375655204280,https://i.ebayimg.com/images/g/bawAAOSwoJlm6Z6V/s-l140.jpg,"Sold  Mar 6, 2025"
2024 Panini Prizm COPA America Soccer RED # /199 Parallel #1-200 Pick Your Card,"51,312.15 VND to 386,517.15 VND",https://www.ebay.com/itm/126655212337,https://i.ebayimg.com/images/g/S98AAOSwyXhm1eg-/s-l140.jpg,"Sold  Feb 28, 2025"
