Title,Price,Link,Image Link,Sold Date
2024 ANDRIY YARMOLENKO 17/25 TOPPS CHROME UEFA EURO2024 GERMANY ORANGE ICE,"334,947.15 VND",https://www.ebay.com/itm/156649247568,https://i.ebayimg.com/images/g/CZwAAOSwQf1nj0wO/s-l140.jpg,"Sold  Mar 19, 2025"
2024 ANDRIY YARMOLENKO 18/50 TOPPS CHROME UEFA EURO2024 GERMANY GOLD,"180,237.15 VND",https://www.ebay.com/itm/156711342084,https://i.ebayimg.com/images/g/O~oAAOSwAwpnr~rL/s-l140.jpg,"Sold  Mar 19, 2025"
2024 ANDRIY YARMOLENKO 50/50 TOPPS CHROME UEFA EURO2024 GERMANY ICE GOLD,"180,237.15 VND",https://www.ebay.com/itm/156766494899,https://i.ebayimg.com/images/g/taMAAOSwYiNnwl6E/s-l140.jpg,"Sold  Mar 19, 2025"
2024 ANDRIY YARMOLENKO 23/25 TOPPS CHROME UEFA EURO2024 GERMANY ORANGE,"283,377.15 VND",https://www.ebay.com/itm/156742796694,https://i.ebayimg.com/images/g/2V8AAOSwJDlnvWtm/s-l140.jpg,"Sold  Mar 19, 2025"
2016 Panini Prizm UEFA Euro Andriy Yarmolenko Purple 57/99 Ukraine Kyiv,"32,231.25 VND",https://www.ebay.com/itm/365455220246,https://i.ebayimg.com/images/g/9RQAAOSwYbln0PQr/s-l140.jpg,"Sold  Mar 16, 2025"
2016 Panini Prizm UEFA Euro Andriy Yarmolenko Purple 57/99 Ukraine Kyiv,"98,240.85 VND",https://www.ebay.com/itm/365365589126,https://i.ebayimg.com/images/g/XUkAAOSwastnltsj/s-l140.jpg,"Sold  Jan 31, 2025"
2016 Panini Prizm UEFA Euro Andriy Yarmolenko Purple 57/99 Ukraine Kyiv,"25,785.00 VND",https://www.ebay.com/itm/365347960187,https://i.ebayimg.com/images/g/qVUAAOSwGSFnicqZ/s-l140.jpg,"Sold  Jan 21, 2025"
2016 Panini Prizm UEFA Euro Andriy Yarmolenko Purple 57/99 Ukraine Kyiv,"83,801.25 VND",https://www.ebay.com/itm/365327590980,https://i.ebayimg.com/images/g/kgsAAOSwr51nfJey/s-l140.jpg,"Sold  Jan 11, 2025"
2020 Select UEFA Euro Triumph Relic Silver Prizm Andriy Yarmolenko Red /65,"515,442.15 VND",https://www.ebay.com/itm/364691715522,https://i.ebayimg.com/images/g/D5MAAOSwtIRlrbhZ/s-l140.jpg,"Sold  Mar 14, 2025"
2020 Select UEFA Euro Preview Triumph Relics Silver Prizm Andriy Yarmolenko,"128,667.15 VND",https://www.ebay.com/itm/176336942543,https://i.ebayimg.com/images/g/8NMAAOSwUFVmHvw9/s-l140.jpg,"Sold  Feb 25, 2025"
Andriy Yarmolenko 2024 Topps Chrome UEFA EURO #42,"84,059.10 VND",https://www.ebay.com/itm/306150201650,https://i.ebayimg.com/images/g/3UEAAeSwLH9nw1pk/s-l140.jpg,"Sold  Mar 8, 2025"
Andriy Yarmolenko 2024 Topps Chrome UEFA EURO #42 Hero Variation SP ⭐️,"51,570.00 VND",https://www.ebay.com/itm/156742100641,https://i.ebayimg.com/images/g/hJIAAOSwOyVngBWB/s-l140.jpg,"Sold  Mar 6, 2025"
ANDRIY YARMOLENKO 2024 Topps Chrome Sapphire UEFA Euro Orange Refractor #/25,"1,031,142.15 VND",https://www.ebay.com/itm/356355924557,https://i.ebayimg.com/images/g/A~4AAOSw7VJnVms8/s-l140.jpg,"Sold  Mar 6, 2025"
ANDRIY YARMOLENKO 2024 Topps Chrome Sapphire UEFA Euro Orange Refractor /25,"238,511.25 VND",https://www.ebay.com/itm/226577389276,https://i.ebayimg.com/images/g/O10AAOSwI-dnnrex/s-l140.jpg,"Sold  Feb 10, 2025"
2023-24 Topps Chrome UEFA Euro Andriy Yarmolenko Hero Variation #42,"141,817.50 VND",https://www.ebay.com/itm/126955089458,https://i.ebayimg.com/images/g/kwUAAeSwWWNnuP0T/s-l140.jpg,"Sold  Feb 26, 2025"
2023-24 Topps Chrome UEFA Euro Andriy Yarmolenko Hero Variation #42,"70,908.75 VND",https://www.ebay.com/itm/126913994099,https://i.ebayimg.com/images/g/wC4AAOSwOD9nnTEO/s-l140.jpg,"Sold  Feb 5, 2025"
2024 Topps Chrome UEFA EURO Andriy Yarmolenko Hero Variation SP #42 KT01,"83,801.25 VND",https://www.ebay.com/itm/396113281208,https://i.ebayimg.com/images/g/htUAAOSwRFhngVCz/s-l140.jpg,"Sold  Jan 17, 2025"
2024 Topps Chrome UEFA EURO 1960 Red Refractors #TC-17 Andriy Yarmolenko 5/5,"928,260.00 VND",https://www.ebay.com/itm/297029327777,https://i.ebayimg.com/images/g/Z1EAAeSwdDBns7GH/s-l140.jpg,"Sold  Feb 24, 2025"
2024 Topps Chrome UEFA Euro Gold Refractors #42 Andriy Yarmolenko 09/50,"25,527.15 VND",https://www.ebay.com/itm/135488762970,https://i.ebayimg.com/images/g/1rsAAOSwANZnfoAq/s-l140.jpg,"Sold  Jan 15, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 Andriy Yarmolenko #42,"143,364.60 VND",https://www.ebay.com/itm/286321380354,https://i.ebayimg.com/images/g/G7EAAOSwB0tnrBtI/s-l140.jpg,"Sold  Feb 16, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 Andriy Yarmolenko #42,"58,016.25 VND",https://www.ebay.com/itm/286298303570,https://i.ebayimg.com/images/g/yKIAAOSwlrpnoDtc/s-l140.jpg,"Sold  Feb 7, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 Andriy Yarmolenko #42,"227,165.85 VND",https://www.ebay.com/itm/286289702274,https://i.ebayimg.com/images/g/Z00AAOSwm8JnmbCN/s-l140.jpg,"Sold  Feb 2, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 Andriy Yarmolenko #42,"25,527.15 VND",https://www.ebay.com/itm/286263605343,https://i.ebayimg.com/images/g/~gcAAOSwqVdnhfxR/s-l140.jpg,"Sold  Jan 18, 2025"
2024 Topps Chrome UEFA Euro Sapphire Gold /50 Andriy Yarmolenko #42,"114,485.40 VND",https://www.ebay.com/itm/286260192445,https://i.ebayimg.com/images/g/ZOUAAOSwOFBngzsu/s-l140.jpg,"Sold  Jan 16, 2025"
