Title,Price,Link,Image Link,Sold Date
2023-24 Panini Prizm Premier League Soccer Anel Ahmedhodzic RC /199 Sheffield,"28,250.05 VND",https://www.ebay.com/itm/376068686142,https://i.ebayimg.com/images/g/o9MAAeSw7kBn1EjC/s-l500.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Prizm Premier League Soccer Anel Ahmedhodzic RC /199 Sheffield,"28,250.05 VND",https://www.ebay.com/itm/376068686142,https://i.ebayimg.com/images/g/o9MAAeSw7kBn1EjC/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 select premier league Soccer Anel Ahmedhodzic Orange Cracked Ice Rc /145,"257,850.00 VND",https://www.ebay.com/itm/405582412088,https://i.ebayimg.com/images/g/Qu8AAeSwP4hnvncC/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 select premier league Soccer Anel Ahmedhodzic Orange Cracked Ice Rc /145,"257,850.00 VND",https://www.ebay.com/itm/405582412088,https://i.ebayimg.com/images/g/Qu8AAeSwP4hnvncC/s-l500.jpg,"Sold  Apr 5, 2025"
2023 Prizm Premier League Anel Ahmedhodzic Black and White Checker RC #280,"61,626.15 VND",https://www.ebay.com/itm/126955102622,https://i.ebayimg.com/images/g/zy0AAeSwt7JnuQCz/s-l140.jpg,"Sold  Feb 26, 2025"
2023 Prizm Premier League Anel Ahmedhodzic Choice Red White and Blue RC #280,"25,527.15 VND",https://www.ebay.com/itm/126941582832,https://i.ebayimg.com/images/g/dFAAAeSwZPdnr7ir/s-l140.jpg,"Sold  Feb 19, 2025"
Anel Ahmedhodzic - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/235966185315,https://i.ebayimg.com/images/g/3J0AAeSw~5dntoPu/s-l140.jpg,"Sold  Feb 22, 2025"
Anel Ahmedhodzic - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/226601701288,https://i.ebayimg.com/images/g/HaYAAeSwUD1nspr5/s-l140.jpg,"Sold  Feb 19, 2025"
Anel Ahmedhodzic RC 2023-24 Prizm Premier League Center Stage Orange 16/25,"25,785.00 VND",https://www.ebay.com/itm/376073047235,https://i.ebayimg.com/images/g/inIAAOSw-Ytn1kes/s-l140.jpg,"Sold  Mar 20, 2025"
2023-24 ANEL AHMEDHODZIC 50/60 PANINI IMMACULATE COLLECTION PREMIER LEAGUE RC,"257,592.15 VND",https://www.ebay.com/itm/156793532900,https://i.ebayimg.com/images/g/W2QAAOSwK85n0otJ/s-l140.jpg,"Sold  Mar 15, 2025"
2023-24 Panini Prizm Premier League Prizms Pink Stars #280 Anel Ahmedhodzic,"25,527.15 VND",https://www.ebay.com/itm/387967819184,https://i.ebayimg.com/images/g/j4YAAOSwUUdntdn4/s-l140.jpg,"Sold  Feb 28, 2025"
2023-24 Select Premier League Soccer Anel Ahmedhodzic Field Level Gold /10,"142,075.35 VND",https://www.ebay.com/itm/326447486782,https://i.ebayimg.com/images/g/ORUAAOSwDHFnsn3T/s-l140.jpg,"Sold  Feb 26, 2025"
Anel Ahmedhodzic 2023 Panini Select Premier League Silver Prizm #181 RC,"20,370.15 VND",https://www.ebay.com/itm/296966551592,https://i.ebayimg.com/images/g/AnUAAOSwDbdnllJ6/s-l140.jpg,"Sold  Feb 5, 2025"
PANINI PREMIER LEAGUE SELECT 23/24 ANEL AHMEDHODZIC NEWCASTLE WINTER CAMO 24/110,"63,135.35 VND",https://www.ebay.com/itm/156646599582,https://i.ebayimg.com/images/g/wewAAOSwbJBnjoGa/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Impeccable Premier League Anel Ahmedhodzic Ruby Rookie RC #/15 #19,"58,016.25 VND",https://www.ebay.com/itm/126881473045,https://i.ebayimg.com/images/g/DPcAAOSwJI9nhX6k/s-l140.jpg,"Sold  Jan 18, 2025"
ANEL AHMEDHODZIC 2023 OBSIDIAN SOCCER PURPLE FLOOD ROOKIE RC /25 Q2723,"200,607.30 VND",https://www.ebay.com/itm/276803209320,https://i.ebayimg.com/images/g/W1YAAOSwz51neGB8/s-l140.jpg,"Sold  Jan 13, 2025"
2023-24 PANINI OBSIDIAN Soccer #108 ANEL AHMEDHODZIC SP SILVER ETCH #/120,"25,527.15 VND",https://www.ebay.com/itm/396106825922,https://i.ebayimg.com/images/g/4GQAAOSwHjZnfzN-/s-l140.jpg,"Sold  Jan 13, 2025"
