Title,Price,Link,Image Link,Sold Date
Topps Match Attax Bundesliga 19/20 2019/2020 Ante Rebic Limited Edition LE3,"42,375.07 VND",https://www.ebay.com/itm/396132600972,https://i.ebayimg.com/images/g/7j4AAOSwGYZnbxlg/s-l140.jpg,"Sold  Jan 25, 2025"
Topps Match Attax Bundesliga 19/20 2019/2020 Ante Rebic Limited Edition LE3,"42,375.07 VND",https://www.ebay.com/itm/396087163799,https://i.ebayimg.com/images/g/7j4AAOSwGYZnbxlg/s-l140.jpg,"Sold  Jan 10, 2025"
2022-23 Panini Chronicles Base Serie A Phoenix Purple Mojo Prizm Ante Rebic #231,"36,099.00 VND",https://www.ebay.com/itm/256806226950,https://i.ebayimg.com/images/g/ciEAAeSw1QZno6wC/s-l140.jpg,"Sold  Mar 14, 2025"
Topps Champions League Sticker CL 21/22 No. 209 Ante Rebic,"28,250.05 VND",https://www.ebay.com/itm/334223344932,https://i.ebayimg.com/images/g/HxMAAOSwqWFhlg7V/s-l140.jpg,"Sold  Mar 10, 2025"
2020 Select Soccer Mezzanine Gold Prizm Die -Cut Ante Rebic 6/10,"169,665.30 VND",https://www.ebay.com/itm/387992447989,https://i.ebayimg.com/images/g/yFUAAOSwOKNnvHrl/s-l140.jpg,"Sold  Mar 3, 2025"
Topps Champions League 2021/22 Stickers 209 - Ante Rebic - AC Milan,"28,250.05 VND",https://www.ebay.com/itm/294635220751,https://i.ebayimg.com/images/g/yt0AAOSwUWlhuOT4/s-l140.jpg,"Sold  Feb 11, 2025"
Topps Bundesliga 2018/2019 - Sticker 93 - Ante Rebic,"28,250.05 VND",https://www.ebay.com/itm/303050472428,https://i.ebayimg.com/images/g/sjYAAOSwdaVcWA8M/s-l140.jpg,"Sold  Feb 7, 2025"
TOPPS CHAMPIONS LEAGUE 2022/23 - Sticker No 41 - ANTE REBIC,"28,250.05 VND",https://www.ebay.com/itm/204384487496,https://i.ebayimg.com/images/g/3FcAAOSwHTxkocUC/s-l140.jpg,"Sold  Feb 6, 2025"
PANINI UEFA EURO2020 Adrenalyn XL #77 Ante REBIC Team Mate Croatia,"28,250.05 VND",https://www.ebay.com/itm/186756298736,https://i.ebayimg.com/images/g/aysAAOSwwp9eRFgn/s-l140.jpg,"Sold  Jan 23, 2025"
2018-19 Topps Chrome Bundesliga Future Stars Ante Rebic #FS-AR RC /25 Orange,"902,475.00 VND",https://www.ebay.com/itm/266210348264,https://i.ebayimg.com/images/g/uo4AAOSw1shkMmIJ/s-l140.jpg,"Sold  Jan 10, 2025"
ANTE REBIC++++Eintracht Frankfurt++++World Cup++++Autographed++++Rare Card,"28,250.05 VND",https://www.ebay.com/itm/356435886515,https://i.ebayimg.com/images/g/s28AAOSw5nNneZgC/s-l140.jpg,"Sold  Jan 5, 2025"
