Title,Price,Link,Image Link,Sold Date
2021-22 Topps Chrome Bundesliga Armel Bella Kotchap VFL Bochum /299,"28,250.05 VND",https://www.ebay.com/itm/226565194508,https://i.ebayimg.com/images/g/FT4AAOSwBxxnlU7B/s-l140.jpg,"Sold  Feb 2, 2025"
Panini Donruss Elite Fifa 2022 2023 Base Set Cards Cards 1-110,"28,250.05 VND to 172,042.78 VND",https://www.ebay.com/itm/305478962345,https://i.ebayimg.com/images/g/eKgAAOSwzzpmBVAT/s-l140.jpg,"Sold  Mar 27, 2025"
Topps Match Attax EXTRA Champions League 2023/2024 - Base Cards: 1 - 252 - 23/24,"28,250.05 VND to 70,342.61 VND",https://www.ebay.com/itm/375225923218,https://i.ebayimg.com/images/g/A-0AAOSw6dFluing/s-l140.jpg,"Sold  Feb 17, 2025"
Topps Chrome Bundesliga Match Attax 21/22 2021-2022 REFRACTOR Pick Select,"84,467.64 VND",https://www.ebay.com/itm/294874694830,https://i.ebayimg.com/images/g/OIkAAOSwHk9iNynH/s-l140.jpg,"Sold  Mar 2, 2025"
Match Attax Bundesliga 2021/2022 21/22 Topps Cards Selection to Choose 1 - 216,"28,250.05 VND to 366,968.10 VND",https://www.ebay.com/itm/334169016921,https://i.ebayimg.com/images/g/8T4AAOSwRglhWcP~/s-l140.jpg,"Sold  Mar 6, 2025"
2022-23 Panini Select FIFA Armel Bella-Kotchap Silver Auto SSP Germany,"58,016.25 VND",https://www.ebay.com/itm/396292338252,https://i.ebayimg.com/images/g/NvAAAOSw2Plny3IJ/s-l500.jpg,"Sold  Mar 16, 2025"
2022-23 Panini Select FIFA Armel Bella-Kotchap Auto Purple Prizm /49 SSP,"77,355.00 VND",https://www.ebay.com/itm/396292338229,https://i.ebayimg.com/images/g/yMQAAOSwf4Bny3GY/s-l140.jpg,"Sold  Mar 16, 2025"
Armel Bella-Kotchap AUTO 2022-23 Select FIFA Soccer SILVER PRIZM Signatures,"70,908.75 VND",https://www.ebay.com/itm/235935545387,https://i.ebayimg.com/images/g/aR4AAeSwlW9nmwJC/s-l140.jpg,"Sold  Feb 8, 2025"
2021-22 Topps Chrome Bundesliga Armel Bella Kotchap Magenta /399 RC,"25,527.15 VND",https://www.ebay.com/itm/235928736694,https://i.ebayimg.com/images/g/BX8AAOSw74JnlBlk/s-l140.jpg,"Sold  Jan 31, 2025"
2021 TOPPS CHROME BUNDESLIGA GREEN REFRACTOR ARMEL BELLA KOTCHAP RC /99 PSA 10,"155,999.25 VND",https://www.ebay.com/itm/306090036863,https://i.ebayimg.com/images/g/1tsAAeSw0iNnonNK/s-l140.jpg,"Sold  Feb 16, 2025"
2022-23 Panini Select FIFA Select Future Gold Prizm 6/10 Armel Bella-Kotchap #7,"322,312.50 VND",https://www.ebay.com/itm/256776193442,https://i.ebayimg.com/images/g/kvEAAOSwhQVnfcx5/s-l140.jpg,"Sold  Jan 17, 2025"
2021 Topps Finest Bundesliga Armel Bella-Kotchap Auto RC Rookie #33,"64,720.35 VND",https://www.ebay.com/itm/376041943530,https://i.ebayimg.com/images/g/LcsAAeSwpRlnx2Bl/s-l140.jpg,"Sold  Mar 9, 2025"
2021 TOPPS CHROME BUNDESLIGA CHROME AUTOS ARMEL BELLA KOTCHAP RC/150 PSA 10 AUTO,"367,951.95 VND",https://www.ebay.com/itm/297155636230,https://i.ebayimg.com/images/g/oyEAAeSwKRxn5Xgw/s-l140.jpg,"Sold  Apr 4, 2025"
2021-22 Topps Chrome Bundesliga Armel Bella Kotchap Rookie Auto Autograph /175,"102,882.15 VND",https://www.ebay.com/itm/176636909583,https://i.ebayimg.com/images/g/XcYAAOSwRR5lfVed/s-l140.jpg,"Sold  Feb 20, 2025"
2022-23 Panini Chronicles Origins Premier League /299 Armel Bella-Kotchap Auto,"175,595.85 VND",https://www.ebay.com/itm/235969244802,https://i.ebayimg.com/images/g/f-EAAeSwH~BnvTiu/s-l140.jpg,"Sold  Mar 7, 2025"
2022-23 English Premier League EPL Prizm Pick Your Base #151-300 Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/204300831899,https://i.ebayimg.com/images/g/bbgAAOSwlIVkWU7P/s-l140.jpg,"Sold  Mar 26, 2025"
2022-23 Panini Select EPL English Premier League Soccer Pick 1-250 Buy More Save,"28,105.65 VND to 71,940.15 VND",https://www.ebay.com/itm/204350622925,https://i.ebayimg.com/images/g/QEIAAOSwgo1nHtWp/s-l140.jpg,"Sold  Mar 26, 2025"
2021-22 Topps Chrome Bundesliga Soccer Base - Complete Your Set & You Pick Card,"25,527.15 VND to 38,419.65 VND",https://www.ebay.com/itm/165598756835,https://i.ebayimg.com/images/g/gmAAAOSwdmFi4YAk/s-l140.jpg,"Sold  Mar 31, 2025"
2022-23 Panini Select FIFA Armel Bella-Kotchap Silver Auto SSP Germany,"58,016.25 VND",https://www.ebay.com/itm/396292338252,https://i.ebayimg.com/images/g/NvAAAOSw2Plny3IJ/s-l500.jpg,"Sold  Mar 16, 2025"
2022-23 Panini Select FIFA Armel Bella-Kotchap Auto Purple Prizm /49 SSP,"77,355.00 VND",https://www.ebay.com/itm/396292338229,https://i.ebayimg.com/images/g/yMQAAOSwf4Bny3GY/s-l140.jpg,"Sold  Mar 16, 2025"
Armel Bella-Kotchap AUTO 2022-23 Select FIFA Soccer SILVER PRIZM Signatures,"70,908.75 VND",https://www.ebay.com/itm/235935545387,https://i.ebayimg.com/images/g/aR4AAeSwlW9nmwJC/s-l140.jpg,"Sold  Feb 8, 2025"
2021-22 Topps Chrome Bundesliga Armel Bella Kotchap Magenta /399 RC,"25,527.15 VND",https://www.ebay.com/itm/235928736694,https://i.ebayimg.com/images/g/BX8AAOSw74JnlBlk/s-l140.jpg,"Sold  Jan 31, 2025"
2021 TOPPS CHROME BUNDESLIGA GREEN REFRACTOR ARMEL BELLA KOTCHAP RC /99 PSA 10,"155,999.25 VND",https://www.ebay.com/itm/306090036863,https://i.ebayimg.com/images/g/1tsAAeSw0iNnonNK/s-l140.jpg,"Sold  Feb 16, 2025"
2022-23 Panini Select FIFA Select Future Gold Prizm 6/10 Armel Bella-Kotchap #7,"322,312.50 VND",https://www.ebay.com/itm/256776193442,https://i.ebayimg.com/images/g/kvEAAOSwhQVnfcx5/s-l140.jpg,"Sold  Jan 17, 2025"
2021 Topps Finest Bundesliga Armel Bella-Kotchap Auto RC Rookie #33,"64,720.35 VND",https://www.ebay.com/itm/376041943530,https://i.ebayimg.com/images/g/LcsAAeSwpRlnx2Bl/s-l140.jpg,"Sold  Mar 9, 2025"
2021 TOPPS CHROME BUNDESLIGA CHROME AUTOS ARMEL BELLA KOTCHAP RC/150 PSA 10 AUTO,"367,951.95 VND",https://www.ebay.com/itm/297155636230,https://i.ebayimg.com/images/g/oyEAAeSwKRxn5Xgw/s-l140.jpg,"Sold  Apr 4, 2025"
2021-22 Topps Chrome Bundesliga Armel Bella Kotchap Rookie Auto Autograph /175,"102,882.15 VND",https://www.ebay.com/itm/176636909583,https://i.ebayimg.com/images/g/XcYAAOSwRR5lfVed/s-l140.jpg,"Sold  Feb 20, 2025"
2022-23 Panini Chronicles Origins Premier League /299 Armel Bella-Kotchap Auto,"175,595.85 VND",https://www.ebay.com/itm/235969244802,https://i.ebayimg.com/images/g/f-EAAeSwH~BnvTiu/s-l140.jpg,"Sold  Mar 7, 2025"
2022-23 English Premier League EPL Prizm Pick Your Base #151-300 Buy More & Save,"25,527.15 VND",https://www.ebay.com/itm/204300831899,https://i.ebayimg.com/images/g/bbgAAOSwlIVkWU7P/s-l140.jpg,"Sold  Mar 26, 2025"
2022-23 Panini Select EPL English Premier League Soccer Pick 1-250 Buy More Save,"28,105.65 VND to 71,940.15 VND",https://www.ebay.com/itm/204350622925,https://i.ebayimg.com/images/g/QEIAAOSwgo1nHtWp/s-l140.jpg,"Sold  Mar 26, 2025"
2021-22 Topps Chrome Bundesliga Soccer Base - Complete Your Set & You Pick Card,"25,527.15 VND to 38,419.65 VND",https://www.ebay.com/itm/165598756835,https://i.ebayimg.com/images/g/gmAAAOSwdmFi4YAk/s-l140.jpg,"Sold  Mar 31, 2025"
