Title,Price,Link,Image Link,Sold Date
Panini Select La Liga Soccer 2023-24 No 145 Assane Diao Rookie Purple Mojo Prizm,"70,342.61 VND",https://www.ebay.com/itm/316546782242,https://i.ebayimg.com/images/g/d84AAOSwYqhn4mT2/s-l140.jpg,"Sold  Mar 29, 2025"
Panini Select La Liga 2023-24 No. 17 Assane Diao Rookie Future Silver Prizm,"70,342.61 VND",https://www.ebay.com/itm/235628687300,https://i.ebayimg.com/images/g/RzUAAOSwoJhmfqtW/s-l140.jpg,"Sold  Sep 10, 2024"
ASSANE DIAO 2023-24 Select La Liga Terrace Red Prizm Rookie #64 Real Betis,"154,452.15 VND",https://www.ebay.com/itm/226665345416,https://i.ebayimg.com/images/g/wcgAAeSw25Vn4j~g/s-l140.jpg,"Sold  Mar 25, 2025"
ASSANE DIAO 2023-24 Select La Liga Field Level Red Prizm Rookie #246 Real Betis,"128,667.15 VND",https://www.ebay.com/itm/226665346369,https://i.ebayimg.com/images/g/fLcAAeSw1J5n4kAD/s-l140.jpg,"Sold  Mar 25, 2025"
ASSANE DIAO 2023-24 Select La Liga Terrace Red Prizm Rookie #64 Real Betis,"154,452.15 VND",https://www.ebay.com/itm/226663889029,https://i.ebayimg.com/images/g/wcgAAeSw25Vn4j~g/s-l140.jpg,"Sold  Mar 25, 2025"
ASSANE DIAO 2023-24 Select La Liga Field Level Red Prizm Rookie #246 Real Betis,"128,667.15 VND",https://www.ebay.com/itm/226663889305,https://i.ebayimg.com/images/g/fLcAAeSw1J5n4kAD/s-l140.jpg,"Sold  Mar 25, 2025"
2023 Panini Select La Liga Assane Diao RC Winter Camo Prizm Rookie Terrace #/99,"386,775.00 VND",https://www.ebay.com/itm/376066216086,https://i.ebayimg.com/images/g/1B0AAeSwwH9n0yJY/s-l140.jpg,"Sold  Mar 18, 2025"
2023 Select La Liga Assane Diao Winter Camo Prizm Field #72/99,"32,231.25 VND",https://www.ebay.com/itm/126895296245,https://i.ebayimg.com/images/g/tG0AAOSw5yFnkAFl/s-l140.jpg,"Sold  Jan 26, 2025"
2024-25 Topps UEFA Assane Diao RC Team Logo Variation Case Hit SSP Real Betis #2,"109,586.25 VND",https://www.ebay.com/itm/365457500129,https://i.ebayimg.com/images/g/K9EAAOSwAGln0j2U/s-l140.jpg,"Sold  Mar 17, 2025"
2024-25 Topps UEFA Assane Diao RC Team Logo Variation Case Hit SSP Real Betis #3,"481,148.10 VND",https://www.ebay.com/itm/365455167261,https://i.ebayimg.com/images/g/zYUAAOSwIT9n0Oqt/s-l140.jpg,"Sold  Mar 16, 2025"
