Title,Price,Link,Image Link,Sold Date
2023-24 Panini Donruss FIFA Kit Kings Benjamin Tahirovic #KK-BT,"88,184.70 VND to 1,466,908.65 VND",https://www.ebay.com/itm/335666607011,https://i.ebayimg.com/images/g/A5YAAeSwoThnp0c9/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 Panini Donruss FIFA Kit Kings Benjamin Tahirovic #KK-BT,"221,493.15 VND",https://www.ebay.com/itm/256755890007,https://i.ebayimg.com/images/g/XogAAOSwutJnY8JQ/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 Panini Donruss Kit Kings Benjamin Tahirovic Ajax,"27,060.80 VND",https://www.ebay.com/itm/396123666419,https://i.ebayimg.com/images/g/YDEAAOSwRvxnhpMe/s-l140.jpg,"Sold  Jan 24, 2025"
2023-24 Panini Donruss Kit Kings Benjamin Tahirovic Ajax b,"113,672.30 VND",https://www.ebay.com/itm/405215367331,https://i.ebayimg.com/images/g/Ui0AAOSwk2Fm3Jad/s-l140.jpg,"Sold  Feb 3, 2025"
2022-23 Panini Chronicles XR Benjamin Tahirovic RC Cracked Ice 2/23 Bosnia Roma,"50,739.00 VND",https://www.ebay.com/itm/365457518729,https://i.ebayimg.com/images/g/XXgAAOSw-lpn0kNp/s-l140.jpg,"Sold  Mar 22, 2025"
2022-23 Panini Chronicles XR Benjamin Tahirovic RC Cracked Ice 2/23 Bosnia Roma,"42,933.00 VND",https://www.ebay.com/itm/365382928614,https://i.ebayimg.com/images/g/4-YAAOSwdo1npW~U/s-l140.jpg,"Sold  Feb 16, 2025"
2022-23 BENJAMIN TAHIROVIC /49 PANINI CHRONICLES XR SERIE A ROOKIE RC #122,"128,667.15 VND",https://www.ebay.com/itm/155855090313,https://i.ebayimg.com/images/g/BaoAAOSwKzNlPLOI/s-l140.jpg,"Sold  Mar 31, 2025"
BENJAMIN TAHIROVIC - AJA10 - AFC AJAX CHROME FIFA 365 ADRENALYN XL 2024 SANDWICHES,"42,375.07 VND",https://www.ebay.com/itm/335353097228,https://i.ebayimg.com/images/g/dD8AAOSwtgpmH6c3/s-l500.jpg,"Sold  Mar 30, 2025"
2022-23 Panini Chronicles Serie A Purple Mojo 203 Benjamin Tahirovic Prizm NM-MT,"103,140.00 VND",https://www.ebay.com/itm/235543829509,https://i.ebayimg.com/images/g/9oYAAOSwSrBmmDOr/s-l140.jpg,"Sold  Feb 20, 2025"
2022-23 Panini Chronicles Base Serie A Xr Benjamin Tahirovic #122 Rookie RC,"36,099.00 VND to 43,318.80 VND",https://www.ebay.com/itm/335676713249,https://i.ebayimg.com/images/g/UsEAAOSwfNdnXQ55/s-l140.jpg,"Sold  Feb 4, 2025"
2022-23 Panini Chronicles XR Benjamin Tahirovic /23 AS ROMA RC Rookie Ice,"259,939.80 VND",https://www.ebay.com/itm/335726064692,https://i.ebayimg.com/images/g/7PcAAOSw421nWz4M/s-l500.jpg,"Sold  Mar 30, 2025"
2022-23 Panini Chronicles Prizm BENJAMIN TAHIROVIC Rookie Orange Cracked Ice /23,"520,139.80 VND",https://www.ebay.com/itm/156310740083,https://i.ebayimg.com/images/g/7ewAAOSw9K1mmcdq/s-l140.jpg,"Sold  Jan 30, 2025"
