Title,Price,Link,Image Link,Sold Date
48 Bernard Casoni France # Panini UEFA Euro Sweden 1992,"56,500.09 VND",https://www.ebay.com/itm/226639399489,https://i.ebayimg.com/images/g/YdUAAOSwm35nzubB/s-l140.jpg,"Sold  Mar 17, 2025"
57 Bernard Pardo France # Panini UEFA Euro Sweden 1992,"59,607.60 VND",https://www.ebay.com/itm/226614768042,https://i.ebayimg.com/images/g/AGUAAOSwx8Vnu27r/s-l140.jpg,"Sold  Mar 2, 2025"
48 Bernard Casoni France # Panini UEFA Euro Sweden 1992,"70,625.12 VND",https://www.ebay.com/itm/226614767132,https://i.ebayimg.com/images/g/KB8AAOSwmtdnu265/s-l140.jpg,"Sold  Mar 2, 2025"
48 Bernard Casoni France # Panini UEFA Euro Sweden 1992,"120,062.70 VND",https://www.ebay.com/itm/226661159312,https://i.ebayimg.com/images/g/7-MAAOSwwEpn4BHB/s-l140.jpg,"Sold  Mar 30, 2025"
57 Bernard Pardo France # Panini UEFA Euro Sweden 1992,"43,787.57 VND",https://www.ebay.com/itm/226588489687,https://i.ebayimg.com/images/g/wwAAAOSwDpxnp4iH/s-l140.jpg,"Sold  Feb 15, 2025"
48 Bernard Casoni France # Panini UEFA Euro Sweden 1992,"42,375.07 VND",https://www.ebay.com/itm/226588487536,https://i.ebayimg.com/images/g/Z5EAAOSwYKpnp4f3/s-l140.jpg,"Sold  Feb 15, 2025"
"Sharpe's Company [Richard Sharpe's Adventure Series #13]  Cornwell, Bernard  Acc","126,457.20 VND",https://www.ebay.com/itm/316055580780,https://i.ebayimg.com/images/g/VZMAAOSw4CFY5NuR/s-l140.jpg,"Sold  Apr 10, 2025"
"Sharpe's Eagle [Richard Sharpe's Adventure Series #2] [ Cornwell, Bernard ] Used","101,738.20 VND",https://www.ebay.com/itm/405263159355,https://i.ebayimg.com/images/g/pNgAAOSwJ4hY-dTX/s-l140.jpg,"Sold  Mar 19, 2025"
Gakken Robotech Mospeada VR-052F Scott Bernard Cyclone Bike Armor Figure  ,"5,594,300.00 VND",https://www.ebay.com/itm/176982984065,https://i.ebayimg.com/images/g/enQAAOSw6Ztn8NIT/s-l140.jpg,"Sold  Apr 10, 2025"
Gakken Robotech Mospeada VR-052F Scott Bernard Cyclone Bike Armor Only Incomplet,"520,139.80 VND",https://www.ebay.com/itm/167366484172,https://i.ebayimg.com/images/g/d1EAAeSwLdlnzkhE/s-l140.jpg,"Sold  Mar 9, 2025"
Gakken Robotech Mospeada VR-052F Scott Bernard Cyclone Bike Armor Figure ,"7,155,500.00 VND",https://www.ebay.com/itm/186972053890,https://i.ebayimg.com/images/g/QDMAAeSwWeRntjRN/s-l140.jpg,"Sold  Feb 22, 2025"
Gakken Robotech Mospeada VR-052F Scott Bernard Cyclone Bike Armor Figure,"4,683,600.00 VND",https://www.ebay.com/itm/276815884011,https://i.ebayimg.com/images/g/4RkAAOSwvzJnhaiW/s-l140.jpg,"Sold  Feb 12, 2025"
Gakken Robotech Mospeada VR-052F Scott Bernard Cyclone Bike Armor Figure Incompl,"2,602,000.00 VND",https://www.ebay.com/itm/276839600995,https://i.ebayimg.com/images/g/d-IAAOSwDZxnDdgg/s-l140.jpg,"Sold  Feb 7, 2025"
Gakken Robotech Mospeada VR-052F Scott Bernard Cyclone Bike Armor Figure NEW,"5,789,450.00 VND",https://www.ebay.com/itm/167251091481,https://i.ebayimg.com/images/g/yXEAAOSw0i5nevEJ/s-l140.jpg,"Sold  Jan 18, 2025"
Robotech Gakken Mospeada VR-052F Scott Bernard Cyclone Bike Armor Figure 1983,"3,903,000.00 VND",https://www.ebay.com/itm/186872215696,https://i.ebayimg.com/images/g/zQQAAOSwkZpneFdl/s-l140.jpg,"Sold  Jan 10, 2025"
Vintage Bernard Ravca All Original Tagged Paris France Peasant Stockinette Doll,"520,139.80 VND",https://www.ebay.com/itm/167423600123,https://i.ebayimg.com/images/g/wmEAAOSwWOFlI0HJ/s-l140.jpg,"Sold  Apr 10, 2025"
"Vintage Bernard Ravca All Original Tagged Paris France Stockinette Doll 8""","390,039.80 VND",https://www.ebay.com/itm/396364507619,https://i.ebayimg.com/images/g/1ikAAOSw8lNnJCbe/s-l140.jpg,"Sold  Mar 28, 2025"
Vintage Bernard Ravca All Original Tagged Paris France Stockinette Doll 10”,"364,280.00 VND",https://www.ebay.com/itm/226641247335,https://i.ebayimg.com/images/g/DHsAAeSw2eRnzyJw/s-l140.jpg,"Sold  Mar 11, 2025"
"Vintage Bernard Ravca All Original Tagged Paris France Stockinette Doll 9""","520,139.80 VND",https://www.ebay.com/itm/167072480050,https://i.ebayimg.com/images/g/RUQAAOSw4IFlWqWV/s-l140.jpg,"Sold  Feb 10, 2025"
2024 Bowman Chrome 1st Bernard Moon MINI DIAMOND REF/100 AUTO PSA GEM MINT 10,"904,715.40 VND",https://www.ebay.com/itm/388194628915,https://i.ebayimg.com/images/g/hbIAAeSw7SNnrtaj/s-l140.jpg,"Sold  Apr 10, 2025"
2024 Bowman Chrome 1st Bernard Moon MINI DIAMOND REF/100 AUTO PSA GEM MINT 10,"1,222,940.00 VND",https://www.ebay.com/itm/387941893639,https://i.ebayimg.com/images/g/hbIAAeSw7SNnrtaj/s-l140.jpg,"Sold  Feb 20, 2025"
"Bernard Ravca Stockinette Doll 10"" Vintage France Realistic Elderly Old Woman","259,939.80 VND",https://www.ebay.com/itm/205399224957,https://i.ebayimg.com/images/g/C9cAAOSwY0Fn8Y1q/s-l140.jpg,"Sold  Apr 10, 2025"
"Bernard Ravca Stockinette Dolls 10"" Vintage France  Elderly Man Woman Z10q","1,431,100.00 VND",https://www.ebay.com/itm/156798779318,https://i.ebayimg.com/images/g/YFIAAOSwwsll3Tus/s-l140.jpg,"Sold  Mar 16, 2025"
1995 Topps #547 Bernard Gilkey - NM,"25,759.80 VND",https://www.ebay.com/itm/355777813109,https://i.ebayimg.com/images/g/NZQAAOSwVX9mZRWg/s-l140.jpg,"Sold  Apr 10, 2025"
2000 Topps #74 Bernard Gilkey - NM,"25,759.80 VND",https://www.ebay.com/itm/354205224939,https://i.ebayimg.com/images/g/jHgAAOSwShJlbwVr/s-l140.jpg,"Sold  Feb 24, 2025"
