Title,Price,Link,Image Link,Sold Date
2024-25 Panini Donruss Fifa - The Rookies Bernard Kamungo #12 Red,"25,785.00 VND",https://www.ebay.com/itm/167390693129,https://i.ebayimg.com/images/g/nhUAAeSw2L5n3D2F/s-l140.jpg,"Sold  Mar 23, 2025"
2024-25 Panini Donruss Fifa - Rookie Kings Red #4 Bernard Kamungo,"25,785.00 VND",https://www.ebay.com/itm/167370113917,https://i.ebayimg.com/images/g/wA0AAeSw8Btnx05t/s-l140.jpg,"Sold  Mar 18, 2025"
2024-25 Panini Donruss Fifa - Rookie Kings Bernard Kamungo #4,"25,527.15 VND",https://www.ebay.com/itm/405655599357,https://i.ebayimg.com/images/g/-asAAeSw7jpn1Io3/s-l140.jpg,"Sold  Mar 18, 2025"
2024-25 Panini Donruss Fifa - Rookie Kings Red #4 Bernard Kamungo,"25,527.15 VND",https://www.ebay.com/itm/405606151297,https://i.ebayimg.com/images/g/kNUAAeSw6L9nx14m/s-l140.jpg,"Sold  Mar 9, 2025"
2024-25 Donruss FIFA Soccer Bernard Kamungo Rookie Kings Pink /25 RC,"193,387.50 VND",https://www.ebay.com/itm/256857791070,https://i.ebayimg.com/images/g/7MsAAeSw25Vn1K9S/s-l140.jpg,"Sold  Mar 19, 2025"
2024-25 Donruss FIFA Soccer Bernard Kamungo Rookie Kings SILVER RC USA USMNT,"25,527.15 VND",https://www.ebay.com/itm/197064159286,https://i.ebayimg.com/images/g/wH8AAOSwcvFnqhus/s-l140.jpg,"Sold  Mar 7, 2025"
2024-25 Donruss FIFA Soccer Bernard Kamungo Rookie Kings SILVER RC USA USMNT,"128,667.15 VND",https://www.ebay.com/itm/197007968029,https://i.ebayimg.com/images/g/wH8AAOSwcvFnqhus/s-l140.jpg,"Sold  Feb 14, 2025"
"2024-25 Donruss Soccer The Rookies #12 Bernard Kamungo, United States","51,312.15 VND",https://www.ebay.com/itm/235930239603,https://i.ebayimg.com/images/g/nCQAAOSwZ~dnlXxG/s-l140.jpg,"Sold  Mar 16, 2025"
"2024-25 Donruss Soccer The Rookies 12 Bernard Kamungo, United States","51,312.15 VND",https://www.ebay.com/itm/197024392306,https://i.ebayimg.com/images/g/rqoAAOSwSu9nlVZp/s-l140.jpg,"Sold  Feb 17, 2025"
"2024-25 Donruss Soccer Rookie Kings #4 Bernard Kamungo, United States","36,099.00 VND",https://www.ebay.com/itm/297000509546,https://i.ebayimg.com/images/g/h6QAAOSwYPNnnpIr/s-l140.jpg,"Sold  Feb 14, 2025"
Bernard Kamungo - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/296954982278,https://i.ebayimg.com/images/g/D9YAAOSwyCxnjvfF/s-l140.jpg,"Sold  Jan 23, 2025"
Bernard Kamungo - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/226555268188,https://i.ebayimg.com/images/g/KRIAAOSwsABnjaaN/s-l140.jpg,"Sold  Jan 22, 2025"
Bernard Kamungo 2024-25 Panini Donruss FIFA Rookie King Gold /10 RC USA,"89,473.95 VND",https://www.ebay.com/itm/256867687035,https://i.ebayimg.com/images/g/45YAAOSwy7Bn3Ome/s-l140.jpg,"Sold  Mar 30, 2025"
2024-25 Panini Donruss FIFA Bernard Kamungo Rookie Pitch Kings,"25,527.15 VND",https://www.ebay.com/itm/127000987952,https://i.ebayimg.com/images/g/DmMAAeSwSn1nxhTH/s-l140.jpg,"Sold  Mar 23, 2025"
2024-25 Panini Donruss Soccer Bernard Kamungo The Rookies Red #12 Canvas,"30,684.15 VND",https://www.ebay.com/itm/286404882746,https://i.ebayimg.com/images/g/sg0AAeSwsvJn0jGJ/s-l140.jpg,"Sold  Mar 17, 2025"
2024-25 Donruss FIFA Soccer Bernard Kamungo The Rookies SILVER RC USA USMNT,"25,527.15 VND",https://www.ebay.com/itm/197095731746,https://i.ebayimg.com/images/g/d4UAAeSwS11nz2uH/s-l140.jpg,"Sold  Mar 17, 2025"
BERNARD KAMUNGO 2024 Donruss Soccer The Rookies Red #12 RC UNITED STATES,"25,785.00 VND",https://www.ebay.com/itm/297079451028,https://i.ebayimg.com/images/g/DuoAAeSwAgtnqMgM/s-l140.jpg,"Sold  Mar 10, 2025"
2024-25 Dunruss Optic FIFA Bernard Kamungo RC Rookie Kings Lot*10 DM5WJ,"25,785.00 VND",https://www.ebay.com/itm/396244224078,https://i.ebayimg.com/images/g/JK0AAOSwZrFnvU8z/s-l140.jpg,"Sold  Mar 1, 2025"
2024-25 Donruss Soccer Bernard Kamungo Rookie Kings Insert United States,"38,419.65 VND",https://www.ebay.com/itm/356573590949,https://i.ebayimg.com/images/g/x4kAAeSwLgpnr9y8/s-l140.jpg,"Sold  Feb 17, 2025"
Bernard Kamungo 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"25,527.15 VND",https://www.ebay.com/itm/167287143953,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
