Title,Price,Link,Image Link,Sold Date
Branislav Ivanovic 2020-21 Panini Chronicles Treasured Threads #TT-BI Silver /25,"58,545.00 VND",https://www.ebay.com/itm/176925843502,https://i.ebayimg.com/images/g/MM0AAOSwZ4BmKayn/s-l140.jpg,"Sold  Mar 22, 2025"
Branislav Ivanovic 2020-21 Panini Chronicles Treasuered Threads Relic /49,"143,110.00 VND",https://www.ebay.com/itm/256850028376,https://i.ebayimg.com/images/g/y~AAAOSwJjtnzPbe/s-l140.jpg,"Sold  Mar 16, 2025"
Branislav ivanovic #26 Chelsea 08/49 made 5x7 purple 2014/2015 Topps Premier,"442,079.80 VND",https://www.ebay.com/itm/364062601766,https://i.ebayimg.com/images/g/auIAAOSwbtpjhATE/s-l140.jpg,"Sold  Jan 28, 2025"
Branislav Ivanovic #26 Chelsea  /199 5x7  2014-2015 Topps Premier Gold,"181,879.80 VND",https://www.ebay.com/itm/354440223367,https://i.ebayimg.com/images/g/kcwAAOSwmZljk4ym/s-l140.jpg,"Sold  Jan 28, 2025"
2022-23 Panini Select FIFA Jumbo Swatches Relic Branislav Ivanovic #JS-BIC,"70,908.75 VND",https://www.ebay.com/itm/235914220256,https://i.ebayimg.com/images/g/9bEAAOSwe5Jnhs2c/s-l140.jpg,"Sold  Jan 22, 2025"
Branislav Ivanovic National Treasures Treasured Threads Triple Relic /500,"78,060.00 VND",https://www.ebay.com/itm/156821361076,https://i.ebayimg.com/images/g/OvAAAeSwtW1n3vJh/s-l140.jpg,"Sold  Apr 2, 2025"
2015 Panini Donruss The Beautiful Game Signatures Branislav Ivanovic #BG-BI Auto,"1,061,355.80 VND",https://www.ebay.com/itm/235974100253,https://i.ebayimg.com/images/g/qJQAAeSwMMRnvBJE/s-l140.jpg,"Sold  Mar 31, 2025"
2015-16 Panini Select Tie-Dye Prizm 4/30 Branislav Ivanovic #13,"110,585.00 VND",https://www.ebay.com/itm/335857203856,https://i.ebayimg.com/images/g/d0gAAeSwLYJn0Mir/s-l140.jpg,"Sold  Mar 21, 2025"
2015-16 Select National Pride Branislav Ivanovic CAMO # /249 Prizm Serbia,"65,050.00 VND",https://www.ebay.com/itm/404993000961,https://i.ebayimg.com/images/g/bH4AAOSwubZmTob~/s-l140.jpg,"Sold  Mar 21, 2025"
2015 Select Tie-Dye Prizm 30/30 Branislav Ivanovic (Ball Back Photo Variation),"240,945.20 VND",https://www.ebay.com/itm/335855251500,https://i.ebayimg.com/images/g/3pAAAeSwTyNnzzVF/s-l140.jpg,"Sold  Mar 19, 2025"
2020 Panini Immaculate Jumbo Dual Patch 48/50 Branislav Ivanovic #J-BI,"481,370.00 VND",https://www.ebay.com/itm/335844916807,https://i.ebayimg.com/images/g/n9YAAeSwLtNnx5MD/s-l140.jpg,"Sold  Mar 12, 2025"
Branislav Ivanovic 2020-21 Panini Obsidian Eruption RELIC GREEN (/25) West Brom,"390,039.80 VND",https://www.ebay.com/itm/275176730034,https://i.ebayimg.com/images/g/NHoAAOSwtmtiEuOe/s-l140.jpg,"Sold  Mar 12, 2025"
2016-17 Panini Spectra Purple Die-Cut /35 Branislav Ivanovic #88,"283,357.80 VND",https://www.ebay.com/itm/256840518280,https://i.ebayimg.com/images/g/3~4AAeSwx3dnxRWQ/s-l140.jpg,"Sold  Mar 2, 2025"
2019-20 Elite Throwback Threads Prime #5 Branislav Ivanovic Jersey /50,"429,330.00 VND",https://www.ebay.com/itm/365093455337,https://i.ebayimg.com/images/g/9wcAAOSw7RZngy6p/s-l140.jpg,"Sold  Jan 16, 2025"
2020 Panini Immaculate Jersey Card : Branislav Ivanovic #37/50,"325,250.00 VND",https://www.ebay.com/itm/353469481640,https://i.ebayimg.com/images/g/1rMAAOSwpo5gqSlf/s-l140.jpg,"Sold  Apr 9, 2025"
Panini - Adrenalyn XL - 12/13 - Branislav Ivanovic - Chelsea FC - Base Card,"28,489.30 VND",https://www.ebay.com/itm/135502672015,https://i.ebayimg.com/images/g/i6MAAOSwkG1nihHK/s-l140.jpg,"Sold  Mar 16, 2025"
2020 Panini Immaculate Remarkable Memorabilia Branislav Ivanovic /99 West Brom,"284,608.09 VND",https://www.ebay.com/itm/405392769519,https://i.ebayimg.com/images/g/Of0AAOSwORVnTIiC/s-l140.jpg,"Sold  Mar 10, 2025"
Panini Russia 2018 PRIZM Branislav Ivanovic Serbia Base Card No. 180,"33,357.64 VND",https://www.ebay.com/itm/202424798107,https://i.ebayimg.com/images/g/uuAAAOSwvspbjRf-/s-l140.jpg,"Sold  Jan 26, 2025"
