Title,Price,Link,Image Link,Sold Date
2024-25 Donruss Soccer BRYAN GONZALEZ The Rookies #9 - Mexico,"62,296.56 VND",https://www.ebay.com/itm/375997939784,https://i.ebayimg.com/images/g/rkQAAOSwNdhnsKPJ/s-l500.jpg,"Sold  Apr 6, 2025"
2024-25 Donruss Soccer BRYAN GONZALEZ The Rookies Silver #9,"124,437.38 VND",https://www.ebay.com/itm/197001934887,https://i.ebayimg.com/images/g/JXoAAOSwOx5np4Bx/s-l140.jpg,"Sold  Feb 27, 2025"
2024 Panini Donruss FIFA Optic Rated Rookie Red Prizm /299 Bryan Gonzalez #180,"88,184.70 VND",https://www.ebay.com/itm/335886858713,https://i.ebayimg.com/images/g/PRMAAeSwuQxn6GIV/s-l140.jpg,"Sold  Mar 29, 2025"
2024-25 Panini Donruss FIFA Optic Rated Rookie Holo Prizm Bryan Gonzalez #180,"65,493.90 VND to 87,926.85 VND",https://www.ebay.com/itm/235975377022,https://i.ebayimg.com/images/g/HXUAAeSw1J5nyG4a/s-l140.jpg,"Sold  Mar 14, 2025"
2024-25 Panini Donruss FIFA - Optic Rated Rookie Holo Prizm #180 Bryan Gonzalez,"25,785.00 VND",https://www.ebay.com/itm/156727536511,https://i.ebayimg.com/images/g/mQMAAeSwjc1nsUUn/s-l140.jpg,"Sold  Mar 1, 2025"
2024-25 Panini Donruss BRYAN GONZALEZ 14/25 Rated Rookie RC Purple Mojo Prizm,"58,545.00 VND",https://www.ebay.com/itm/306209851103,https://i.ebayimg.com/images/g/eIsAAOSwEpVnzlk0/s-l140.jpg,"Sold  Apr 7, 2025"
2024-25 Panini Donruss BRYAN GONZALEZ 14/25 Rated Rookie RC Purple Mojo Prizm,"25,759.80 VND",https://www.ebay.com/itm/306169623155,https://i.ebayimg.com/images/g/eIsAAOSwEpVnzlk0/s-l140.jpg,"Sold  Mar 18, 2025"
2024-25 Panini Donruss Bryan Gonzalez Rookie RC Purple 16/25 Mexico Pachuca,"123,595.00 VND",https://www.ebay.com/itm/365483585101,https://i.ebayimg.com/images/g/syIAAOSwoyFn40uI/s-l140.jpg,"Sold  Mar 30, 2025"
2024-25 Panini Donruss Bryan Gonzalez Rookie RC Optic Gold 6/10 Mexico Pachuca,"754,580.00 VND",https://www.ebay.com/itm/365478719679,https://i.ebayimg.com/images/g/knIAAOSwEYRn4KgM/s-l140.jpg,"Sold  Mar 28, 2025"
2024-25 Panini Donruss Bryan Gonzalez Rookie RC Optic Gold 6/10 Mexico Pachuca,"804,018.00 VND",https://www.ebay.com/itm/365459287058,https://i.ebayimg.com/images/g/c30AAOSwClZn03kN/s-l140.jpg,"Sold  Mar 18, 2025"
2024-25 Panini Donruss Optic Bryan Gonzalez RC RED #183/299 Mexico Pachuca,"130,100.00 VND",https://www.ebay.com/itm/286415062946,https://i.ebayimg.com/images/g/aWsAAOSwCxFn14Oo/s-l140.jpg,"Sold  Mar 16, 2025"
2024-25 Panini Donruss Bryan Gonzalez Rookie RC Purple 16/25 Mexico Pachuca,"123,595.00 VND",https://www.ebay.com/itm/365455019619,https://i.ebayimg.com/images/g/IrwAAOSwGrNn0NXO/s-l140.jpg,"Sold  Mar 16, 2025"
2024 Greenville Drive Bryan Gonzalez RC Rookie Card Red Sox DR,"58,545.00 VND",https://www.ebay.com/itm/126516409955,https://i.ebayimg.com/images/g/Bw8AAOSwswRmYShu/s-l140.jpg,"Sold  Mar 27, 2025"
2023 Greenville Drive Bryan Gonzalez Boston Red Sox,"46,836.00 VND",https://www.ebay.com/itm/256057669695,https://i.ebayimg.com/images/g/MXUAAOSwj3VkSu1i/s-l140.jpg,"Sold  Mar 27, 2025"
2024-25 Panini Donruss Bryan Gonzalez RC Optic Plum Blossom Case Hit SSP Mexico1,"26,020.00 VND",https://www.ebay.com/itm/365472977208,https://i.ebayimg.com/images/g/yKcAAOSwhfln3M4t/s-l140.jpg,"Sold  Mar 25, 2025"
2024-25 Panini Donruss Bryan Gonzalez RC Optic Plum Blossom Case Hit SSP Mexico,"169,130.00 VND",https://www.ebay.com/itm/365444423056,https://i.ebayimg.com/images/g/X~MAAOSw9RdnykDN/s-l140.jpg,"Sold  Mar 11, 2025"
2024-25 Panini Donruss Bryan Gonzalez Rated Rookie Red RC /99 Mexico,"124,635.80 VND",https://www.ebay.com/itm/316461218245,https://i.ebayimg.com/images/g/m2MAAeSwab5ny1pX/s-l140.jpg,"Sold  Mar 14, 2025"
2024-25 Panini Donruss Bryan Gonzalez Rated Rookie Red RC #71/99 Mexico,"32,525.00 VND",https://www.ebay.com/itm/375976300805,https://i.ebayimg.com/images/g/00oAAeSwWC5npSG1/s-l140.jpg,"Sold  Feb 11, 2025"
Bryan Gonzalez 2024-25 Panini Donruss #180 Silver Optic Rated Rookie ,"51,779.80 VND",https://www.ebay.com/itm/126941426491,https://i.ebayimg.com/images/g/vlUAAeSwMMRnr5cg/s-l140.jpg,"Sold  Mar 14, 2025"
Bryan Gonzalez 2024-25 Panini Donruss #180 Silver Optic Rated Rookie ,"48,137.00 VND",https://www.ebay.com/itm/276885926139,https://i.ebayimg.com/images/g/fO8AAeSwezpntyHu/s-l140.jpg,"Sold  Feb 20, 2025"
Bryan Gonzalez 2024-25 Panini Donruss #180 Silver Optic Rated Rookie ,"51,779.80 VND",https://www.ebay.com/itm/375993301058,https://i.ebayimg.com/images/g/XGAAAOSwUUVnnrG5/s-l140.jpg,"Sold  Feb 14, 2025"
2024-25 Panini Donruss Bryan Gonzalez RC RR Silver 318/349 #180 KT01,"3,903.00 VND",https://www.ebay.com/itm/396266474898,https://i.ebayimg.com/images/g/aq8AAOSwnmBnxJer/s-l140.jpg,"Sold  Mar 10, 2025"
2024-25 Panini Donruss Bryan Gonzalez RC RR Silver 032/349 #180 KT01,"3,903.00 VND",https://www.ebay.com/itm/396246217717,https://i.ebayimg.com/images/g/z7IAAOSwnXRnvgOF/s-l140.jpg,"Sold  Mar 5, 2025"
2024-25 Panini Donruss Bryan Gonzalez RC RR Aqua 068/199 #180 KT01,"13,010.00 VND",https://www.ebay.com/itm/396200860234,https://i.ebayimg.com/images/g/RhYAAOSwFudnq4Ud/s-l140.jpg,"Sold  Feb 19, 2025"
2024-25 Panini Donruss Rated Rookie Teal Bryan Gonzalez #’d /199,"67,652.00 VND",https://www.ebay.com/itm/396245885585,https://i.ebayimg.com/images/g/sIwAAeSwf0xnveKy/s-l140.jpg,"Sold  Mar 2, 2025"
2024-25 Panini Donruss Rated Rookies Teal Card : Bryan Gonzalez #174/199,"39,030.00 VND",https://www.ebay.com/itm/356602784525,https://i.ebayimg.com/images/g/qJsAAOSwxeBnuqiP/s-l140.jpg,"Sold  Feb 28, 2025"
2024-25 Donruss The Rookies Silver #9 Bryan Gonzalez RC - Mexico,"65,050.00 VND",https://www.ebay.com/itm/286372898980,https://i.ebayimg.com/images/g/hEIAAOSw4NdnwyxC/s-l140.jpg,"Sold  Mar 1, 2025"
2024-2025 Donruss The Rookies Red Parallel Bryan Gonzalez Mexico ,"77,799.80 VND",https://www.ebay.com/itm/286324237237,https://i.ebayimg.com/images/g/AFAAAeSwJ6hnrVQX/s-l140.jpg,"Sold  Feb 12, 2025"
