Title,Price,Link,Image Link,Sold Date
Ingrained: The Making of a Craftsman by Callum Robinson Hardcover Book,"758,743.20 VND",https://www.ebay.com/itm/387694614141,https://i.ebayimg.com/images/g/ZGkAAeSwlW5nupR~/s-l500.jpg,"Sold  Jan 18, 2025"
Ingrained: The Making of a Craftsman -- Callum Robinson - Hardcover,"702,540.00 VND",https://www.ebay.com/itm/387834937567,https://i.ebayimg.com/images/g/wwAAAOSwuphnixLk/s-l140.jpg,"Sold  Feb 7, 2025"
Ingrained: The making of a craftsman by Callum Robinson,"588,095.19 VND",https://www.ebay.com/itm/186637353336,https://i.ebayimg.com/images/g/OScAAOSwnRNmwHHs/s-l140.jpg,"Sold  Apr 7, 2025"
Ingrained: The making of a craftsman by Callum Robinson Hardcover Book,"588,428.77 VND",https://www.ebay.com/itm/235965181310,https://i.ebayimg.com/images/g/IjwAAeSw-oRn5BGB/s-l140.jpg,"Sold  Mar 14, 2025"
CALLUM ROBINSON - CARDIFF CITY FC FOOTBALL SIGNED A4 MOUNT +COA,"666,819.22 VND",https://www.ebay.com/itm/146182919092,https://i.ebayimg.com/images/g/8BcAAOSwvIZnMad0/s-l140.jpg,"Sold  Mar 24, 2025"
CALLUM ROBINSON - CARDIFF CITY FC FOOTBALL SIGNED A4 MOUNT +COA,"666,819.22 VND",https://www.ebay.com/itm/146182914853,https://i.ebayimg.com/images/g/WUQAAOSwpjpnMacv/s-l140.jpg,"Sold  Jan 28, 2025"
2020-21 Panini Prizm Premier League Callum Robinson Bronze /25 West Brom,"225,717.87 VND",https://www.ebay.com/itm/405290983698,https://i.ebayimg.com/images/g/f68AAOSwCfpnEENf/s-l500.jpg,"Sold  Jan 26, 2025"
Soccer Cards Callum Robinson Pink Wave /19,"282,500.46 VND",https://www.ebay.com/itm/226665720707,https://i.ebayimg.com/images/g/QDYAAeSwSkdn481g/s-l500.jpg,"Sold  Mar 29, 2025"
Callum Robinson - West Brom. #582 Premier League 2020/21 Panini Sticker,"32,896.84 VND",https://www.ebay.com/itm/294878539653,https://i.ebayimg.com/images/g/jAkAAOSwYM9iOcVs/s-l140.jpg,"Sold  Mar 29, 2025"
2019-20 Panini Impeccable Premier League Callum Robinson RC Rookie 20/20 #65,"58,016.25 VND",https://www.ebay.com/itm/316462123936,https://i.ebayimg.com/images/g/HdMAAeSwTMxny107/s-l140.jpg,"Sold  Mar 15, 2025"
