Title,Price,Link,Image Link,Sold Date
2021 Topps Chrome UEFA Champions League Caoimhin Kelleher Liverpool Pink Wave SP,"45,123.75 VND",https://www.ebay.com/itm/195296681083,https://i.ebayimg.com/images/g/b3YAAOSwaJVi~6tk/s-l140.jpg,"Sold  Apr 3, 2025"
2020-21 Topps Chrome UEFA Champions League Caoimhin Kelleher Rookie RC #35,"25,527.15 VND",https://www.ebay.com/itm/375927971042,https://i.ebayimg.com/images/g/XwoAAOSwCQNniYFe/s-l140.jpg,"Sold  Jan 21, 2025"
2020-21 Topps Chrome UEFA Champions League #35 Caoimhin Kelleher,"51,312.15 VND",https://www.ebay.com/itm/315700307420,https://i.ebayimg.com/images/g/9cYAAeSwzm5n3Dps/s-l140.jpg,"Sold  Nov 26, 2024"
2020-21 Topps Chrome UEFA Champions Speckle Refractors #35 Caoimhin Kelleher,"51,312.15 VND",https://www.ebay.com/itm/316140808494,https://i.ebayimg.com/images/g/tJYAAeSw2QFnykh1/s-l140.jpg,"Sold  Mar 14, 2025"
Caoimhin Kelleher - Static - TOPPS Liverpool Team Set 2024/25,"199,812.26 VND",https://www.ebay.com/itm/276794531169,https://i.ebayimg.com/images/g/S-cAAOSwGfNnbs5m/s-l140.jpg,"Sold  Mar 27, 2025"
Caoimhin Kelleher - TOPPS Liverpool Team Set 2024/25,"60,043.75 VND",https://www.ebay.com/itm/276793724570,https://i.ebayimg.com/images/g/~oYAAOSwvVdnbd3Z/s-l140.jpg,"Sold  Mar 7, 2025"
2020 Caoimhin Kelleher RC Liverpool UCL Topps Now Card #26 UEFA Champions League,"495,587.70 VND",https://www.ebay.com/itm/184791051931,https://i.ebayimg.com/images/g/b7IAAeSwkcFnwDGg/s-l140.jpg,"Sold  Feb 15, 2025"
2021 Chronicles Caoimhin Kelleher XR Premier League Rookie RC #116,"25,527.15 VND",https://www.ebay.com/itm/375976376925,https://i.ebayimg.com/images/g/p20AAeSwATFnpSeH/s-l140.jpg,"Sold  Feb 11, 2025"
2020 Topps Chrome UEFA UCL Caoimhin Kelleher Refractor RC #35,"25,527.15 VND",https://www.ebay.com/itm/126895265647,https://i.ebayimg.com/images/g/ymAAAOSwlY1nj~2w/s-l140.jpg,"Sold  Jan 26, 2025"
Caoimhin Kelleher 2020-21 Chrome UEFA UCL Aoki Neon Future Rookie Liverpool,"38,419.65 VND",https://www.ebay.com/itm/375909254350,https://i.ebayimg.com/images/g/vukAAOSwIyRjHC2M/s-l140.jpg,"Sold  Jan 13, 2025"
2020-21 Topps Chrome UEFA Caoimhin Kelleher Yellow Speckle - #35  SP 040/299,"77,799.80 VND",https://www.ebay.com/itm/235739997750,https://i.ebayimg.com/images/g/NYoAAOSwQHFm4frd/s-l500.jpg,"Sold  Apr 9, 2025"
2021 Futera Unique Live Liverpool Rookies Silver #01 Caoimhin Kelleher 3/8,"1,535,180.00 VND",https://www.ebay.com/itm/133951247742,https://i.ebayimg.com/images/g/otAAAOSw2AFkH8jn/s-l500.jpg,"Sold  Apr 7, 2025"
2021-22  Chronicles Contenders Optic Mojo Caoimhin Kelleher RC / Liverpool ⭐️,"208,160.00 VND",https://www.ebay.com/itm/156835836108,https://i.ebayimg.com/images/g/7vIAAeSwegVn5gVX/s-l140.jpg,"Sold  Apr 3, 2025"
2020 Topps UCL Japan Green Refractor 27/99 Caoimhin Kelleher #35 PSA 8 Rookie RC,"195,150.00 VND",https://www.ebay.com/itm/335871992637,https://i.ebayimg.com/images/g/ruMAAeSw1r5n3Kz8/s-l140.jpg,"Sold  Apr 1, 2025"
20-21 Topps Chrome Caoimhin Kelleher Rookie Gold Refractor #35 RC /99 Liverpool,"25,759.80 VND",https://www.ebay.com/itm/156768070974,https://i.ebayimg.com/images/g/IcAAAeSwuaNnyZ6L/s-l140.jpg,"Sold  Mar 13, 2025"
2020-21 Topps Chrome UCL Caoimhin Kelleher Rookie RC Japan Gold /50,"416,059.80 VND",https://www.ebay.com/itm/176718026960,https://i.ebayimg.com/images/g/QC4AAOSwaz5nT5P5/s-l140.jpg,"Sold  Feb 8, 2025"
2024 Daka Holocene Team Liverpool FC Caoimhin Kelleher Gold 5/10 Ireland,"45,535.00 VND",https://www.ebay.com/itm/365508364871,https://i.ebayimg.com/images/g/dLkAAOSwL~Bn8I0n/s-l140.jpg,"Sold  Apr 9, 2025"
Caoimhin Kelleher /15 Season Review 2022/23 Liverpool Futera,"48,035.00 VND",https://www.ebay.com/itm/146422510569,https://i.ebayimg.com/images/g/jAsAAOSwEJtnw2Kc/s-l140.jpg,"Sold  Mar 8, 2025"
"CAOIMHIN KELLEHER, 24-25, LIVERPOOL FC, TEAM SET, TOPPS, Base, #02","56,978.60 VND",https://www.ebay.com/itm/365354184813,https://i.ebayimg.com/images/g/-pUAAOSw1SpnfT-h/s-l140.jpg,"Sold  Mar 4, 2025"
Caoimhin kelleher rookie Liverpool Ireland Steve aoki topps chrome #35 2021,"85,183.00 VND",https://www.ebay.com/itm/186791444469,https://i.ebayimg.com/images/g/Ab4AAOSw5JZnElbX/s-l140.jpg,"Sold  Mar 2, 2025"
