Title,Price,Link,Image Link,Sold Date
Carla Overbeck 2025 Leaf Metal Sports Heroes 1x Case Break #5,"25,759.80 VND",https://www.ebay.com/itm/388053227215,https://i.ebayimg.com/images/g/h2QAAOSwXm5nzNOk/s-l140.jpg,"Sold  Mar 13, 2025"
Carla Overbeck 2025 Leaf Metal Sports Heroes 1x Case Break #4,"25,759.80 VND",https://www.ebay.com/itm/388034102035,https://i.ebayimg.com/images/g/F~YAAOSwOKNnx5Iz/s-l140.jpg,"Sold  Mar 9, 2025"
Carla Overbeck 2025 Leaf Metal Sports Heroes 1x Case Break #3,"78,580.40 VND",https://www.ebay.com/itm/387904267539,https://i.ebayimg.com/images/g/5FQAAOSw6HZnppmO/s-l140.jpg,"Sold  Feb 12, 2025"
Carla Overbeck 2025 Leaf Metal Sports Heroes 1x Case Break #2,"55,422.60 VND",https://www.ebay.com/itm/387885707977,https://i.ebayimg.com/images/g/F6kAAOSw6-RnoArU/s-l140.jpg,"Sold  Feb 7, 2025"
Carla Overbeck 2025 Leaf Metal Sports Heroes 1x Case Break #1,"110,585.00 VND",https://www.ebay.com/itm/387873255105,https://i.ebayimg.com/images/g/7qEAAOSw3gxnmsL4/s-l140.jpg,"Sold  Feb 3, 2025"
Carla Overbeck 2025 Leaf Metal Sports Heroes Case 15Box Break,"46,315.60 VND",https://www.ebay.com/itm/256784499344,https://i.ebayimg.com/images/g/eYgAAOSwrfdnhUIn/s-l140.jpg,"Sold  Jan 20, 2025"
Carla Overbeck 2025 Leaf Metal Sports Heroes 1X Case 15X Box Break #2,"103,819.80 VND",https://www.ebay.com/itm/235906041451,https://i.ebayimg.com/images/g/N7wAAOSwYdpnfynw/s-l140.jpg,"Sold  Jan 15, 2025"
Carla Overbeck - 2025 Leaf Metal Sports Heroes Solo 1X Case 25X Pack BREAK #2,"64,789.80 VND",https://www.ebay.com/itm/296939279655,https://i.ebayimg.com/images/g/09sAAOSw-MdngxvJ/s-l140.jpg,"Sold  Jan 14, 2025"
Carla Overbeck - 2025 Leaf Metal Sports Heroes Solo 1X Case 25X Pack BREAK #1,"64,789.80 VND",https://www.ebay.com/itm/226538169525,https://i.ebayimg.com/images/g/UWcAAOSwWDVngcqb/s-l140.jpg,"Sold  Jan 13, 2025"
CARLA OVERBECK SIGNED 8X10 PHOTO BECKETT BAS COA USA 1999 WORLD CUP SOCCER 3,"129,839.80 VND",https://www.ebay.com/itm/396172410748,https://i.ebayimg.com/images/g/JGIAAOSws9NnoYQ2/s-l140.jpg,"Sold  Feb 10, 2025"
CARLA OVERBECK SIGNED 8X10 PHOTO BECKETT BAS COA USA 1999 WORLD CUP SOCCER 2,"129,839.80 VND",https://www.ebay.com/itm/396144070497,https://i.ebayimg.com/images/g/lxQAAOSwpNZnkbDG/s-l140.jpg,"Sold  Jan 29, 2025"
2019-20 Panini Obsidian Carla Overbeck Electric Etch Orange #7/35 USA SGC 10 🔥,"410,075.20 VND",https://www.ebay.com/itm/316167235814,https://i.ebayimg.com/images/g/AjIAAOSw-spi78vQ/s-l140.jpg,"Sold  Feb 8, 2025"
2019-20 Panini Obsidian Carla Overbeck Electric Gold Etch 7/15 USA USWNT,"149,615.00 VND",https://www.ebay.com/itm/365469095817,https://i.ebayimg.com/images/g/wZ0AAOSwxb1n2j0f/s-l140.jpg,"Sold  Mar 23, 2025"
Carla Overbeck #837 Female Soccer NWSL Sports Illustrated for Kids SI For Kids,"129,839.80 VND",https://www.ebay.com/itm/335777216149,https://i.ebayimg.com/images/g/IGsAAOSw6k5njb-X/s-l140.jpg,"Sold  Jan 30, 2025"
Carla Overbeck #837 Female Soccer NWSL Sports Illustrated for Kids SI For Kids,"103,819.80 VND",https://www.ebay.com/itm/226529918999,https://i.ebayimg.com/images/g/scAAAOSwW6hnewQD/s-l140.jpg,"Sold  Jan 17, 2025"
Carla Overbeck autographed signed U.S. Soccer 1994 Upper Deck UD Rookie Card RC,"514,152.90 VND",https://www.ebay.com/itm/166707225286,https://i.ebayimg.com/images/g/CLoAAOSwA11kv~ow/s-l140.jpg,"Sold  Mar 12, 2025"
CARLA OVERBECK Signed Autographed 8x10 Photo USWNT Team USA World Cup,"644,367.15 VND",https://www.ebay.com/itm/144312900114,https://i.ebayimg.com/images/g/1RAAAOSwWL9hpude/s-l140.jpg,"Sold  Mar 11, 2025"
Olympic Women's Soccer Great Carla Overbeck Autographed 8x10 W/Beckett Holo,"128,667.15 VND",https://www.ebay.com/itm/388017904782,https://i.ebayimg.com/images/g/OwwAAOSw6jlnw0Xo/s-l140.jpg,"Sold  Mar 8, 2025"
Lot Of 2003 WWC Women’s World Cup Soccer Tickets Towel Autographs Carla Overbeck,"1,675,767.15 VND",https://www.ebay.com/itm/286357459309,https://i.ebayimg.com/images/g/-CQAAeSwwgRnvBke/s-l140.jpg,"Sold  Feb 24, 2025"
1999 Sports Illustrated for Kids #837 Carla Overbeck - USA RC,"129,839.80 VND",https://www.ebay.com/itm/256748681567,https://i.ebayimg.com/images/g/rRsAAOSw-fZnW18z/s-l500.jpg,"Sold  Apr 9, 2025"
2019-20 Panini Obsidian Electric Etch Red /22 Carla Overbeck #90 Rookie RC,"58,545.00 VND",https://www.ebay.com/itm/316178927002,https://i.ebayimg.com/images/g/MvMAAOSwVQJmB3Lt/s-l140.jpg,"Sold  Feb 15, 2025"
1994 Upper Deck World Cup Spanish Carla Overbeck USA #270 ⚽,"33,826.00 VND",https://www.ebay.com/itm/395210261584,https://i.ebayimg.com/images/g/dUEAAOSwJkhlv7L2/s-l140.jpg,"Sold  Jan 30, 2025"
"""Carolina Courage"" Carla Overbeck Signed 8X10 Color Photo COA","1,300,739.80 VND",https://www.ebay.com/itm/156609251572,https://i.ebayimg.com/images/g/rqEAAOSwspFhTIjW/s-l140.jpg,"Sold  Jan 19, 2025"
2024 Parkside USWNT Silver Jubilee 1999 World Champions #7 Carla Overbeck,"34,866.80 VND",https://www.ebay.com/itm/267102281144,https://i.ebayimg.com/images/g/q1MAAOSwYxhnZZnr/s-l140.jpg,"Sold  Jan 17, 2025"
1994 Upper Deck World Cup Contenders Eng Esp CARLA OVERBECK #270 USA,"46,575.80 VND",https://www.ebay.com/itm/296942847869,https://i.ebayimg.com/images/g/O6oAAOSwJuZnhcBc/s-l140.jpg,"Sold  Jan 17, 2025"
