Title,Price,Link,Image Link,Sold Date
2023-24 Panini Prizm Premier League Purple Prizm Carlton Morris #291 Rookie RC,"71,682.30 VND",https://www.ebay.com/itm/235887273254,https://i.ebayimg.com/images/g/maUAAOSwQxpnnkuu/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Prizm Premier League Carlton Morris #291 Rookie RC,"39,193.20 VND to 73,229.40 VND",https://www.ebay.com/itm/335685559361,https://i.ebayimg.com/images/g/WKYAAOSwhQVnPgfm/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Prizm Premier League Pink Breakaway /149 Carlton Morris Rookie RC,"191,582.55 VND",https://www.ebay.com/itm/256784381204,https://i.ebayimg.com/images/g/YkAAAOSwrbpniBpR/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Prizm Premier League Blue /299 Carlton Morris #291 Rookie RC,"89,473.95 VND to 251,145.90 VND",https://www.ebay.com/itm/235822724556,https://i.ebayimg.com/images/g/dL8AAOSwqPlnh0--/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Prizm Premier League Red Mosaic Carlton Morris #291 Rookie RC,"35,325.45 VND to 58,531.95 VND",https://www.ebay.com/itm/335657427196,https://i.ebayimg.com/images/g/tnoAAOSwlu5naEwd/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Prizm Premier League Blue Ice /75 Carlton Morris #291 Rookie RC,"154,710.00 VND",https://www.ebay.com/itm/235888991570,https://i.ebayimg.com/images/g/58EAAOSwr7VnbrTk/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Prizm Premier League Purple Mosaic /140 Carlton Morris Rookie RC,"236,448.45 VND",https://www.ebay.com/itm/335728453828,https://i.ebayimg.com/images/g/iFUAAOSwn3RnXQgR/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Prizm Premier League Blue Mosaic Carlton Morris #291 Rookie RC,"125,057.25 VND",https://www.ebay.com/itm/256752442273,https://i.ebayimg.com/images/g/mwwAAOSw68ZnX8CO/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Prizm Premier League Lazer Prizm Carlton Morris #291 Rookie RC,"110,359.80 VND",https://www.ebay.com/itm/256761071459,https://i.ebayimg.com/images/g/VgIAAOSw4CNnatj2/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Panini Impeccable Premier League SC Carlton Morris Stainless Stars 15/22,"83,801.25 VND",https://www.ebay.com/itm/375998673391,https://i.ebayimg.com/images/g/zxYAAOSwTnxnsOrk/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Impeccable Premier League SC Carlton Morris Stainless Stars 12/22,"83,801.25 VND",https://www.ebay.com/itm/375998673400,https://i.ebayimg.com/images/g/9f4AAOSwnEdnsOpo/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 CARLTON MORRIS 46/49 PANINI PRIZM PREMIER LEAGUE VELOCITY RED ROOKIE RC,"257,592.15 VND",https://www.ebay.com/itm/156103922687,https://i.ebayimg.com/images/g/2hUAAOSwXItl587g/s-l140.jpg,"Sold  Jan 28, 2025"
2023-24 CARLTON MORRIS 36/49 PANINI PRIZM PREMIER LEAGUE DISCO RED ROOKIE RC,"206,022.15 VND",https://www.ebay.com/itm/156593257411,https://i.ebayimg.com/images/g/qhUAAOSwN-hnY69g/s-l140.jpg,"Sold  Jan 28, 2025"
2023 Obsidian Carlton Morris Rookie RC Electric Etch Blue #18/20,"54,121.60 VND",https://www.ebay.com/itm/126922946472,https://i.ebayimg.com/images/g/20MAAOSwf5Nno7N9/s-l140.jpg,"Sold  Feb 10, 2025"
2023 Obsidian Carlton Morris Rookie RC Electric Etch Orange #36/40,"60,626.60 VND",https://www.ebay.com/itm/126922946465,https://i.ebayimg.com/images/g/JZsAAeSwappno7Ok/s-l140.jpg,"Sold  Feb 10, 2025"
2023-24 Panini Prizm EPL Carlton Morris #291 Rookie RC Purple White Stripes /92,"25,759.80 VND",https://www.ebay.com/itm/316140225660,https://i.ebayimg.com/images/g/~WIAAOSwUtJm~Gnx/s-l140.jpg,"Sold  Jan 22, 2025"
2023-24 Panini Prizm EPL Carlton Morris #291 Rookie RC Purple White Stripes /92,"500,364.60 VND",https://www.ebay.com/itm/205078634515,https://i.ebayimg.com/images/g/GgoAAOSwONVnJgne/s-l140.jpg,"Sold  Jan 19, 2025"
2023-24 Panini Prizm EPL Carlton Morris #291 Rookie RC Purple White Stripes /92,"25,759.80 VND",https://www.ebay.com/itm/316117089816,https://i.ebayimg.com/images/g/~WIAAOSwUtJm~Gnx/s-l140.jpg,"Sold  Jan 13, 2025"
2023-24 Panini Obsidian Soccer Carlton Morris Red Pulsar Electric Etch 20/49 RC,"25,527.15 VND",https://www.ebay.com/itm/376102734972,https://i.ebayimg.com/images/g/TPUAAOSwa-9nqzMl/s-l500.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Prizm Premier League #291 Carlton Morris Rookie Red Mosaic Prizm,"25,527.15 VND",https://www.ebay.com/itm/356529899347,https://i.ebayimg.com/images/g/6yMAAOSw9IdnjfVy/s-l140.jpg,"Sold  Feb 9, 2025"
2023-24 Impeccable Premier League Carlton Morris Ruby Rookie RC #/15 #105,"109,586.25 VND",https://www.ebay.com/itm/126881473051,https://i.ebayimg.com/images/g/iX8AAOSwvOZnhX5D/s-l140.jpg,"Sold  Jan 18, 2025"
2023-24 Panini Select Premier League Carlton Morris Purple Mojo Rookie #156,"25,527.15 VND",https://www.ebay.com/itm/316101257820,https://i.ebayimg.com/images/g/HpMAAOSweBJnduRs/s-l140.jpg,"Sold  Jan 7, 2025"
Panini Select Premier League Soccer 2023 24 Luton Town Carlton Morris /175,"28,250.05 VND",https://www.ebay.com/itm/388067362615,https://i.ebayimg.com/images/g/A9QAAeSwGg9n0KPd/s-l140.jpg,"Sold  Mar 18, 2025"
2023-24 Panini Impeccable Premier League Soccer Carlton Morris Ruby 01/15 RC,"25,527.15 VND",https://www.ebay.com/itm/375996911851,https://i.ebayimg.com/images/g/KL4AAOSwp8hnr~Fk/s-l140.jpg,"Sold  Feb 22, 2025"
Carlton Morris RC 2023-24 Panini Select Premier League Mezzanine Zebra 04/25,"83,801.25 VND",https://www.ebay.com/itm/376056615479,https://i.ebayimg.com/images/g/gmUAAOSwpZFnzmo~/s-l140.jpg,"Sold  Mar 14, 2025"
Carlton Morris Electric Etch Red Pulsar 23/49 RC 2023-24 Panini Obsidian Soccer,"32,231.25 VND",https://www.ebay.com/itm/375940696885,https://i.ebayimg.com/images/g/wp0AAOSwqz9nkGgB/s-l140.jpg,"Sold  Jan 26, 2025"
Carlton Morris RED FLOOR ELECTRIC 07/10 RC 2023-24 Panini Obsidian Soccer,"96,693.75 VND",https://www.ebay.com/itm/375940666864,https://i.ebayimg.com/images/g/9G4AAOSwIZ9nkGPH/s-l140.jpg,"Sold  Jan 26, 2025"
Carlton Morris Snakeskin 2023-24 Panini Prizm Premier League #291 Rookie Luton,"2,159,893.42 VND",https://www.ebay.com/itm/205231743051,https://i.ebayimg.com/images/g/a~kAAOSwrMVni9vD/s-l140.jpg,"Sold  Jan 19, 2025"
Carlton Morris 2023-24 Panini Premier League Prizm Red Stars /25 Rookie Card,"996,873.89 VND",https://www.ebay.com/itm/205026088065,https://i.ebayimg.com/images/g/vIUAAOSw7Spm~quk/s-l140.jpg,"Sold  Jan 16, 2025"
2023-24 Panini Immaculate 50/60 Carlton Morris #187 Rookie RC,"46,836.00 VND",https://www.ebay.com/itm/335885044507,https://i.ebayimg.com/images/g/IesAAeSwtQpn5s45/s-l500.jpg,"Sold  Apr 9, 2025"
carlton morris green ice ssp- premier league soccer,"25,759.80 VND",https://www.ebay.com/itm/236029110875,https://i.ebayimg.com/images/g/8PcAAOSwfmtn6UhS/s-l500.jpg,"Sold  Apr 9, 2025"
2023-24 PANINI OBSIDIAN CARLTON MORRIS RED FLOOD ELECTRIC ETCH ROOKIE#70#D07/10,"138,581.17 VND",https://www.ebay.com/itm/297033064843,https://i.ebayimg.com/images/g/aWYAAOSw2p9ntRPf/s-l140.jpg,"Sold  Mar 20, 2025"
2023-24 Panini Prizm Purple Mosaic Prizm /140 Carlton Morris #291,"123,595.00 VND",https://www.ebay.com/itm/405187677689,https://i.ebayimg.com/images/g/DpkAAOSwxjVmyYQT/s-l140.jpg,"Sold  Feb 26, 2025"
2023-24 Panini Obsidian Carlton Morris Electric Etch Black #70 /120 (RC),"25,759.80 VND",https://www.ebay.com/itm/306066943727,https://i.ebayimg.com/images/g/m4sAAOSwY2VnlrJT/s-l140.jpg,"Sold  Jan 31, 2025"
Carlton Morris 2023-24 Panini Obsidian Rookie RC Silver #/120 #70 Luton Town,"25,759.80 VND",https://www.ebay.com/itm/396106826799,https://i.ebayimg.com/images/g/r1wAAOSwpvVnfzOX/s-l140.jpg,"Sold  Jan 15, 2025"
2023-24 Panini Impeccable CARLTON MORRIS 5/25 Rookie RC Sapphire SP #105,"25,759.80 VND",https://www.ebay.com/itm/306210284217,https://i.ebayimg.com/images/g/XWgAAOSwQVln6WAJ/s-l140.jpg,"Sold  Apr 6, 2025"
2023-24 Panini Prizm CARLTON MORRIS 1/5 Rookie RC Breakaway Green Prizm #291,"244,067.60 VND",https://www.ebay.com/itm/306176296355,https://i.ebayimg.com/images/g/9awAAOSw4-pn0mhw/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 PANINI OBSIDIAN LUTON CARLTON MORRIS White Pulsar SSP 10/11 #70 RC,"124,896.00 VND",https://www.ebay.com/itm/365468863957,https://i.ebayimg.com/images/g/XZYAAOSwkDdn2hcx/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 PANINI IMMACULATE COLLECTION RC #187 CARLTON MORRIS 09/60 JERSEY NUMBER,"25,759.80 VND",https://www.ebay.com/itm/316374272441,https://i.ebayimg.com/images/g/NE8AAOSwl2Znu7-M/s-l140.jpg,"Sold  Feb 28, 2025"
Carlton Morris 2023-24 Panini Obsidian Electric Etch Rookie RC /120,"256,403.68 VND",https://www.ebay.com/itm/286261351197,https://i.ebayimg.com/images/g/CnAAAOSwIA9nhEH-/s-l140.jpg,"Sold  Feb 10, 2025"
Carlton Morris Obsidian Blue Flood /15 Luton ,"500,364.60 VND",https://www.ebay.com/itm/167155528453,https://i.ebayimg.com/images/g/qHYAAOSwdFZnUxCN/s-l140.jpg,"Sold  Jan 27, 2025"
CARLTON MORRIS Select Football 23-24 Field Level Camo /175 Rookie Card,"166,788.20 VND",https://www.ebay.com/itm/205035794259,https://i.ebayimg.com/images/g/a8oAAOSw7txnCCOp/s-l140.jpg,"Sold  Jan 21, 2025"
Panini Obsidian 2023/24 Luton Town Carlton Morris - Numbered 11/25,"583,758.70 VND",https://www.ebay.com/itm/126861126169,https://i.ebayimg.com/images/g/1y8AAOSwhmpndThZ/s-l140.jpg,"Sold  Jan 20, 2025"
