Title,Price,Link,Image Link,Sold Date
2023-24 Topps Chrome UEFA Women’s Caroline Graham Hansen Premium Auto Relic 5/5,"10,489,338.00 VND",https://www.ebay.com/itm/156811996962,https://i.ebayimg.com/images/g/-QcAAOSwaX1n2xn5/s-l140.jpg,"Sold  Mar 24, 2025"
2021-22 Topps Chrome UEFA Women's Caroline Graham Hansen Orange Wave /25 PSA 9,"3,093,942.15 VND",https://www.ebay.com/itm/155196446378,https://i.ebayimg.com/images/g/HBkAAOSwwwpjP2Wm/s-l140.jpg,"Sold  Mar 23, 2025"
2022-23 Topps Chrome UEFA Caroline Graham Hansen #A-CG Chrome Refractor Auto FCB,"58,016.25 VND",https://www.ebay.com/itm/376080515424,https://i.ebayimg.com/images/g/Q0UAAeSwu0Rns~-9/s-l140.jpg,"Sold  Mar 21, 2025"
Caroline Graham Hansen Auto 2022-23 Topps Chrome UEFA Women's Champions League,"257,592.15 VND",https://www.ebay.com/itm/235995861429,https://i.ebayimg.com/images/g/oukAAOSw1OhnzN7W/s-l140.jpg,"Sold  Mar 14, 2025"
2023 TOPPS CHROME SAPPHIRE EDITION UEFA ORANGE CAROLINE GRAHAM HANSEN /25 PSA 10,"458,715.15 VND",https://www.ebay.com/itm/297077128206,https://i.ebayimg.com/images/g/NLEAAeSwe39nxS2M/s-l140.jpg,"Sold  Mar 13, 2025"
2021-22 Topps Chrome UEFA Women's Champions League Caroline Graham Hansen Auto,"644,625.00 VND",https://www.ebay.com/itm/266889014042,https://i.ebayimg.com/images/g/uPEAAOSw~qNmhXZY/s-l140.jpg,"Sold  Mar 6, 2025"
2023 TOPPS CHROME SAPPHIRE UEFA WOMEN'S Caroline Graham Hansen GOLD PSA 10 GEM ,"1,183,015.80 VND",https://www.ebay.com/itm/316104159803,https://i.ebayimg.com/images/g/cjUAAOSwSABnd13W/s-l140.jpg,"Sold  Mar 4, 2025"
2023 DONRUSS FIFA WOMENS WORLD CUP CECILIE CAROLINE GRAHAM HANSEN SILVER #128,"82,512.00 VND",https://www.ebay.com/itm/386356266542,https://i.ebayimg.com/images/g/wuUAAOSwF8Flbgsw/s-l140.jpg,"Sold  Mar 3, 2025"
2023 Panini Donruss FIFA Women's World Cup Blue /99 Caroline Graham Hansen #128,"110,359.80 VND",https://www.ebay.com/itm/256801558772,https://i.ebayimg.com/images/g/0w8AAeSwmaRnxB0w/s-l140.jpg,"Sold  Mar 2, 2025"
Caroline Graham Hansen 2023 Women's World Cup #16 Panini Field Vision Norway,"39,193.20 VND",https://www.ebay.com/itm/166827049845,https://i.ebayimg.com/images/g/2kEAAOSwSDhmZ5xd/s-l140.jpg,"Sold  Mar 1, 2025"
2023 DONRUSS WOMENS WORLD CUP CAROLINE GRAHAM HANSEN FIELD VISION RED #229/299,"103,140.00 VND",https://www.ebay.com/itm/386312828584,https://i.ebayimg.com/images/g/A3QAAOSwsvNlYT0g/s-l140.jpg,"Sold  Feb 27, 2025"
2023-24 Topps Chrome UEFA Women's Caroline Graham Hansen Team Color Match #60/99,"83,801.25 VND",https://www.ebay.com/itm/126949002429,https://i.ebayimg.com/images/g/yKEAAeSwQyRntKjT/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 TOPPS CHROME WOMENS UEFA CAROLINE GRAHAM HANSEN GOLAZO #GZ-1 BARCELONA,"82,512.00 VND",https://www.ebay.com/itm/205123864387,https://i.ebayimg.com/images/g/u8wAAOSwhmBm~~zP/s-l140.jpg,"Sold  Feb 13, 2025"
CAROLINE GRAHAM HANSEN REFRACTOR AUTO TOPPS CHROME WOMENS CHAMPIONS LEAGUE 22/23,"257,592.15 VND",https://www.ebay.com/itm/335786394885,https://i.ebayimg.com/images/g/6NYAAOSwgb9nlyN7/s-l140.jpg,"Sold  Feb 1, 2025"
2022-23 UEFA Women's Topps Chrome Caroline Graham Hansen Refractor Auto #A-CG,"328,758.75 VND",https://www.ebay.com/itm/396144262212,https://i.ebayimg.com/images/g/YLUAAOSwMyhnkcIz/s-l140.jpg,"Sold  Jan 29, 2025"
2021-22 Topps Chrome UEFA Women's Autographs #BACGH Caroline Graham Hansen Auto,"438,345.00 VND",https://www.ebay.com/itm/316080737442,https://i.ebayimg.com/images/g/LO0AAOSwQzxnbdH6/s-l140.jpg,"Sold  Jan 17, 2025"
2023-24 TOPPS CHROME SAPPHIRE WOMENS UEFA CL CAROLINE GRAHAM HANSEN #32,"25,785.00 VND",https://www.ebay.com/itm/235866367725,https://i.ebayimg.com/images/g/JVMAAOSwpdZnWPdT/s-l140.jpg,"Sold  Jan 10, 2025"
2023-24 Topps Focus FC Barcelona Soccer Cards CAROLINE GRAHAM HANSEN /50 Auto,"381,375.62 VND",https://www.ebay.com/itm/335784221427,https://i.ebayimg.com/images/g/ZqQAAOSwUxNnlPLV/s-l140.jpg,"Sold  Feb 1, 2025"
CAROLINE GRAHAM HANSEN DECO UCC TOPPS 2024-25 FC BARCELONA LA LIGA AUTO /99,"423,750.69 VND",https://www.ebay.com/itm/135501578052,https://i.ebayimg.com/images/g/j8EAAOSwX-JniRhC/s-l140.jpg,"Sold  Jan 26, 2025"
Caroline Graham Hansen 2023-24 Topps Inception UEFA Auto Patch Red 06/10 [dbK71,"6,884,595.00 VND",https://www.ebay.com/itm/376108437101,https://i.ebayimg.com/images/g/GzIAAOSwyWBn53E0/s-l140.jpg,"Sold  Apr 2, 2025"
Caroline Graham Hansen 2023-24 Inception UEFA Star Quality Auto Green 42/99,"244,957.50 VND",https://www.ebay.com/itm/376075262569,https://i.ebayimg.com/images/g/3HcAAOSwqjFn135g/s-l140.jpg,"Sold  Mar 21, 2025"
2023 Panini Donruss Women World Cup Caroline Graham Hansen Blue 2/99 Norway,"58,016.25 VND",https://www.ebay.com/itm/365419483405,https://i.ebayimg.com/images/g/MAwAAOSwePFnu81T/s-l140.jpg,"Sold  Feb 28, 2025"
2023-24 Topps Chrome Women's UEFA CAROLINE GRAHAM HANSEN Golazo Base #1,"62,140.82 VND",https://www.ebay.com/itm/126852449096,https://i.ebayimg.com/images/g/8SMAAOSw3lZnT-h~/s-l140.jpg,"Sold  Jan 14, 2025"
