Title,Price,Link,Image Link,Sold Date
2022-23 Panini Prizm Premier League Soccer Choice Cesar Azpilicueta /30,"25,527.15 VND",https://www.ebay.com/itm/297138088302,https://i.ebayimg.com/images/g/rWAAAOSwyUpm1kd3/s-l140.jpg,"Sold  Mar 28, 2025"
2022-23 Panini Prizm EPL Premier League Chelsea FC Cesar Azpilicueta,"84,467.64 VND",https://www.ebay.com/itm/176021171135,https://i.ebayimg.com/images/g/I-oAAOSw2ZRlTM0T/s-l140.jpg,"Sold  Feb 3, 2025"
2022-23 Prizm Premier League Cesar Azpilicueta Signatures Prizms Silver /99,"515,442.15 VND",https://www.ebay.com/itm/197078967340,https://i.ebayimg.com/images/g/Y4EAAeSw7CBnyDoZ/s-l140.jpg,"Sold  Mar 11, 2025"
2022-23 Panini Prizm Premier League Cesar Azpilicueta Signatures Choice WD,"163,528.47 VND",https://www.ebay.com/itm/306090538436,https://i.ebayimg.com/images/g/OisAAeSwrrJnos3Y/s-l140.jpg,"Sold  Feb 11, 2025"
Cesar Azpilicueta Panini Prizm Soccer 2020/21 Green Wave Chelsea,"58,016.25 VND",https://www.ebay.com/itm/364241386906,https://i.ebayimg.com/images/g/cZcAAOSwILZkUT~V/s-l140.jpg,"Sold  Feb 21, 2025"
Cesar Azpilicueta Panini Prizm Soccer 2022/23 Purple Auto 06/25 Chelsea,"1,328,832.89 VND",https://www.ebay.com/itm/387473060882,https://i.ebayimg.com/images/g/jfAAAOSwmc1kYdi7/s-l140.jpg,"Sold  Jan 23, 2025"
CESAR AZPILICUETA 2019 PANINI PRIZM PREMIER LEAGUE RED /149 Q0M-297,"25,785.00 VND",https://www.ebay.com/itm/276814597596,https://i.ebayimg.com/images/g/~AUAAOSwZihnhC40/s-l140.jpg,"Sold  Jan 19, 2025"
CESAR AZPILICUETA 1 2019 PANINI PRIZM PREMIER LEAGUE BLUE /199 Q0M-297,"25,785.00 VND",https://www.ebay.com/itm/276814598621,https://i.ebayimg.com/images/g/GTUAAOSwV0xnhC5u/s-l140.jpg,"Sold  Jan 19, 2025"
CESAR AZPILICUETA 2019 PANINI PRIZM PREMIER LEAGUE BLUE #19 /199 Q0M-297,"25,785.00 VND",https://www.ebay.com/itm/276814598653,https://i.ebayimg.com/images/g/WLAAAOSwMIVnhC68/s-l140.jpg,"Sold  Jan 19, 2025"
CESAR AZPILICUETA 2019 PANINI PRIZM PREMIER LEAGUE BLUE /199 Q0M-297,"25,785.00 VND",https://www.ebay.com/itm/276814598630,https://i.ebayimg.com/images/g/CEgAAOSwG8dnhC6F/s-l140.jpg,"Sold  Jan 19, 2025"
2019-20 Topps Finest UCL Soccer Geen Refractor Cesar Azpilicueta AUTO 38/99,"219,172.50 VND",https://www.ebay.com/itm/388156769993,https://i.ebayimg.com/images/g/3jUAAOSwVLZn5Y6c/s-l500.jpg,"Sold  Apr 3, 2025"
Cesar Azpilicueta 2022-23 Impeccable Premier League Impeccable Stars Auto 48/99,"515,700.00 VND",https://www.ebay.com/itm/376108272584,https://i.ebayimg.com/images/g/ZfsAAOSwG6pn52JM/s-l140.jpg,"Sold  Apr 2, 2025"
Topps 2021-22 UEFA Champions League Speckle Foil #45 Cesar Azpilicueta Chelsea,"102,882.15 VND",https://www.ebay.com/itm/316549649940,https://i.ebayimg.com/images/g/uGwAAeSwjDVn4yXI/s-l140.jpg,"Sold  Mar 30, 2025"
CESAR AZPILICUETA TOPPS MC 05/75 UEFA CHAMPIONS LEAGUE 50 ENGLISH,"56,500.09 VND",https://www.ebay.com/itm/135638858636,https://i.ebayimg.com/images/g/H0cAAeSwojVn3Cty/s-l140.jpg,"Sold  Mar 30, 2025"
"2018-2019, PANINI TREBLE SOCCER, THREADS, TT-CA, CESAR AZPILICUETA, 8/35","324,875.53 VND",https://www.ebay.com/itm/365472086992,https://i.ebayimg.com/images/g/ffMAAOSw6XxmWzUf/s-l140.jpg,"Sold  Mar 30, 2025"
2023-24 Panini Immaculate Soccer Cesar Azpilicueta Patch Autograph /30,"253,870.55 VND",https://www.ebay.com/itm/205358949302,https://i.ebayimg.com/images/g/OkoAAeSwMCZn1-pW/s-l140.jpg,"Sold  Mar 27, 2025"
2017-18 Panini Select Soccer Field Level White Cesar Azpilicueta 54/99 Chelsea,"231,807.15 VND",https://www.ebay.com/itm/365472501462,https://i.ebayimg.com/images/g/9bgAAOSwrfJn25m4/s-l140.jpg,"Sold  Mar 25, 2025"
2020 Prizm Premier League #212 Cesar Azpilicueta Red White Blue Chelsea FC,"38,677.50 VND",https://www.ebay.com/itm/256863648460,https://i.ebayimg.com/images/g/3GwAAeSw1ZBn2xc~/s-l140.jpg,"Sold  Mar 25, 2025"
22-23 Select Premier League Select Signatures Auto #SS-CAZ Cesar Azpilicueta,"644,625.00 VND",https://www.ebay.com/itm/155871562803,https://i.ebayimg.com/images/g/MTwAAOSwLRNlSAjq/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Panini SCORE FIFA Soccer Atletico de Madrid Cesar Azpilicueta,"28,250.05 VND",https://www.ebay.com/itm/176400899177,https://i.ebayimg.com/images/g/1nEAAOSw7MtmWDiJ/s-l140.jpg,"Sold  Mar 20, 2025"
"Cesar Azpilicueta 2019 Topps Chrome UEFA Green Refractor /99, PSA 10 Pop 2⚽️🔥","902,217.15 VND",https://www.ebay.com/itm/316144993969,https://i.ebayimg.com/images/g/7tIAAOSw~bpnjSJD/s-l140.jpg,"Sold  Mar 20, 2025"
2023 Select La Liga Cesar Azpilicueta Signatures Blue Pulsar Prizm Auto #8,"241,089.75 VND",https://www.ebay.com/itm/126980651641,https://i.ebayimg.com/images/g/KIYAAeSwWh1ny1PT/s-l140.jpg,"Sold  Mar 17, 2025"
2021-22 PRIZM PREMIER LEAGUE CESAR AZPILICUETA CHELSEA FC CARD #245 NM/MT,"25,527.15 VND",https://www.ebay.com/itm/316142690415,https://i.ebayimg.com/images/g/6bgAAOSwNRBni7bP/s-l140.jpg,"Sold  Mar 17, 2025"
2019 TOPPS LIVING #55 CESAR AZPILICUETA CHELSEA FC UEFA Champions League UCL,"1,031,142.15 VND",https://www.ebay.com/itm/405596835889,https://i.ebayimg.com/images/g/WcMAAOSwHgdnw9z2/s-l140.jpg,"Sold  Mar 9, 2025"
Panini FIFA 365 Adrenalyn XL 2025 Card 266 - Cesar Azpilicueta - Team Mate,"28,250.05 VND",https://www.ebay.com/itm/305844850690,https://i.ebayimg.com/images/g/Xh0AAOSwvRBnEU8P/s-l140.jpg,"Sold  Mar 8, 2025"
2021-22 Mosaic Premier League Give and Go #23 Cesar Azpilicueta Silver Prizm,"32,231.25 VND",https://www.ebay.com/itm/167334209764,https://i.ebayimg.com/images/g/KzMAAOSwHL5nlWzq/s-l140.jpg,"Sold  Mar 1, 2025"
Cesar Azpilicueta 2020-21 Prizm Premier League Red White Blue Chelsea MINT,"153,420.75 VND",https://www.ebay.com/itm/354996579199,https://i.ebayimg.com/images/g/BHsAAOSwJBZk5rA4/s-l140.jpg,"Sold  Feb 23, 2025"
Panini FIFA World cup Qatar 2022 Adrenalyn XL llimited edition Cesar Azpilicueta,"1,031,400.00 VND",https://www.ebay.com/itm/186963962899,https://i.ebayimg.com/images/g/xKYAAOSwu-lmF-Un/s-l140.jpg,"Sold  Feb 22, 2025"
Cesar Azpilicueta 2022 Prizm Premier League Green Pulsar Auto Autograph,"386,775.00 VND",https://www.ebay.com/itm/356588167405,https://i.ebayimg.com/images/g/e18AAeSwIh1ntVKV/s-l140.jpg,"Sold  Feb 19, 2025"
Cesar Azpilicueta 2019-20 Topps Finest UEFA Soccer 17/50 Gold [dbE80,"32,231.25 VND",https://www.ebay.com/itm/375970542076,https://i.ebayimg.com/images/g/e7AAAOSwqkpnoZzD/s-l140.jpg,"Sold  Feb 8, 2025"
CESAR AZPILICUETA 2022 PRIZM PREMIER LEAGUE AUTOGRAPH CHOICE AUTO Q2450,"219,172.50 VND",https://www.ebay.com/itm/276826444109,https://i.ebayimg.com/images/g/ZjMAAOSw-WBnkVCd/s-l140.jpg,"Sold  Jan 29, 2025"
2021-22 Panini Prizm Premier League Soccer CESAR AZPILICUETA Blue Prizm 222/340,"15,574.14 VND",https://www.ebay.com/itm/387844907974,https://i.ebayimg.com/images/g/EgIAAOSwkFJnTsML/s-l140.jpg,"Sold  Jan 28, 2025"
Cesar Azpilicueta Panini Chronicles Soccer Donruss Blue Laser 18/75 Chelsea,"331,959.00 VND",https://www.ebay.com/itm/387565534597,https://i.ebayimg.com/images/g/mfEAAOSwEE5isWU5/s-l140.jpg,"Sold  Jan 27, 2025"
Cesar Azpilicueta Topps Museum Soccer Gold Base 31/99 2019/20 Chelsea UCL,"298,729.87 VND",https://www.ebay.com/itm/387565534641,https://i.ebayimg.com/images/g/4IAAAOSwzGpiywrG/s-l140.jpg,"Sold  Jan 27, 2025"
Cesar Azpilicueta Prizm Soccer 2020-21 Blue #/199 Chelsea,"34,551.90 VND",https://www.ebay.com/itm/276820131329,https://i.ebayimg.com/images/g/98MAAOSwTo9kKdMI/s-l140.jpg,"Sold  Jan 27, 2025"
2020-21 Prizm English Premier League Prizms Green Wave #212 Cesar Azpilicueta,"58,016.25 VND",https://www.ebay.com/itm/166937944237,https://i.ebayimg.com/images/g/4JsAAOSw9u9niUgH/s-l140.jpg,"Sold  Jan 23, 2025"
2020-21 Panini Prizm Premier League Cesar Azpilicueta Cracked Ice /23 Chelsea,"282,217.96 VND",https://www.ebay.com/itm/405323683767,https://i.ebayimg.com/images/g/tUAAAOSwwa9nJpvB/s-l140.jpg,"Sold  Jan 15, 2025"
Cesar Azpilicueta 2022-23  Prizm English Premier League Blue #123 55/175 Chelsea,"25,785.00 VND",https://www.ebay.com/itm/276808671946,https://i.ebayimg.com/images/g/3lQAAOSwyfdnfeEF/s-l140.jpg,"Sold  Jan 12, 2025"
2022-23 Panini Prizm Premier League Cesar Azpilicueta RED Mojo Prizm /99,"89,989.65 VND",https://www.ebay.com/itm/256423036472,https://i.ebayimg.com/images/g/dCYAAOSw2O1l2U8Z/s-l140.jpg,"Sold  Jan 11, 2025"
CESAR AZPILICUETA #158 Chelsea FC 10/10 Made 2015-2016 Topps Champions UEFA 5X7,"644,367.15 VND",https://www.ebay.com/itm/361566988697,https://i.ebayimg.com/images/g/LawAAOSwANhieu~U/s-l140.jpg,"Sold  Jan 10, 2025"
Panini select La Liga 2022-23 Cesar Azpilicueta Auto Blue Pulsar CA Osasuna ,"109,586.25 VND",https://www.ebay.com/itm/167227577372,https://i.ebayimg.com/images/g/edgAAOSw4blnZbKx/s-l140.jpg,"Sold  Jan 7, 2025"
