Title,Price,Link,Image Link,Sold Date
2024 Panini Korean K League Prizm Soccer Pick Your Base #1-200 - Buy More & Save,"38,419.65 VND to 51,312.15 VND",https://www.ebay.com/itm/405297115744,https://i.ebayimg.com/images/g/g6AAAOSwjX1nFTvx/s-l500.jpg,"Sold  Mar 8, 2025"
Panini FIFA Score Basket /30,"56,500.09 VND",https://www.ebay.com/itm/197057443450,https://i.ebayimg.com/images/g/9n4AAeSwHZlntfBA/s-l500.jpg,"Sold  Mar 5, 2025"
2024 Panini Korean K League Prizm Soccer Pick Your Base #1-200 - Buy More & Save,"38,419.65 VND to 51,312.15 VND",https://www.ebay.com/itm/405297115744,https://i.ebayimg.com/images/g/g6AAAOSwjX1nFTvx/s-l500.jpg,"Sold  Mar 8, 2025"
Panini FIFA Score Basket /30,"56,500.09 VND",https://www.ebay.com/itm/197057443450,https://i.ebayimg.com/images/g/9n4AAeSwHZlntfBA/s-l140.jpg,"Sold  Mar 5, 2025"
2024 Panini Korean K League Prizm Soccer Pick Your Base #1-200 - Buy More & Save,"38,419.65 VND to 51,312.15 VND",https://www.ebay.com/itm/405297115744,https://i.ebayimg.com/images/g/g6AAAOSwjX1nFTvx/s-l500.jpg,"Sold  Mar 8, 2025"
Panini FIFA Score Basket /30,"56,500.09 VND",https://www.ebay.com/itm/197057443450,https://i.ebayimg.com/images/g/9n4AAeSwHZlntfBA/s-l140.jpg,"Sold  Mar 5, 2025"
2024 Panini Korean K League Prizm Soccer Pick Your Base #1-200 - Buy More & Save,"38,419.65 VND to 51,312.15 VND",https://www.ebay.com/itm/405297115744,https://i.ebayimg.com/images/g/g6AAAOSwjX1nFTvx/s-l500.jpg,"Sold  Mar 8, 2025"
Panini FIFA Score Basket /30,"56,500.09 VND",https://www.ebay.com/itm/197057443450,https://i.ebayimg.com/images/g/9n4AAeSwHZlntfBA/s-l140.jpg,"Sold  Mar 5, 2025"
2024 Panini Korean K League Prizm Soccer Pick Your Base #1-200 - Buy More & Save,"38,419.65 VND to 51,312.15 VND",https://www.ebay.com/itm/405297115744,https://i.ebayimg.com/images/g/g6AAAOSwjX1nFTvx/s-l500.jpg,"Sold  Mar 8, 2025"
Panini FIFA Score Basket /30,"56,500.09 VND",https://www.ebay.com/itm/197057443450,https://i.ebayimg.com/images/g/9n4AAeSwHZlntfBA/s-l500.jpg,"Sold  Mar 5, 2025"
2024 Panini Korean K League Prizm Soccer Pick Your Base #1-200 - Buy More & Save,"38,419.65 VND to 51,312.15 VND",https://www.ebay.com/itm/405297115744,https://i.ebayimg.com/images/g/g6AAAOSwjX1nFTvx/s-l500.jpg,"Sold  Mar 8, 2025"
Panini FIFA Score Basket /30,"56,500.09 VND",https://www.ebay.com/itm/197057443450,https://i.ebayimg.com/images/g/9n4AAeSwHZlntfBA/s-l500.jpg,"Sold  Mar 5, 2025"
