Title,Price,Link,Image Link,Sold Date
Cheick Doucoure 2022-23 Panini Select Premier League #31 Rookie Zebra #/25,"144,396.00 VND",https://www.ebay.com/itm/186956669691,https://i.ebayimg.com/images/g/lfUAAeSwJvtnsP1o/s-l140.jpg,"Sold  Feb 23, 2025"
2022 Panini Immaculate Soccer Cheick Doucoure Rookie /49 Near Mint,"102,882.15 VND",https://www.ebay.com/itm/306109392526,https://i.ebayimg.com/images/g/PEMAAOSwA0dnrO03/s-l140.jpg,"Sold  Feb 23, 2025"
"Cheick Doucoure, Contenders Optic Rookie Premier League Blue 07/1","51,570.00 VND",https://www.ebay.com/itm/286310986858,https://i.ebayimg.com/images/g/5QMAAOSwfr5nlQxf/s-l140.jpg,"Sold  Feb 15, 2025"
2022-23 Panini Select Premier League #31 Cheick Doucoure Gold Wave #/10 NT,"45,787.97 VND",https://www.ebay.com/itm/306153433897,https://i.ebayimg.com/images/g/FNsAAeSwRXhnxTEC/s-l140.jpg,"Sold  Mar 9, 2025"
2023-24 Panini Prizm Premier league - Cheick Doucoure Crystal Palace Choice RWB,"32,896.84 VND",https://www.ebay.com/itm/116460035936,https://i.ebayimg.com/images/g/Z0oAAOSw-hpnmUZs/s-l140.jpg,"Sold  Feb 4, 2025"
2022-2023 Cheick Doucoure Contenders Optic Prizm Crystal Palace RC -- R1S1,"72,595.80 VND",https://www.ebay.com/itm/197175159466,https://i.ebayimg.com/images/g/wRsAAOSw8ztn7vey/s-l500.jpg,"Sold  Apr 3, 2025"
2023-24 Panini Prizm EPL - Cheick Doucoure - B&W Checkerboard - Crystal Palace,"65,050.00 VND",https://www.ebay.com/itm/405688146370,https://i.ebayimg.com/images/g/K5kAAOSwoWBl23XV/s-l140.jpg,"Sold  Mar 30, 2025"
2023 Panini Prizm Cheick Doucoure Rookie RC Purple Bubbles 14/25 Crystal Palace,"78,060.00 VND",https://www.ebay.com/itm/365457519034,https://i.ebayimg.com/images/g/0DEAAOSwIT9n0kN9/s-l140.jpg,"Sold  Mar 17, 2025"
Cheick Doucoure Rookie /15 Panini Score 2022/23 ,"80,058.34 VND",https://www.ebay.com/itm/146408352010,https://i.ebayimg.com/images/g/wlsAAOSw0w9nujXd/s-l140.jpg,"Sold  Mar 1, 2025"
2022-23 Panini Obsidian Cheick Doucoure RC Electric Etch 089/115 #37 KT01,"3,903.00 VND",https://www.ebay.com/itm/396087866181,https://i.ebayimg.com/images/g/shkAAOSwtJlneJFb/s-l140.jpg,"Sold  Jan 10, 2025"
