Title,Price,Link,Image Link,Sold Date
2019-20 Panini Prizm Premier League Christian Pulisic Orange /25 PSA 10 MT POP 3,"2,346,435.00 VND",https://www.ebay.com/itm/365499746535,https://i.ebayimg.com/images/g/92cAAOSwfxBn7KSt/s-l140.jpg,"Sold  Apr 6, 2025"
2020 Panini Prizm Premier League Christian Pulisic Color Blast PSA 10 ,"10,314,000.00 VND",https://www.ebay.com/itm/356656608115,https://i.ebayimg.com/images/g/~boAAeSwnZhn0NgC/s-l140.jpg,"Sold  Mar 12, 2025"
2020-21 Panini Prizm Premier League Christian Pulisic Orange Prizm /25,"1,031,142.15 VND",https://www.ebay.com/itm/116264367132,https://i.ebayimg.com/images/g/jmEAAOSwTT9mkKcp/s-l140.jpg,"Sold  Mar 20, 2025"
2019 Panini Prizm Premier League Christian Pulisic #30 PSA 9 Mint,"390,300.00 VND",https://www.ebay.com/itm/326393097119,https://i.ebayimg.com/images/g/QJQAAOSwM09neFtC/s-l140.jpg,"Sold  Feb 7, 2025"
2019-20 Panini Prizm Premier League #30 Christian Pulisic PSA 10 GEM MINT,"351,270.00 VND",https://www.ebay.com/itm/135497086849,https://i.ebayimg.com/images/g/pxUAAOSwTs9nhZS6/s-l140.jpg,"Sold  Jan 20, 2025"
2019-20 Panini Prizm Premier League Christian Pulisic #30 PSA 9 MINT,"334,357.00 VND",https://www.ebay.com/itm/335753989565,https://i.ebayimg.com/images/g/D3cAAOSwAnNndgpw/s-l140.jpg,"Sold  Jan 10, 2025"
2019-20 Panini Prizm Premier League Christian Pulisic Orange /25 PSA 10 MT POP 3,"2,381,090.20 VND",https://www.ebay.com/itm/365471178330,https://i.ebayimg.com/images/g/-RAAAOSwcLtn24g4/s-l140.jpg,"Sold  Mar 26, 2025"
2020-21 Panini Prizm Premier League Christian Pulisic #S-CP Signatures Auto,"713,213.10 VND",https://www.ebay.com/itm/365497633411,https://i.ebayimg.com/images/g/tNAAAOSwKNJn61kM/s-l140.jpg,"Sold  Apr 5, 2025"
2021-22 Panini Prizm Premier League Christian Pulisic Auto,"1,417,917.15 VND",https://www.ebay.com/itm/135616549667,https://i.ebayimg.com/images/g/12IAAeSwzZBn0P~N/s-l140.jpg,"Sold  Mar 13, 2025"
2022-23 Panini Prizm Premier League Christian Pulisic Auto #S-CP Chelsea FC,"971,063.10 VND",https://www.ebay.com/itm/376085571698,https://i.ebayimg.com/images/g/82gAAeSwUu5n3HkD/s-l140.jpg,"Sold  Mar 25, 2025"
2022-23 Panini Prizm Premier League Signatures Christian Pulisic #S-CP Auto,"1,288,992.15 VND",https://www.ebay.com/itm/286427132504,https://i.ebayimg.com/images/g/6nkAAOSwT9ln3ZJc/s-l140.jpg,"Sold  Mar 21, 2025"
2020-21 Panini Prizm Premier League Christian Pulisic Breakaway,"1,160,325.00 VND",https://www.ebay.com/itm/167256685453,https://i.ebayimg.com/images/g/hGIAAOSwELNniT77/s-l140.jpg,"Sold  Feb 25, 2025"
2022-23 Panini Prizm Premier League Christian Pulisic #8 Instant Impact,"77,799.80 VND",https://www.ebay.com/itm/286207081290,https://i.ebayimg.com/images/g/pDUAAOSw3vVnVjaS/s-l140.jpg,"Sold  Feb 4, 2025"
2022-23 Panini Prizm Premier League Signatures Christian Pulisic #S-CP Auto,"1,502,655.00 VND",https://www.ebay.com/itm/256716088766,https://i.ebayimg.com/images/g/4hMAAOSwMLBnNltJ/s-l140.jpg,"Sold  Feb 1, 2025"
2022-23 Panini Prizm Premier League S-CP Christian Pulisic Purple Auto 14/25,"1,327,020.00 VND",https://www.ebay.com/itm/235905540876,https://i.ebayimg.com/images/g/jtUAAOSwuVhnfqjH/s-l140.jpg,"Sold  Jan 19, 2025"
2022-23 Panini Prizm Premier League Christian Pulisic #S-CP Signatures Auto,"979,913.20 VND",https://www.ebay.com/itm/365475122134,https://i.ebayimg.com/images/g/UwwAAOSwsD5n3kGV/s-l140.jpg,"Sold  Mar 28, 2025"
2020-21 Panini Prizm Premier League Christian Pulisic Auto Pulsar,"1,301,000.00 VND",https://www.ebay.com/itm/135621939143,https://i.ebayimg.com/images/g/6RgAAOSwbUxn08uc/s-l140.jpg,"Sold  Mar 23, 2025"
2020-21 Panini Prizm Premier League Christian Pulisic Signatures Auto Pulsar,"858,660.00 VND",https://www.ebay.com/itm/356552270413,https://i.ebayimg.com/images/g/x1sAAOSwvFdnnw3Q/s-l140.jpg,"Sold  Feb 14, 2025"
2024-25 Topps UEFA Club Competitions #76 Christian Pulisic,"51,312.15 VND",https://www.ebay.com/itm/387836843630,https://i.ebayimg.com/images/g/0OoAAOSwv0Vni-pL/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Topps  UEFA Club Competitions - Orange #114 Christian Pulisic /25,"721,722.15 VND",https://www.ebay.com/itm/286399545631,https://i.ebayimg.com/images/g/qTYAAOSw00Jnz1lc/s-l140.jpg,"Sold  Mar 11, 2025"
2022-23 Topps UEFA Club Competitions Christian Pulisic #144 ,"38,419.65 VND",https://www.ebay.com/itm/226285206732,https://i.ebayimg.com/images/g/L50AAOSwjstmtjsf/s-l140.jpg,"Sold  Mar 24, 2025"
2024-25 Topps UEFA Club Competition Christian Pulisic 99/99,"28,250.05 VND",https://www.ebay.com/itm/375937976205,https://i.ebayimg.com/images/g/I9oAAOSw4pFnjp-R/s-l140.jpg,"Sold  Jan 23, 2025"
2023-24 Topps Chrome UEFA Club Competitions #GL-1 Christian Pulisic Golazo,"102,882.15 VND",https://www.ebay.com/itm/365461733559,https://i.ebayimg.com/images/g/SDkAAeSw7w9n1RgG/s-l140.jpg,"Sold  Mar 15, 2025"
2023-24 Topps Chrome UEFA Club Competitions Golazo #GL1 Christian Pulisic,"90,247.50 VND",https://www.ebay.com/itm/167331913425,https://i.ebayimg.com/images/g/tyIAAeSwXchnzdq-/s-l140.jpg,"Sold  Mar 15, 2025"
2023-24 Topps Chrome UEFA Club Competitions #114 Christian Pulisic,"51,570.00 VND",https://www.ebay.com/itm/365134922846,https://i.ebayimg.com/images/g/4G8AAeSwRRhn80N~/s-l140.jpg,"Sold  Mar 14, 2025"
2024-25 Topps UEFA Club Competitions #76 Christian Pulisic Northern Lights,"141,817.50 VND",https://www.ebay.com/itm/187017499417,https://i.ebayimg.com/images/g/AaIAAeSw8SBnx3E7/s-l140.jpg,"Sold  Mar 10, 2025"
2024-25 Topps UEFA Club Competitions - Christian Pulisic #76 Northern Lights,"51,570.00 VND",https://www.ebay.com/itm/116513480919,https://i.ebayimg.com/images/g/cJEAAeSwN7hnzkKz/s-l140.jpg,"Sold  Mar 10, 2025"
2024-25 Topps Chrome UEFA Club Competitions Mindgame #MG1 Christian Pulisic,"1,392,390.00 VND",https://www.ebay.com/itm/297079635857,https://i.ebayimg.com/images/g/-0IAAeSwa-tnt0q-/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Topps Chrome UEFA Club Competitions #GL-1 Christian Pulisic Golazo,"102,882.15 VND",https://www.ebay.com/itm/326464732509,https://i.ebayimg.com/images/g/114AAeSwquBnwqWj/s-l140.jpg,"Sold  Mar 6, 2025"
