Title,Price,Link,Image Link,Sold Date
2023-24 Panini Donruss FIFA - Base Card #85 Cody Gakpo - Liverpool,"6,446.25 VND",https://www.ebay.com/itm/356708940709,https://i.ebayimg.com/images/g/p~EAAeSwgB9n2cUd/s-l140.jpg,"Sold  Apr 1, 2025"
2023-24 Panini Donruss FIFA Red /99 #85 Cody Gakpo Liverpool,"102,882.15 VND",https://www.ebay.com/itm/156684391576,https://i.ebayimg.com/images/g/HeYAAOSwMhVnp9Xd/s-l140.jpg,"Sold  Feb 15, 2025"
CODY GAKPO TOPPS NOW 2023 LIVERPOOL FC PREMIER LEAGUE SIGNS FOR LIVERPOOL /10,"706,251.15 VND",https://www.ebay.com/itm/135639072514,https://i.ebayimg.com/images/g/LagAAOSwpCZnterM/s-l140.jpg,"Sold  Mar 30, 2025"
CODY GAKPO TOPPS NOW 2023 LIVERPOOL FC PREMIER LEAGUE SIGNS FOR LIVERPOOL /10,"522,625.85 VND",https://www.ebay.com/itm/135568478774,https://i.ebayimg.com/images/g/LagAAOSwpCZnterM/s-l140.jpg,"Sold  Mar 2, 2025"
CODY GAKPO DECO UCC TOPPS 2024-25 LIVERPOOL FC PREMIER LEAGUE /99,"115,542.69 VND",https://www.ebay.com/itm/135639072572,https://i.ebayimg.com/images/g/rWoAAOSwWM9ntyjR/s-l140.jpg,"Sold  Mar 30, 2025"
CODY GAKPO SHOWTIME TOPPS 2023-24 LIVERPOOL FC PREMIER LEAGUE /99,"28,250.05 VND",https://www.ebay.com/itm/135568497833,https://i.ebayimg.com/images/g/FKoAAOSwALZntdUg/s-l140.jpg,"Sold  Mar 2, 2025"
CODY GAKPO DECO UCC TOPPS 2024-25 LIVERPOOL FC PREMIER LEAGUE /49,"155,375.25 VND",https://www.ebay.com/itm/135568459050,https://i.ebayimg.com/images/g/JjIAAOSwUH1ntyP-/s-l140.jpg,"Sold  Mar 2, 2025"
CODY GAKPO DECO UCC TOPPS 2024-25 LIVERPOOL FC PREMIER LEAGUE /99,"169,500.28 VND",https://www.ebay.com/itm/135568459049,https://i.ebayimg.com/images/g/rWoAAOSwWM9ntyjR/s-l140.jpg,"Sold  Mar 2, 2025"
CODY GAKPO DECO UCC TOPPS 2024-25 LIVERPOOL FC PREMIER LEAGUE /99,"197,750.32 VND",https://www.ebay.com/itm/135525585892,https://i.ebayimg.com/images/g/-qMAAOSwFzFnm2kS/s-l140.jpg,"Sold  Feb 9, 2025"
2022-23 Panini Select FIFA Cody Gakpo Pitchside Signatures Green Auto #/5 Rare,"5,156,742.15 VND",https://www.ebay.com/itm/396362774290,https://i.ebayimg.com/images/g/nBMAAOSw63FkleIx/s-l140.jpg,"Sold  Mar 30, 2025"
2022-23 Panini Select FIFA Cody Gakpo Signatures Green Auto #3/5 SSP 🔥🔥🔥,"2,088,585.00 VND",https://www.ebay.com/itm/176801443228,https://i.ebayimg.com/images/g/fQIAAOSwTDRnkGGI/s-l140.jpg,"Sold  Jan 28, 2025"
2022 Panini Prizm World Cup Qatar Silver Prizm Cody Gakpo #153 Rookie RC SSP,"25,527.15 VND",https://www.ebay.com/itm/316536334280,https://i.ebayimg.com/images/g/etMAAeSwrKdn09G9/s-l140.jpg,"Sold  Mar 29, 2025"
2022 Panini Prizm World Cup Qatar Red Choice Prizm Cody Gakpo #153 Rookie RC,"128,667.15 VND",https://www.ebay.com/itm/156480200985,https://i.ebayimg.com/images/g/wd0AAOSw1-tnHoAj/s-l140.jpg,"Sold  Mar 8, 2025"
2022 Panini Prizm World Cup Qatar White Sparkle Prizm Cody Gakpo #153 Rookie RC,"4,519,594.80 VND",https://www.ebay.com/itm/335834451007,https://i.ebayimg.com/images/g/Tf0AAeSwJzFnwVBl/s-l140.jpg,"Sold  Feb 26, 2025"
