Title,Price,Link,Image Link,Sold Date
Corgi Classic Pat Collins Fair  Box Trailer,"259,939.80 VND",https://www.ebay.com/itm/167109279264,https://i.ebayimg.com/images/g/8b0AAOSwPpRnPV1H/s-l140.jpg,"Sold  Apr 8, 2025"
Corgi Classic Pat Collins Fair  Box Trailer Lot of 2,"650,239.80 VND",https://www.ebay.com/itm/375443951200,https://i.ebayimg.com/images/g/oCsAAOSwtxtmTgO9/s-l140.jpg,"Sold  Mar 21, 2025"
Corgi - Dodgem Truck & Box Trailer Set (09901) - Pat Collins Fair Showmans Range,"999,061.32 VND",https://www.ebay.com/itm/127019914630,https://i.ebayimg.com/images/g/nSYAAeSw6JBn5zbf/s-l140.jpg,"Sold  Apr 4, 2025"
Corgi - Dodgem Truck & Box Trailer Set (09901) - Pat Collins Fair Showmans Range,"999,061.32 VND",https://www.ebay.com/itm/127000546869,https://i.ebayimg.com/images/g/nYcAAeSwHg1n2W9J/s-l140.jpg,"Sold  Mar 23, 2025"
Panini Prizm Soccer World Cup Qatar 2022 No. 39 Collins Fai Rookie Card RC,"33,229.13 VND",https://www.ebay.com/itm/316283573043,https://i.ebayimg.com/images/g/bOAAAOSw1Yhkce0a/s-l500.jpg,"Sold  Feb 22, 2025"
Panini Qatar World Cup Card 2022 Fans Favorite No. 295 Collins Fai,"33,229.13 VND",https://www.ebay.com/itm/316364233124,https://i.ebayimg.com/images/g/HywAAOSwK1pi28L5/s-l140.jpg,"Sold  Feb 22, 2025"
2022 Panini Prizm FIFA World Cup Collins Fai Purple Mojo RC - #39  /49  Cameroon,"386,517.15 VND",https://www.ebay.com/itm/235860705765,https://i.ebayimg.com/images/g/LBYAAOSw3jZnUzK-/s-l140.jpg,"Sold  Mar 5, 2025"
Collins Fai 2022 Prizm Blue Wave Rookie FIFA World Cup #39 Cameroon /199 RC,"51,312.15 VND",https://www.ebay.com/itm/126570801598,https://i.ebayimg.com/images/g/vTEAAOSwI7hj69DP/s-l140.jpg,"Sold  Feb 24, 2025"
2022 Panini Prizm World Cup Collins Fai RC Rewards Green Crystals SSP Cameroon,"25,785.00 VND",https://www.ebay.com/itm/365392918441,https://i.ebayimg.com/images/g/XlAAAOSwUklnq~s4/s-l140.jpg,"Sold  Feb 16, 2025"
2022 Panini Prizm World Cup Qatar Gold Prizm /10 Collins Fai #39,"1,418,175.00 VND",https://www.ebay.com/itm/166594312389,https://i.ebayimg.com/images/g/yu0AAOSwHHdlySF0/s-l140.jpg,"Sold  Jan 18, 2025"
Corgi 1/50 Scale Diecast 16502B - Trailer - Pat Collins Fair,"500,031.02 VND",https://www.ebay.com/itm/405492354031,https://i.ebayimg.com/images/g/3ZgAAOSwpkRnj6C7/s-l140.jpg,"Sold  Apr 4, 2025"
Panini Confederation Cup 2017 - Collins Fai Cameroon No. 161,"33,357.64 VND",https://www.ebay.com/itm/196888297642,https://i.ebayimg.com/images/g/DGsAAOSwlWRnWV1P/s-l140.jpg,"Sold  Mar 1, 2025"
Showmans Pat Collins Fair Burrell Steam Locomotive & Trailer Diecast DG151000 b,"166,454.62 VND",https://www.ebay.com/itm/226578407389,https://i.ebayimg.com/images/g/gDMAAOSwNsVnn3fM/s-l140.jpg,"Sold  Feb 12, 2025"
Corgi Pat Collins Fair Scammel Highwayman Caravan Trailer Set NIB 16502,"624,480.00 VND",https://www.ebay.com/itm/195940297296,https://i.ebayimg.com/images/g/rasAAOSwKgtkvWYO/s-l140.jpg,"Sold  Feb 11, 2025"
Corgi Classics ERF Dodgem Truck & Box Trailer Set Pat Collins Fair,"520,400.00 VND",https://www.ebay.com/itm/204698107072,https://i.ebayimg.com/images/g/cYwAAOSwT-VkwnnG/s-l140.jpg,"Sold  Jan 28, 2025"
