Title,Price,Link,Image Link,Sold Date
Crysencio Summerville 2022-23 Panini Impeccable Premier League Relic 13/36[dbH64,"954,045.00 VND",https://www.ebay.com/itm/376024259503,https://i.ebayimg.com/images/g/h9AAAOSw89Jnvmfp/s-l140.jpg,"Sold  Mar 2, 2025"
Panini Premier League 2025 - # 603 - CRYSENCIO SUMMERVILLE - West Ham United ,"33,229.13 VND",https://www.ebay.com/itm/267167319684,https://i.ebayimg.com/images/g/slMAAeSwCW9nucex/s-l140.jpg,"Sold  Feb 23, 2025"
22-23 Panini Select Ptichside Signatures Blue Pulsar Crysencio Summerville Auto,"195,150.00 VND",https://www.ebay.com/itm/387869582774,https://i.ebayimg.com/images/g/qiIAAOSwUW1nmRkb/s-l140.jpg,"Sold  Feb 4, 2025"
22-23 Panini Select PL- Select Signatures Crysencio Summerville,"390,300.00 VND",https://www.ebay.com/itm/135492186895,https://i.ebayimg.com/images/g/JKUAAOSw8HNngT01/s-l140.jpg,"Sold  Feb 1, 2025"
Crysencio Summerville 1st Bowman Chrome EURO U-21 2022 Orange /75 Netherlands,"84,565.00 VND",https://www.ebay.com/itm/146340022660,https://i.ebayimg.com/images/g/hPAAAOSwEAdnjWv5/s-l140.jpg,"Sold  Jan 26, 2025"
CRYSENCIO SUMMERVILLE AUTO PITCHSIDE PANINI SELECT LEEDS UNITED WEST HAM,"143,110.00 VND",https://www.ebay.com/itm/186872338026,https://i.ebayimg.com/images/g/nd0AAOSwHK9neGF7/s-l140.jpg,"Sold  Jan 10, 2025"
2022-23 Panini Obsidian Crysencio Summerville Lightning Auto Red Pulsar #/44,"336,212.23 VND",https://www.ebay.com/itm/376120016692,https://i.ebayimg.com/images/g/T7IAAeSwLoNn7Gpz/s-l140.jpg,"Sold  Apr 8, 2025"
Crysencio Summerville signed shirt COA EXACT PHOTO PROOF AFTAL JERSEY WEST HAM,"1,467,736.16 VND",https://www.ebay.com/itm/356714741713,https://i.ebayimg.com/images/g/8ccAAeSwBJ9n5bU7/s-l140.jpg,"Sold  Apr 3, 2025"
LEEDS UNITED FOOTBALL SHIRT SIGNED - CRYSENCIO SUMMERVILLE 10 SIZE MEDIUM,"1,806,649.78 VND",https://www.ebay.com/itm/126983625371,https://i.ebayimg.com/images/g/45MAAOSwHwNnzYZZ/s-l140.jpg,"Sold  Mar 16, 2025"
Crysencio Summerville - 1st Bowman - TOPPS Bowman Chrome EURO U-21 2023,"99,739.34 VND",https://www.ebay.com/itm/276794545609,https://i.ebayimg.com/images/g/EeQAAOSw85hnbtKG/s-l140.jpg,"Sold  Feb 15, 2025"
Crysencio Summerville - ACE 10 Gem Mint - 2022-23 Select EPL - Auto ,"1,667,882.00 VND",https://www.ebay.com/itm/226549501288,https://i.ebayimg.com/images/g/~EYAAOSwJWFmvjIg/s-l140.jpg,"Sold  Feb 11, 2025"
