Title,Price,Link,Image Link,Sold Date
2023 DAVID NERES 101/150 AUTO TOPPS FINEST UEFA CHAMPIONS LEAGUE BLUE AUTOGRAPHS,"360,732.15 VND",https://www.ebay.com/itm/156361255686,https://i.ebayimg.com/images/g/2usAAOSwOY1l2ZjX/s-l140.jpg,"Sold  Mar 27, 2025"
2023 DAVID NERES GOLD /50 AUTO TOPPS FINEST UEFA CHAMPIONS LEAGUE AUTOGRAPHS,"257,592.15 VND",https://www.ebay.com/itm/387882987160,https://i.ebayimg.com/images/g/CVcAAOSwO9pndJad/s-l140.jpg,"Sold  Feb 8, 2025"
2020-21 Topps Merlin Chrome UEFA David Neres Auto #BCA-DN,"83,801.25 VND",https://www.ebay.com/itm/376080155370,https://i.ebayimg.com/images/g/j~4AAeSw3Oln2zrB/s-l140.jpg,"Sold  Mar 23, 2025"
2018 Topps Chrome UEFA David Neres Auto #9,"82,512.00 VND",https://www.ebay.com/itm/376041957649,https://i.ebayimg.com/images/g/LC0AAeSwXIhnx2JW/s-l140.jpg,"Sold  Mar 9, 2025"
2021 Topps Chrome UEFA David Neres Auto #CA-DN,"58,016.25 VND",https://www.ebay.com/itm/376003641877,https://i.ebayimg.com/images/g/m-wAAeSwvK1ns6Y5/s-l140.jpg,"Sold  Feb 22, 2025"
2020-21 Topps Merlin Chrome UEFA David Neres Auto #BCA-DN,"58,016.25 VND",https://www.ebay.com/itm/376003641798,https://i.ebayimg.com/images/g/ERwAAeSwLgpns6Vi/s-l140.jpg,"Sold  Feb 22, 2025"
2020-21 Topps Merlin Chrome UEFA David Neres Auto #BCA-DN,"97,983.00 VND",https://www.ebay.com/itm/126947593325,https://i.ebayimg.com/images/g/UxgAAeSwPPxns6Ws/s-l140.jpg,"Sold  Feb 22, 2025"
Topps UEFA Champions League Chrome 2021 22 Auto Autograph David Neres Green /99,"211,875.35 VND",https://www.ebay.com/itm/388066873429,https://i.ebayimg.com/images/g/IK4AAeSw~qJn0H~-/s-l140.jpg,"Sold  Mar 18, 2025"
Topps UEFA Champions League Finest 2021 22 Auto Autograph David Neres Napoli Ssc,"217,525.35 VND",https://www.ebay.com/itm/387817339210,https://i.ebayimg.com/images/g/egcAAOSwmiFndCZu/s-l140.jpg,"Sold  Jan 19, 2025"
Topps UEFA Champions League Finest 2021 22 Auto Autograph David Neres Napoli Ssc,"183,625.30 VND",https://www.ebay.com/itm/387790331301,https://i.ebayimg.com/images/g/egcAAOSwmiFndCZu/s-l140.jpg,"Sold  Jan 10, 2025"
