Title,Price,Link,Image Link,Sold Date
2023-24 Select Serie A Dean Huijsen Terrace RC Rookie #18 - AS Roma,"257,850.00 VND",https://www.ebay.com/itm/286462294236,https://i.ebayimg.com/images/g/PfEAAeSwQOhn8HZY/s-l500.jpg,"Sold  Apr 5, 2025"
2023-24 Select Serie A Dean Huijsen Terrace RC Rookie #18 - AS Roma,"257,850.00 VND",https://www.ebay.com/itm/286462294236,https://i.ebayimg.com/images/g/PfEAAeSwQOhn8HZY/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Select Serie A DEAN HUIJSEN /15 Rookie RC White Prizm Terrace,"12,892,500.00 VND",https://www.ebay.com/itm/286438771411,https://i.ebayimg.com/images/g/~xsAAeSw~g9n45jn/s-l500.jpg,"Sold  Mar 27, 2025"
2023-24 Panini Select Serie A DEAN HUIJSEN 19/25 Rookie RC Tie-Dye Prizm Terrace,"7,864,425.00 VND",https://www.ebay.com/itm/306188562532,https://i.ebayimg.com/images/g/OO0AAOSw9pNn2rQR/s-l140.jpg,"Sold  Mar 27, 2025"
2023-24 Panini Select Serie A DEAN HUIJSEN /15 Rookie RC White Prizm Terrace,"12,892,500.00 VND",https://www.ebay.com/itm/286438771411,https://i.ebayimg.com/images/g/~xsAAeSw~g9n45jn/s-l140.jpg,"Sold  Mar 27, 2025"
2023-24 Select Serie A #18 Dean Huijsen,"51,312.15 VND",https://www.ebay.com/itm/167332377613,https://i.ebayimg.com/images/g/bK0AAeSwaAln0DJ0/s-l140.jpg,"Sold  Mar 18, 2025"
2023-24 Select Serie A #18 Dean Huijsen,"43,576.65 VND",https://www.ebay.com/itm/166985393232,https://i.ebayimg.com/images/g/N0oAAeSw9dNnqvi7/s-l140.jpg,"Sold  Feb 14, 2025"
2023-24 Panini Select Serie A - Terrace Tie-Dye Prizm #18 Dean Huijsen /25 (RC),"3,094,200.00 VND",https://www.ebay.com/itm/316407519564,https://i.ebayimg.com/images/g/Xu0AAeSw9c9nwb0y/s-l140.jpg,"Sold  Mar 8, 2025"
DEAN HUIJSEN 2023 SELECT SERIE A TERRACE ROOKIE RED PRIZM #18 RC Q1969,"212,726.25 VND",https://www.ebay.com/itm/276906790811,https://i.ebayimg.com/images/g/0HMAAeSwGAhnwMNz/s-l140.jpg,"Sold  Mar 6, 2025"
Panini Premier League 2025 Sticker - AFC Bournemouth Dean Huijsen No. 29,"33,229.13 VND",https://www.ebay.com/itm/196928892584,https://i.ebayimg.com/images/g/7uoAAOSwJI9neYvZ/s-l140.jpg,"Sold  Mar 13, 2025"
