Title,Price,Link,Image Link,Sold Date
"2024-25 Donruss Soccer Silver Foil #142 Deniz Undav, Germany","25,527.15 VND",https://www.ebay.com/itm/235929992655,https://i.ebayimg.com/images/g/rLMAAOSwgr1nlTk8/s-l140.jpg,"Sold  Apr 6, 2025"
"2024-25 Donruss Soccer #142 Deniz Undav, Germany","25,527.15 VND",https://www.ebay.com/itm/235929774987,https://i.ebayimg.com/images/g/YXUAAOSwFyNnlRYt/s-l140.jpg,"Sold  Jan 30, 2025"
2023-24 Chrome Bundesliga Deniz Undav Green Refractor /99,"90,247.50 VND",https://www.ebay.com/itm/365366755298,https://i.ebayimg.com/images/g/2qcAAOSwHDRmithM/s-l140.jpg,"Sold  Mar 10, 2025"
2023-24 Chrome Bundesliga Deniz Undav Pink Refractor /399,"90,247.50 VND",https://www.ebay.com/itm/365366755358,https://i.ebayimg.com/images/g/C0QAAOSwUw1mitqf/s-l140.jpg,"Sold  Feb 21, 2025"
Deniz Undav 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"26,816.40 VND",https://www.ebay.com/itm/167287143908,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
Deniz Undav 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#1,"25,527.15 VND",https://www.ebay.com/itm/167284569890,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 4, 2025"
2022-23 Panini Prizm Premier League Deniz Undav Red Rookie RC /149 #133,"231,807.15 VND",https://www.ebay.com/itm/176635535324,https://i.ebayimg.com/images/g/KVMAAOSwT2NnEg1Q/s-l140.jpg,"Sold  Feb 8, 2025"
2022-23 Panini Prizm Premier League Deniz Undav Pink Rookie RC /199 #133,"180,237.15 VND",https://www.ebay.com/itm/176635537246,https://i.ebayimg.com/images/g/CygAAOSw9X1nEg2w/s-l140.jpg,"Sold  Feb 8, 2025"
Topps Chrome Bundesliga 23/24 Deniz Undav #92 VfB Stuttgart,"28,250.05 VND",https://www.ebay.com/itm/126840255848,https://i.ebayimg.com/images/g/1NMAAOSwmDZnZJfq/s-l140.jpg,"Sold  Feb 18, 2025"
Topps Midnight Bundesliga 23/24 Deniz Undav Auto /99 VFB Stuttgart,"579,125.94 VND",https://www.ebay.com/itm/276964343027,https://i.ebayimg.com/images/g/tdsAAOSwyzVn3F33/s-l140.jpg,"Sold  Mar 30, 2025"
