Title,Price,Link,Image Link,Sold Date
2022-23 Topps Merlin UEFA Club Competitions - Refractor #133 Desire Doue (RC),"38,677.50 VND",https://www.ebay.com/itm/146420681331,https://i.ebayimg.com/images/g/fm4AAOSwaFFnwi6f/s-l140.jpg,"Sold  Apr 3, 2025"
2022-23 Topps UEFA Club Competitions - Inferno Foil #48 Desire Doue (RC),"38,677.50 VND",https://www.ebay.com/itm/335608397218,https://i.ebayimg.com/images/g/390AAOSwqolnBCvx/s-l140.jpg,"Sold  Feb 27, 2025"
2022-23 Topps Merlin UEFA - Blue Refractor #133 Desire Doue /75(RC),"1,160,067.15 VND",https://www.ebay.com/itm/176664135913,https://i.ebayimg.com/images/g/yGgAAOSw9jhnKTf3/s-l140.jpg,"Sold  Feb 19, 2025"
2022 Topps Chrome UEFA Club Competitions Desire Doue Désiré Doué #48 Rookie RC,"43,576.65 VND",https://www.ebay.com/itm/256820789694,https://i.ebayimg.com/images/g/RgIAAeSwJ6ln1Yy-/s-l140.jpg,"Sold  Apr 3, 2025"
2022-23 Topps Chrome UEFA Club Competitions /399 Desire Doue #48 Rookie RC,"309,162.15 VND",https://www.ebay.com/itm/306197898466,https://i.ebayimg.com/images/g/vxwAAOSwK7xmw-jv/s-l140.jpg,"Sold  Apr 2, 2025"
2022 Topps Merlin UEFA Club Competitions /299 Desire Doue Désiré Doué Rookie RC,"310,451.40 VND",https://www.ebay.com/itm/235927050123,https://i.ebayimg.com/images/g/sP4AAOSwASpnknDp/s-l140.jpg,"Sold  Mar 9, 2025"
2022-23 Topps Chrome UEFA Club Competitions - Desire Doue #48 Refractor (RC),"58,016.25 VND",https://www.ebay.com/itm/388166741325,https://i.ebayimg.com/images/g/CP0AAOSwRZNn5LGK/s-l140.jpg,"Sold  Mar 29, 2025"
2022 Topps UEFA Club Competitions 1st Edition Desire Doue Désiré Doué Rookie RC,"77,355.00 VND",https://www.ebay.com/itm/316481060791,https://i.ebayimg.com/images/g/d7AAAeSwh~ln0Npm/s-l140.jpg,"Sold  Mar 19, 2025"
2022 Topps Merlin UEFA Club Competitions /350 Desire Doue Désiré Doué Rookie RC,"515,442.15 VND",https://www.ebay.com/itm/316053461119,https://i.ebayimg.com/images/g/4TIAAOSwj59nX3YM/s-l140.jpg,"Sold  Mar 14, 2025"
2022-23 Topps UEFA Club Competitions Desire Doue Désiré Doué #48 Rookie RC,"38,677.50 VND",https://www.ebay.com/itm/365038884307,https://i.ebayimg.com/images/g/4L0AAOSwOcBmqFjr/s-l140.jpg,"Sold  Feb 11, 2025"
2023 Topps Merlin Chrome UEFA Rookie RC #133 Desire Doue - Stade Rennais,"51,312.15 VND",https://www.ebay.com/itm/126882361243,https://i.ebayimg.com/images/g/moQAAOSwfcNlA1zT/s-l140.jpg,"Sold  Apr 3, 2025"
2023 Topps Merlin Chrome UEFA Under 21 #U21-16 Desire Doue RC - Stade Rennais,"51,312.15 VND",https://www.ebay.com/itm/126504683762,https://i.ebayimg.com/images/g/y2cAAOSwN5dlA65M/s-l140.jpg,"Sold  Mar 2, 2025"
2022 Topps Merlin Chrome UEFA #133 RC Desire Doue  Stade Rennais FC,"25,527.15 VND",https://www.ebay.com/itm/186208040184,https://i.ebayimg.com/images/g/b6oAAOSwktZlebEM/s-l140.jpg,"Sold  Mar 2, 2025"
2022-23 Topps Chrome UEFA #48 Desire Doue RC Pink X-Fractor /250 PSG,"371,046.15 VND",https://www.ebay.com/itm/196566133577,https://i.ebayimg.com/images/g/6h4AAOSwaeNmwKOA/s-l140.jpg,"Sold  Apr 2, 2025"
2022-23 Topps Chrome UEFA #48 Desire Doue RC Pink X-Fractor /250 PSG,"371,046.15 VND",https://www.ebay.com/itm/196566131878,https://i.ebayimg.com/images/g/ucIAAOSw3UxmwKMJ/s-l140.jpg,"Sold  Mar 29, 2025"
2022-23 Topps Chrome UEFA Desire Doue Pink X-Fractor /250,"257,592.15 VND",https://www.ebay.com/itm/135564779902,https://i.ebayimg.com/images/g/3GsAAOSwFNhntSw5/s-l140.jpg,"Sold  Mar 1, 2025"
2022 Topps Chrome UEFA Desire Doue Pink X Fractor RC #38/250,"40,740.30 VND",https://www.ebay.com/itm/126895297157,https://i.ebayimg.com/images/g/Cs8AAOSw8XhnkAFr/s-l140.jpg,"Sold  Jan 26, 2025"
2022-23 TOPPS MERLIN CHROME UEFA DESIRE DOUE 133 SPECKLE REFRACTOR PSA 10 /150,"3,016,587.15 VND",https://www.ebay.com/itm/335885279543,https://i.ebayimg.com/images/g/KUgAAOSwLixnPsrD/s-l140.jpg,"Sold  Apr 1, 2025"
2022-23 TOPPS MERLIN CHROME UEFA DESIRE DOUE 133 ROSE GOLD SHIMMER PSA 10,"1,624,197.15 VND",https://www.ebay.com/itm/335685071339,https://i.ebayimg.com/images/g/q8MAAOSwx8FnPa85/s-l140.jpg,"Sold  Mar 19, 2025"
