Title,Price,Link,Image Link,Sold Date
Devyne Rensch 2024 Topps Inception Soccer Star Quality 46/49[dbJ21,"25,785.00 VND",https://www.ebay.com/itm/376104845120,https://i.ebayimg.com/images/g/8SwAAOSwqoVn5TLV/s-l140.jpg,"Sold  Apr 1, 2025"
Devyne Rensch 2024 Topps Inception Soccer Star Quality 12/49[dbJ21,"25,785.00 VND",https://www.ebay.com/itm/376104834898,https://i.ebayimg.com/images/g/CxQAAOSwpxVn5TLV/s-l140.jpg,"Sold  Apr 1, 2025"
Devyne Rensch - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/297052014706,https://i.ebayimg.com/images/g/Jm8AAeSwhYlnu9VP/s-l140.jpg,"Sold  Feb 26, 2025"
Devyne Rensch - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/235966217646,https://i.ebayimg.com/images/g/J-4AAeSw8KJntoz3/s-l140.jpg,"Sold  Feb 22, 2025"
Devyne Rensch - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/297026481340,https://i.ebayimg.com/images/g/OkwAAeSwa-tnsqMA/s-l140.jpg,"Sold  Feb 19, 2025"
Devyne Rensch - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/235960481330,https://i.ebayimg.com/images/g/7MAAAeSwIEBnsUcX/s-l140.jpg,"Sold  Feb 18, 2025"
Devyne Rensch 2024 Topps Inception Soccer Star Quality 112/150[dbJ23,"25,785.00 VND",https://www.ebay.com/itm/376104843644,https://i.ebayimg.com/images/g/rUkAAOSw7Dxn5e52/s-l140.jpg,"Sold  Apr 1, 2025"
Devyne Rensch 2022-23 Topps UEFA Museum Collection Archival Auto 144/299 [dbK59,"109,586.25 VND",https://www.ebay.com/itm/376102182466,https://i.ebayimg.com/images/g/07gAAOSwVUJn5MVY/s-l140.jpg,"Sold  Mar 31, 2025"
2022-23 Topps UEFA UCC  #US-DR Devyne Rensch The Ultimate Stage Autographs WD,"50,615.96 VND",https://www.ebay.com/itm/306199792166,https://i.ebayimg.com/images/g/D0IAAeSwIWhn4eio/s-l140.jpg,"Sold  Mar 31, 2025"
Brian Brobbey Devyne Rensch Dual Swatches Panini Select FIFA 23-24 Ajax Lot /49,"17,952.84 VND",https://www.ebay.com/itm/388111087946,https://i.ebayimg.com/images/g/7NEAAeSwnNtn2HEw/s-l140.jpg,"Sold  Mar 25, 2025"
2020-21 Topps Finest Champions League Orange Devyne Rensch RC Rookie /25 AJAX,"664,250.30 VND",https://www.ebay.com/itm/316492598401,https://i.ebayimg.com/images/g/3iQAAeSwew1n1AA8/s-l140.jpg,"Sold  Mar 22, 2025"
Devyne Rensch 2023-24 Panini Donruss Soccer FIFA Kit Series Patch [dbI71,"32,231.25 VND",https://www.ebay.com/itm/376072861772,https://i.ebayimg.com/images/g/v5oAAOSwAVNn1i5y/s-l140.jpg,"Sold  Mar 20, 2025"
Devyne Rensch 2022-23 Topps Inception UEFA Soccer Star Quality Auto [dbI81,"83,801.25 VND",https://www.ebay.com/itm/376070029430,https://i.ebayimg.com/images/g/PfQAAOSwBfpn1NwK/s-l140.jpg,"Sold  Mar 19, 2025"
Devyne Rensch 2022-23 Topps Inception UEFA Soccer Star Quality Green 98/99[dbI84,"32,231.25 VND",https://www.ebay.com/itm/376066931129,https://i.ebayimg.com/images/g/HosAAOSwe7Zn040Z/s-l140.jpg,"Sold  Mar 18, 2025"
2023-24 Panini Select FIFA Equalizers Devyne Rensch Pink /25 Ajax,"169,217.78 VND",https://www.ebay.com/itm/405477342069,https://i.ebayimg.com/images/g/lGsAAOSwIANnhoQ-/s-l140.jpg,"Sold  Mar 15, 2025"
Devyne Rensch 2023 Topps Inception UEFA Soccer Star Quality Green 44/99 [dbI42,"25,785.00 VND",https://www.ebay.com/itm/376053919650,https://i.ebayimg.com/images/g/9j0AAOSwrlJnzQIY/s-l140.jpg,"Sold  Mar 13, 2025"
Devyne Rensch 2022-23 Donruss FIFA AFC Ajax 1/1 Black #138,"2,578,500.00 VND",https://www.ebay.com/itm/306169118448,https://i.ebayimg.com/images/g/cKUAAOSw2vtnzgy-/s-l140.jpg,"Sold  Mar 10, 2025"
Devyne Rensch 2023 Topps UEFA Inception Soccer 25/99[dbH74,"51,570.00 VND",https://www.ebay.com/itm/376035624482,https://i.ebayimg.com/images/g/4fcAAOSwejBnxEMk/s-l140.jpg,"Sold  Mar 7, 2025"
Devyne Rensch 2022-23 Topps Finest UEFA Soccer Auto Blue 063/150 [dbH55,"84,574.80 VND",https://www.ebay.com/itm/376032412640,https://i.ebayimg.com/images/g/14cAAOSwGclnwnUm/s-l140.jpg,"Sold  Mar 5, 2025"
2023 Topps Museum Collection UEFA Devyne Rensch Material Relic /250 Ajax,"128,925.00 VND",https://www.ebay.com/itm/285729252787,https://i.ebayimg.com/images/g/ba0AAOSw9zRl2hUg/s-l140.jpg,"Sold  Mar 4, 2025"
Devyne Rensch 2023 Inception UEFA Champions League Star Quality Auto 48/99[dbG17,"128,925.00 VND",https://www.ebay.com/itm/376029763516,https://i.ebayimg.com/images/g/RwAAAOSwrtRnps21/s-l140.jpg,"Sold  Mar 4, 2025"
2023-24 Panini Select FIFA Dual Relic Brian Brobbey Devyne Rensch #DS-AJX,"73,487.25 VND",https://www.ebay.com/itm/235970582215,https://i.ebayimg.com/images/g/Jp0AAeSweKpnuRcQ/s-l140.jpg,"Sold  Mar 3, 2025"
Devyne Rensch - Auto - AFC Ajax - TOPPS 2023 UEFA Club Competitions Inception,"282,500.46 VND",https://www.ebay.com/itm/356583310669,https://i.ebayimg.com/images/g/7fUAAeSwfh1ns42n/s-l140.jpg,"Sold  Feb 27, 2025"
DEVYNE RENSCH AUTO /50 2022-23 TOPPS SOCCER UEFA ULTIMATE STAGE AUTOGRAPH GOLD,"58,016.25 VND",https://www.ebay.com/itm/405559519579,https://i.ebayimg.com/images/g/WZsAAOSwBYFntLyZ/s-l140.jpg,"Sold  Feb 25, 2025"
2022-23 Topps Finest Devyne Rensch UEFA SP Refractor Auto AFC AJAX,"58,016.25 VND",https://www.ebay.com/itm/176857227746,https://i.ebayimg.com/images/g/NrMAAOSwF01nhwcl/s-l140.jpg,"Sold  Feb 25, 2025"
Devyne Rensch 2023 Inception UEFA Champions League Star Quality Auto 48/99[dbG17,"90,505.35 VND",https://www.ebay.com/itm/376009309505,https://i.ebayimg.com/images/g/RwAAAOSwrtRnps21/s-l140.jpg,"Sold  Feb 24, 2025"
Devyne Rensch 2023 Inception UEFA Champions League Star Quality Auto 48/99[dbG17,"110,875.50 VND",https://www.ebay.com/itm/375980361872,https://i.ebayimg.com/images/g/RwAAAOSwrtRnps21/s-l140.jpg,"Sold  Feb 12, 2025"
DEVYNE RENSCH PSA 9 2022-23 TOPPS UEFA CC ULTIMATE STAGE BLUE ICY AUTO 32/99,"109,586.25 VND",https://www.ebay.com/itm/186926964409,https://i.ebayimg.com/images/g/09MAAOSw6qdnoPAz/s-l140.jpg,"Sold  Feb 11, 2025"
2022-23 Topps Finest Soccer DEVYNE RENSCH Auto Refractor SP Ajax #A-DR,"77,355.00 VND",https://www.ebay.com/itm/306067360412,https://i.ebayimg.com/images/g/bawAAOSwprZnlvNg/s-l140.jpg,"Sold  Feb 9, 2025"
2022 Topps UEFA Devyne Rensch Ultimate Stage Auto PSA 10,"399,667.50 VND",https://www.ebay.com/itm/135526396697,https://i.ebayimg.com/images/g/UyUAAOSwfNdnXwzW/s-l140.jpg,"Sold  Feb 6, 2025"
2021 Topps Chrome UEFA Champions League Orange Sapphire Devyne Rensch RC 34/50,"296,527.50 VND",https://www.ebay.com/itm/387843605368,https://i.ebayimg.com/images/g/stAAAOSw0pxnjtJU/s-l140.jpg,"Sold  Jan 27, 2025"
Devyne Rensch 2020-21 Topps Chrome UEFA Orange Bubbles Refractor RC SSP,"773,292.15 VND",https://www.ebay.com/itm/145484127106,https://i.ebayimg.com/images/g/yQUAAOSwq2ZlcJrD/s-l140.jpg,"Sold  Jan 21, 2025"
2020 Topps Chrome UEFA Champions League 9 Devyne Rensch Orange Refractor 13/25,"204,990.75 VND",https://www.ebay.com/itm/186847617836,https://i.ebayimg.com/images/g/dB8AAOSwlnBnYiAa/s-l140.jpg,"Sold  Jan 13, 2025"
