Title,Price,Link,Image Link,Sold Date
2024 Panini Prizm CONMEBOL Copa America White Sparkle Dexter Lembikisa #126,"313,280.80 VND to 612,510.80 VND",https://www.ebay.com/itm/235890900361,https://i.ebayimg.com/images/g/LtAAAOSwXolnmYT-/s-l140.jpg,"Sold  Jan 17, 2025"
2024 Panini Prizm CONMEBOL Copa America New Era Gold /10 Dexter Lembikisa #10,"313,280.80 VND",https://www.ebay.com/itm/256813507193,https://i.ebayimg.com/images/g/lEsAAeSwnQBnq26P/s-l140.jpg,"Sold  Feb 14, 2025"
2024 Panini Copa America Soccer Star & Stripes Prizm Dexter Lembikisa RC 11/24,"42,545.25 VND",https://www.ebay.com/itm/387993322101,https://i.ebayimg.com/images/g/ktcAAOSwpzhnvLIu/s-l140.jpg,"Sold  Mar 3, 2025"
2024 Panini Soccer Blue Prizm #126 Dexter Lembikisa RC Rookie 106/110 CGC 10,"83,801.25 VND",https://www.ebay.com/itm/375960093204,https://i.ebayimg.com/images/g/Sm8AAOSw0kNnm~jt/s-l140.jpg,"Sold  Feb 6, 2025"
2024 Panini Prizm Copa America Dexter Lembikisa Elephant Print #126 Jamaica RC,"520,139.80 VND",https://www.ebay.com/itm/297098228317,https://i.ebayimg.com/images/g/OiUAAeSw7Npnzci3/s-l140.jpg,"Sold  Mar 29, 2025"
2024 Panini Prizm Copa America Tiger Stripe Dexter Lembikisa RC Rookie Jamacia,"260,200.00 VND",https://www.ebay.com/itm/267013554794,https://i.ebayimg.com/images/g/Zc0AAOSwKKBm~as2/s-l140.jpg,"Sold  Mar 19, 2025"
2024 Prizm Copa America Stars And Stripes Dexter Lembikisa RC  #23/24 PSA 9 🍒🌶,"260,200.00 VND",https://www.ebay.com/itm/226637888654,https://i.ebayimg.com/images/g/LpcAAOSwPW1nzbHl/s-l140.jpg,"Sold  Mar 10, 2025"
Dexter Lembikisa 2024 Panini Prizm COPA Tiger Stripe Prizm Card #126 Jamaica,"52,300.20 VND",https://www.ebay.com/itm/197083949180,https://i.ebayimg.com/images/g/~MEAAeSwFldnylv5/s-l140.jpg,"Sold  Mar 7, 2025"
2024 Panini Prizm Copa America Silver Pulsar Rookie Dexter Lembikisa,"50,739.00 VND",https://www.ebay.com/itm/387536075992,https://i.ebayimg.com/images/g/NyYAAOSw0W1m031l/s-l140.jpg,"Sold  Feb 27, 2025"
2024 Panini Prizm Copa America Green Pulsar Dexter Lembikisa RC Jamaica #D /5,"156,120.00 VND",https://www.ebay.com/itm/405527227958,https://i.ebayimg.com/images/g/CmcAAOSwKG1nYDNd/s-l140.jpg,"Sold  Feb 12, 2025"
2024 Prizm Copa America Dexter Lembikisa RC Orange #126 Jamaica /25,"33,826.00 VND",https://www.ebay.com/itm/296939141298,https://i.ebayimg.com/images/g/3SUAAOSwKBpngwEv/s-l140.jpg,"Sold  Jan 25, 2025"
2024 Prizm Copa America Dexter Lembikisa Gold Prizm Rookie RC #8/10,"147,013.00 VND",https://www.ebay.com/itm/126871584774,https://i.ebayimg.com/images/g/WewAAOSwBFFnfZqQ/s-l140.jpg,"Sold  Jan 12, 2025"
