Title,Price,Link,Image Link,Sold Date
2017-18 PANINI SELECT SOCCER MEZZANINE LIGHT BLUE PRIZM DIMITRI PAYET /249,"25,785.00 VND",https://www.ebay.com/itm/235912565092,https://i.ebayimg.com/images/g/f2cAAOSwJI9nhSr4/s-l500.jpg,"Sold  Jan 22, 2025"
2017-18 PANINI SELECT SOCCER MEZZANINE LIGHT BLUE PRIZM DIMITRI PAYET /249,"25,785.00 VND",https://www.ebay.com/itm/235912565092,https://i.ebayimg.com/images/g/f2cAAOSwJI9nhSr4/s-l140.jpg,"Sold  Jan 22, 2025"
2016 Topps Stadium Club Premier League First Day Issue Dimitri Payet #95,"88,184.70 VND",https://www.ebay.com/itm/256843835123,https://i.ebayimg.com/images/g/-OQAAeSwN0Rnx~~c/s-l500.jpg,"Sold  Apr 6, 2025"
2016 Topps Stadium Club Premier League First Day Issue Dimitri Payet #95,"88,184.70 VND",https://www.ebay.com/itm/256843835123,https://i.ebayimg.com/images/g/-OQAAeSwN0Rnx~~c/s-l140.jpg,"Sold  Apr 6, 2025"
2022-23 Panini Score FIFA Fat Pack Orange Lasers /35 Dimitri Payet #129,"184,104.90 VND",https://www.ebay.com/itm/235959850874,https://i.ebayimg.com/images/g/GjcAAeSwl8NnsLYK/s-l140.jpg,"Sold  Mar 18, 2025"
2022-23 Panini Score FIFA Fat Pack Blue Lasers /60 Dimitri Payet #129,"184,104.90 VND",https://www.ebay.com/itm/256811199178,https://i.ebayimg.com/images/g/J3kAAeSwzMtnqPvw/s-l140.jpg,"Sold  Mar 18, 2025"
2020-21 Topps Match Attax UEFA Champions Star Players #SP4 Dimitri Payet,"51,570.00 VND",https://www.ebay.com/itm/365260887906,https://i.ebayimg.com/images/g/hp4AAeSwyvBn8mKn/s-l140.jpg,"Sold  Apr 5, 2025"
Dimitri Payet 2020-21 Finest UEFA Champions League Purple Refractor #61 /250,"58,016.25 VND",https://www.ebay.com/itm/375539245794,https://i.ebayimg.com/images/g/IwAAAOSwDdlmlVPY/s-l140.jpg,"Sold  Jan 28, 2025"
Dimitri Payet 2020 Topps Living Set UEFA Champions League #214,"1,288,992.15 VND",https://www.ebay.com/itm/196820309755,https://i.ebayimg.com/images/g/zP0AAOSwe1pnOSlZ/s-l140.jpg,"Sold  Jan 16, 2025"
No.488 Panini Foot 2024-2025 Ligue 1 McDonald's Dimitri Payet Legend Gold,"84,467.64 VND",https://www.ebay.com/itm/235878881957,https://i.ebayimg.com/images/g/xiwAAOSwuYhnZczY/s-l140.jpg,"Sold  Feb 7, 2025"
PANINI UEFA CHAMPIONS LEAGUE 2011-12- #119-LILLE-DIMITRI PAYET,"32,896.84 VND",https://www.ebay.com/itm/176621760480,https://i.ebayimg.com/images/g/eRoAAOSwjVVVs8xp/s-l140.jpg,"Sold  Feb 14, 2025"
PANINI SELECT SOCCER 2017-18 DIMITRI PAYET FRANCE SILVER WAVE,"69,448.88 VND",https://www.ebay.com/itm/156607529720,https://i.ebayimg.com/images/g/wK8AAOSwwa5ncEAz/s-l140.jpg,"Sold  Jan 25, 2025"
No.488 Panini Foot 2024-2025 Ligue 1 McDonald's Dimitri Payet Legend Gold,"84,467.64 VND",https://www.ebay.com/itm/235878881957,https://i.ebayimg.com/images/g/xiwAAOSwuYhnZczY/s-l500.jpg,"Sold  Feb 7, 2025"
