Title,Price,Link,Image Link,Sold Date
2024-25 TOPPS UEFA CLUB DIOGO DALOT SUPERSTARS RELIC AUTO AUTOGRAPH 30/99,"489,915.00 VND",https://www.ebay.com/itm/235949868441,https://i.ebayimg.com/images/g/9z4AAeSw44lnp6wY/s-l140.jpg,"Sold  Feb 15, 2025"
2024-25 TOPPS UEFA CLUB DIOGO DALOT SUPERSTARS RELIC AUTO AUTOGRAPH 96/99,"451,237.50 VND",https://www.ebay.com/itm/286301639047,https://i.ebayimg.com/images/g/jsIAAOSwnf1noo3E/s-l140.jpg,"Sold  Feb 11, 2025"
2024-25 TOPPS UEFA CLUB DIOGO DALOT SUPERSTARS RELIC AUTO AUTOGRAPH 16/99,"309,420.00 VND",https://www.ebay.com/itm/356442782692,https://i.ebayimg.com/images/g/890AAOSw~fdnfH6o/s-l140.jpg,"Sold  Jan 12, 2025"
2023-24 Prizm Premier League Diogo Dalot Red Prizm #113/199 EE3,"128,667.15 VND",https://www.ebay.com/itm/356499055206,https://i.ebayimg.com/images/g/lQkAAOSwybVnkxLX/s-l140.jpg,"Sold  Jan 24, 2025"
2023-24 Prizm Premier League Diogo Dalot Red Prizm #113/199,"25,527.15 VND",https://www.ebay.com/itm/375890931411,https://i.ebayimg.com/images/g/PRAAAOSwWAFnbxmR/s-l140.jpg,"Sold  Jan 6, 2025"
2024-25 Topps UEFA Soccer Superstars Diogo Dalot Relic Patch Gold 46/50 [fen23,"193,387.50 VND",https://www.ebay.com/itm/375911480490,https://i.ebayimg.com/images/g/oWMAAOSwRGRnffXS/s-l140.jpg,"Sold  Jan 12, 2025"
2024-25 Topps UEFA Soccer Superstars Diogo Dalot Relic Patch Green 45/99 [fen23,"141,817.50 VND",https://www.ebay.com/itm/375911409654,https://i.ebayimg.com/images/g/OssAAOSwn4Rnfe2h/s-l140.jpg,"Sold  Jan 12, 2025"
2024-25 Topps UEFA Soccer Diogo Dalot Neon Green 061/199 [fen23,"25,785.00 VND",https://www.ebay.com/itm/375911299503,https://i.ebayimg.com/images/g/gwwAAOSw7GFnfeEv/s-l140.jpg,"Sold  Jan 12, 2025"
2024-25 Topps UEFA Soccer Diogo Dalot Green 99/99 [kzg13,"25,785.00 VND",https://www.ebay.com/itm/375901348116,https://i.ebayimg.com/images/g/kaYAAOSwZBhnd1cj/s-l140.jpg,"Sold  Jan 7, 2025"
2022-23 Select Premier League Diogo Dalot Patch Auto SSP Manchester United,"515,442.15 VND",https://www.ebay.com/itm/316597079354,https://i.ebayimg.com/images/g/mBAAAeSw4dln7tnC/s-l140.jpg,"Sold  Apr 4, 2025"
2023-24 Panini Prizm Premier League #47 Diogo Dalot Black and White Checker,"25,527.15 VND",https://www.ebay.com/itm/236021965080,https://i.ebayimg.com/images/g/ZRMAAeSwh~hn4~-k/s-l140.jpg,"Sold  Apr 2, 2025"
2019-20 Panini Prizm Premier League Diogo Dalot Rookie Violet Breakaway Prizm,"773,550.00 VND",https://www.ebay.com/itm/334989750017,https://i.ebayimg.com/images/g/U~4AAOSws35k24ME/s-l140.jpg,"Sold  Apr 2, 2025"
"2019-20 panini prizm premier league Diogo Dalot RC Silver Hyper Prizm, Man U","51,312.15 VND",https://www.ebay.com/itm/396374036886,https://i.ebayimg.com/images/g/UzAAAeSwQEZn5yQC/s-l140.jpg,"Sold  Apr 1, 2025"
2024-25 Topps UEFA DIOGO DALOT 192/199 Patch Neon Green Foilboard Superstars,"244,957.50 VND",https://www.ebay.com/itm/306195043278,https://i.ebayimg.com/images/g/hbYAAOSwE9dn3r7X/s-l140.jpg,"Sold  Mar 30, 2025"
2024 Topps Chrome UEFA Euro DIOGO DALOT 1/10 Auto Black Refractor Chapter XXIV,"721,980.00 VND",https://www.ebay.com/itm/306195010772,https://i.ebayimg.com/images/g/w1wAAOSwQEBn3rni/s-l140.jpg,"Sold  Mar 30, 2025"
DIOGO DALOT 2022-23 Panini Prizm Premier League #/8 Lucky Envelopes PSA 8 NM-MT,"1,057,185.00 VND",https://www.ebay.com/itm/365474526972,https://i.ebayimg.com/images/g/PbcAAeSwuaNn3dhC/s-l140.jpg,"Sold  Mar 30, 2025"
2023 Prizm Premier League Diogo Dalot Breakaway Gold #4/10,"554,377.50 VND",https://www.ebay.com/itm/376050191732,https://i.ebayimg.com/images/g/N6EAAeSwzItny1tr/s-l140.jpg,"Sold  Mar 17, 2025"
2019-20 PANINI IMPECCABLE PREMIER LEAGUE DIOGO DALOT ROOKIE AUTO AUTOGRAPH 21/99,"1,458,141.75 VND",https://www.ebay.com/itm/316476219838,https://i.ebayimg.com/images/g/0D8AAOSwtYdnz4N8/s-l140.jpg,"Sold  Mar 15, 2025"
2022 Panini Premier League Diogo Dalot Signature Green Pulsar Prizm PSA 9,"2,578,500.00 VND",https://www.ebay.com/itm/296747627433,https://i.ebayimg.com/images/g/KwgAAOSwoVNnCuxU/s-l140.jpg,"Sold  Mar 6, 2025"
Panini FIFA 365 2020 - Diogo Dalot - Victor Lindelöf Manchester United FC No. 63,"33,229.13 VND",https://www.ebay.com/itm/196897296948,https://i.ebayimg.com/images/g/-1cAAOSwsppnYESW/s-l140.jpg,"Sold  Mar 4, 2025"
2025 Topps UEFA Ethan Wheatley RC Diogo Dalot Joshua Zirkzee Manchester United,"53,632.80 VND",https://www.ebay.com/itm/365424069778,https://i.ebayimg.com/images/g/RiwAAOSwfW5nvm-z/s-l140.jpg,"Sold  Mar 2, 2025"
PANINI DONRUSS FIFA 2022-23 DIOGO DALOT MANCHESTER UTD OPTIC DRAGON 1/8 PSA 10,"932,077.08 VND",https://www.ebay.com/itm/156719726876,https://i.ebayimg.com/images/g/WaUAAOSwJBdnt6fP/s-l140.jpg,"Sold  Mar 2, 2025"
2024-25 Topps UEFA Competitions Diogo Dalot No SR-DD *Neon Green* /199 (Relic),"58,016.25 VND",https://www.ebay.com/itm/186956397904,https://i.ebayimg.com/images/g/xlsAAOSwvzJnevq~/s-l140.jpg,"Sold  Feb 22, 2025"
2024-2025 Topps UEFA Diogo Dalot Team Logo Variation SSP - Manchester United,"33,262.65 VND",https://www.ebay.com/itm/297000964409,https://i.ebayimg.com/images/g/aH8AAOSw1OhnqSxV/s-l140.jpg,"Sold  Feb 16, 2025"
