Title,Price,Link,Image Link,Sold Date
2015 Panini Donruss Soccer Dirk Kuyt Beautiful Game Bronze Auto BG-DK,"644,367.15 VND",https://www.ebay.com/itm/356408062552,https://i.ebayimg.com/images/g/ADEAAOSwBc9nbFZS/s-l140.jpg,"Sold  Mar 21, 2025"
2015 Panini Donruss Soccer Dirk Kuyt Beautiful Game Bronze Auto BG-DK  AA394,"643,335.75 VND",https://www.ebay.com/itm/396144272907,https://i.ebayimg.com/images/g/TtQAAOSwyhpnkbrh/s-l140.jpg,"Sold  Jan 29, 2025"
Topps 2022/23 UEFA Champions league Museum Collection Dirk Kuyt Archival Auto 75,"497,650.50 VND",https://www.ebay.com/itm/335884600490,https://i.ebayimg.com/images/g/dgQAAeSwF61n5oGk/s-l500.jpg,"Sold  Apr 4, 2025"
Dirk Kuyt 2022-23 Topps UEFA Museum Collection Archival Auto 280/299 [dbK59,"567,270.00 VND",https://www.ebay.com/itm/376102178346,https://i.ebayimg.com/images/g/iPoAAOSwBDRn5MRn/s-l140.jpg,"Sold  Mar 31, 2025"
Topps Match Attax  2008-09 Premier League - Liverpool - Dirk Kuyt,"31,148.28 VND",https://www.ebay.com/itm/144827768843,https://i.ebayimg.com/images/g/~twAAOSwuPNjgbu9/s-l140.jpg,"Sold  Mar 30, 2025"
"Dirk Kuyt Player-Worn Patch Tie-Dye /30! 2016-17 Panini Select Soccer, Dutch","1,469,745.00 VND",https://www.ebay.com/itm/396317140428,https://i.ebayimg.com/images/g/nJYAAOSwNHJn03wv/s-l140.jpg,"Sold  Mar 23, 2025"
Dirk Kuyt 2022-23 Museum Collection UEFA Archival Auto Amethyst 61/99 [dbI97,"522,146.25 VND",https://www.ebay.com/itm/376066915412,https://i.ebayimg.com/images/g/uHYAAOSwDmtn04sn/s-l140.jpg,"Sold  Mar 18, 2025"
Panini Prizm World Cup 2014 Dirk Kuyt Netherlands Red White & Blue Power Plaid,"84,467.64 VND",https://www.ebay.com/itm/267185892153,https://i.ebayimg.com/images/g/4cwAAOSwpJln0LOD/s-l140.jpg,"Sold  Mar 18, 2025"
TOPPS PEARL UEFA 2021-22 DIRK KUYT LIVERPOOL,"51,312.15 VND",https://www.ebay.com/itm/146443359317,https://i.ebayimg.com/images/g/M9UAAOSwD9ln0MxZ/s-l140.jpg,"Sold  Mar 16, 2025"
2010 Panini Adrenalyn XL World Cup South Africa World Cup - DIRK KUYT Fans' Favourite,"53,392.59 VND",https://www.ebay.com/itm/145180316162,https://i.ebayimg.com/images/g/-zUAAOSwhlJkoVwc/s-l140.jpg,"Sold  Mar 14, 2025"
2014 Panini Prizm World Cup #34 Dirk Kuyt Green Crystal Prizm /25 PSA 9,"3,932,212.50 VND",https://www.ebay.com/itm/388038152447,https://i.ebayimg.com/images/g/dp4AAOSw0dtnyKnG/s-l140.jpg,"Sold  Mar 12, 2025"
DIRK KUYT /1 Gold 1/1 Topps Lost Rookie UEFA Champions League PSA 9 Liverpool,"8,474,731.30 VND",https://www.ebay.com/itm/116452980378,https://i.ebayimg.com/images/g/M0EAAOSwxT9nj0rt/s-l140.jpg,"Sold  Mar 12, 2025"
2014 Panini Prizm World Cup Dirk Kuyt #34,"25,527.15 VND",https://www.ebay.com/itm/335760155403,https://i.ebayimg.com/images/g/--wAAeSwfjNnmDKl/s-l140.jpg,"Sold  Jan 24, 2025"
DIRK KUYT 2022-23 TOPPS LIVERPOOL FC LINEAGE SOCCER YELLOW AUTOGRAPH #D 1 / 75,"373,882.50 VND",https://www.ebay.com/itm/297072541488,https://i.ebayimg.com/images/g/7C0AAOSw1Hdnw1Tc/s-l140.jpg,"Sold  Mar 8, 2025"
TOPPS THE LOST ROOKIE 2024 CHAMPIONS LEAGUE DIRK KUYT LIVERPOOL PREORDER,"197,467.82 VND",https://www.ebay.com/itm/116193498156,https://i.ebayimg.com/images/g/WagAAOSw6wdmUNdq/s-l140.jpg,"Sold  Mar 4, 2025"
2014 Panini Adrenalyn XL FIFA World Cup Limited Dirk Kuyt Netherlands,"3,700,147.50 VND",https://www.ebay.com/itm/256829746335,https://i.ebayimg.com/images/g/LbYAAOSwE69nrLwm/s-l140.jpg,"Sold  Mar 2, 2025"
2021/22 Topps UCL Deco Champions League Legend Dirk Kuyt,"112,717.68 VND",https://www.ebay.com/itm/334442291929,https://i.ebayimg.com/images/g/rrUAAOSwNlZigVgi/s-l140.jpg,"Sold  Feb 9, 2025"
DIRK KUYT LIVERPOOL TEAM SET TOPPS 2022-23 PREMIER LEAGUE LEGEND /25,"247,187.90 VND",https://www.ebay.com/itm/135513633983,https://i.ebayimg.com/images/g/rCkAAOSwOhVnj8pu/s-l140.jpg,"Sold  Feb 2, 2025"
DIRK KUYT 2022 TOPPS MUSEUM UEFA ARCHIVAL AUTOGRAPHS AUTO /299 Q2723,"365,115.60 VND",https://www.ebay.com/itm/276824033120,https://i.ebayimg.com/images/g/2CMAAOSwqgJnjraj/s-l140.jpg,"Sold  Jan 27, 2025"
2014 PRIZM WORLD CUP RED WHITE BLUE POWER PLAID DIRK KUYT PSA 10 POP 2 🗯,"411,270.75 VND",https://www.ebay.com/itm/266914555753,https://i.ebayimg.com/images/g/T1MAAOSwbKhmnAzE/s-l140.jpg,"Sold  Jan 21, 2025"
