Title,Price,Link,Image Link,Sold Date
2023-24 Panini Donruss FIFA Domenico Berardi Italy Signature Series Auto #SS-DB,"58,016.25 VND",https://www.ebay.com/itm/126973605928,https://i.ebayimg.com/images/g/DI4AAeSwgcVnxkt1/s-l140.jpg,"Sold  Mar 9, 2025"
2023-24 Panini Donruss FIFA Domenico Berardi Signature Series Blue Auto /99,"515,700.00 VND",https://www.ebay.com/itm/296769074482,https://i.ebayimg.com/images/g/aBwAAOSwnzpnGEjI/s-l140.jpg,"Sold  Feb 6, 2025"
Domenico Berardi - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/226615261569,https://i.ebayimg.com/images/g/AlwAAeSwW2Jnu9Yg/s-l140.jpg,"Sold  Feb 26, 2025"
Domenico Berardi - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/226608052602,https://i.ebayimg.com/images/g/NqoAAeSwesNnto41/s-l140.jpg,"Sold  Feb 22, 2025"
Domenico Berardi - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/297026486269,https://i.ebayimg.com/images/g/DdkAAeSwAVlnsqQo/s-l140.jpg,"Sold  Feb 19, 2025"
Domenico Berardi - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/235960484371,https://i.ebayimg.com/images/g/G6AAAeSwdQVnsUgH/s-l140.jpg,"Sold  Feb 18, 2025"
2021 Panini Mosaic UEFA Euro 2020 Give and Go Green Prizm Domenico Berardi #29,"31,715.55 VND to 36,099.00 VND",https://www.ebay.com/itm/235885210150,https://i.ebayimg.com/images/g/UkoAAeSwVIBnsQok/s-l140.jpg,"Sold  Feb 11, 2025"
2021 Panini Mosaic UEFA Euro 2020 Give and Go Mosaic Prizm Domenico Berardi #29,"25,527.15 VND to 35,841.15 VND",https://www.ebay.com/itm/256760430087,https://i.ebayimg.com/images/g/TiUAAeSwVERnukAx/s-l140.jpg,"Sold  Feb 10, 2025"
2023-24 Panini Select Serie A #96 Domenico Berardi Winter Camo Prizm /30,"102,882.15 VND",https://www.ebay.com/itm/335767076572,https://i.ebayimg.com/images/g/D18AAOSwaHVngvB1/s-l140.jpg,"Sold  Jan 19, 2025"
2023-24 Panini Select Serie A #96 Domenico Berardi Winter Camo Prizm 11/30,"109,586.25 VND",https://www.ebay.com/itm/365360608703,https://i.ebayimg.com/images/g/OWsAAOSwOQNnkt-M/s-l140.jpg,"Sold  Jan 28, 2025"
2023-24 Panini Select Serie A - Pitchside Signatures Domenico Berardi #PS-DB ,"83,801.25 VND",https://www.ebay.com/itm/405645808715,https://i.ebayimg.com/images/g/uhMAAeSwHzRn0hTx/s-l140.jpg,"Sold  Mar 19, 2025"
2023 DOMENICO BERARDI /25 SELECT SERIE A FIELD LEVEL TIE-DYE Prism🇮🇹🔥,"154,710.00 VND",https://www.ebay.com/itm/296700785931,https://i.ebayimg.com/images/g/8gQAAOSw5mRm63m2/s-l140.jpg,"Sold  Mar 15, 2025"
2020-21 Panini Chronicles Base Serie A Purple Astro Domenico Berardi #30,"25,527.15 VND",https://www.ebay.com/itm/256819729172,https://i.ebayimg.com/images/g/5~EAAeSwtW1n264L/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Panini Select Serie A Domenico Berardi Auto US Sassuolo Calcio #PS-DB,"77,097.15 VND",https://www.ebay.com/itm/176864525193,https://i.ebayimg.com/images/g/sIsAAOSwWqtntoZ9/s-l140.jpg,"Sold  Feb 26, 2025"
2023 Panini Select Serie A Field Level Tie-Dye Prizm /25 Domenico Berardi #240,"169,407.45 VND",https://www.ebay.com/itm/235957236913,https://i.ebayimg.com/images/g/rzwAAeSwFjJnrlaw/s-l140.jpg,"Sold  Feb 16, 2025"
2023-24 Donruss Soccer gold Domenico Berardi Signature Series Auto 9/10,"3,094,200.00 VND",https://www.ebay.com/itm/126622914800,https://i.ebayimg.com/images/g/sU4AAOSwDqtmusfF/s-l140.jpg,"Sold  Feb 6, 2025"
DOMENICO BERARDI 2023-24 PANINI DONRUSS OPTIC FIFA DRAGON AUTO 11/25 ITALY MATCH,"322,312.50 VND",https://www.ebay.com/itm/196961447021,https://i.ebayimg.com/images/g/YLYAAOSwy1tnj-Yh/s-l140.jpg,"Sold  Jan 28, 2025"
2021-22 Donruss Soccer Domenico Berardi Orange Laser Holo PSA Gem Mint 10 Italy,"412,302.15 VND",https://www.ebay.com/itm/126878572029,https://i.ebayimg.com/images/g/ggAAAOSwXYVngw24/s-l140.jpg,"Sold  Jan 27, 2025"
2023/24 Panini Select Serie A DOMENICO BERARDI Black 1/1 UD SASSUOLO CALCIO,"2,578,500.00 VND",https://www.ebay.com/itm/387840378195,https://i.ebayimg.com/images/g/L6EAAOSwHvBnjXN8/s-l140.jpg,"Sold  Jan 19, 2025"
2023-24 Panini Donruss Soccer Domenico Berardi Red Auto /49,"634,696.53 VND",https://www.ebay.com/itm/315777506883,https://i.ebayimg.com/images/g/QO0AAOSwvFVnBBr8/s-l140.jpg,"Sold  Feb 6, 2025"
Domenico Berardi Auto Autograph Panini Select Serie A US Sassuolo 2024,"423,468.19 VND",https://www.ebay.com/itm/267206069282,https://i.ebayimg.com/images/g/IJwAAOSwY6Nn6tf3/s-l140.jpg,"Sold  Apr 6, 2025"
2023-24 DOMENICO BERARDI AUTO PANINI SELECT SERIE A SILVER PITCHSIDE SIGNATURES,"463,872.15 VND",https://www.ebay.com/itm/156376062445,https://i.ebayimg.com/images/g/L68AAOSwq0Bmx-fL/s-l140.jpg,"Sold  Mar 10, 2025"
Panini Select 2023-24 Serie A Soccer No. 240 Domenico Berardi Red Prizm,"56,217.59 VND",https://www.ebay.com/itm/316043151082,https://i.ebayimg.com/images/g/bM8AAOSwkeZnWbE8/s-l140.jpg,"Sold  Feb 11, 2025"
