Title,Price,Link,Image Link,Sold Date
2021 Topps Finest UEFA Duvan Zapata Auto #BA-DZ,"109,586.25 VND",https://www.ebay.com/itm/376098679607,https://i.ebayimg.com/images/g/iNMAAeSwMhhn4xRS/s-l140.jpg,"Sold  Mar 30, 2025"
2021 Topps Finest Uefa Duvan Zapata Red Auto #/5,"644,625.00 VND",https://www.ebay.com/itm/235915734151,https://i.ebayimg.com/images/g/lggAAOSw8HZniDCN/s-l140.jpg,"Sold  Jan 30, 2025"
2023-24 Panini Select Serie A Duvan Zapata Terrace Red Wave Prizm 32/49 #77 KT01,"14,181.75 VND",https://www.ebay.com/itm/396230267608,https://i.ebayimg.com/images/g/Wl8AAOSww95nt5O5/s-l140.jpg,"Sold  Feb 28, 2025"
2023-24 Panini Select Duvan Zapata Terrace Red Wave Prizm 15/49 #77 HP24,"58,545.00 VND",https://www.ebay.com/itm/396111785097,https://i.ebayimg.com/images/g/z2AAAOSwN1ZngN7w/s-l140.jpg,"Sold  Jan 17, 2025"
2021-22 Topps Chrome UEFA Soccer Red Wave #Duvan Zapata 2/5 SSP,"167,602.50 VND",https://www.ebay.com/itm/365342687969,https://i.ebayimg.com/images/g/XiUAAOSwLhZnhkCl/s-l140.jpg,"Sold  Jan 19, 2025"
2021-22 Topps Chrome UEFA Soccer Gold #Duvan Zapata 03/50,"25,527.15 VND",https://www.ebay.com/itm/365326361758,https://i.ebayimg.com/images/g/mCMAAOSwLAlne8A2/s-l140.jpg,"Sold  Jan 11, 2025"
2021 Duvan Zapata Topps Chrome Gold Refractor Atalanta Autographed 14/50 Auto,"300,531.00 VND",https://www.ebay.com/itm/365497761641,https://i.ebayimg.com/images/g/I90AAOSwXApn62ug/s-l140.jpg,"Sold  Apr 5, 2025"
2021 Duvan Zapata Topps Chrome Gold Refractor Atalanta Autographed 49/50 PSA 10,"624,219.80 VND",https://www.ebay.com/itm/135617683121,https://i.ebayimg.com/images/g/P8kAAOSw2IxjVzAo/s-l140.jpg,"Sold  Mar 15, 2025"
2021-22 Topps Chrome Sapphire Duvan Zapata Orange 12/50 Colombia Atalanta,"58,545.00 VND",https://www.ebay.com/itm/365414669802,https://i.ebayimg.com/images/g/eQsAAOSw0p1nuSP5/s-l140.jpg,"Sold  Feb 26, 2025"
2021-22 Topps Chrome Sapphire Duvan Zapata Orange 12/50 Colombia Atalanta,"72,595.80 VND",https://www.ebay.com/itm/365331860813,https://i.ebayimg.com/images/g/v-0AAOSwVsxnfyfC/s-l140.jpg,"Sold  Jan 13, 2025"
2022 Panini Mosaic World Cup Duvan Zapata Choice Peacock SSP Colombia Atalanta,"25,785.00 VND",https://www.ebay.com/itm/365499535825,https://i.ebayimg.com/images/g/Ox0AAOSw49pn7Iw3/s-l140.jpg,"Sold  Apr 6, 2025"
Duvan Zapata 2021-22 Panini Donruss OPTIC Soccer Fifa Road World Cup Qatar #35,"25,785.00 VND",https://www.ebay.com/itm/195712391674,https://i.ebayimg.com/images/g/Uy4AAOSwLcJkPBX2/s-l140.jpg,"Sold  Mar 30, 2025"
Duvan Zapata POWER IN THE BOX 2021-22 Panini Donruss Soccer World Cup Qatar #1,"25,785.00 VND",https://www.ebay.com/itm/195287241659,https://i.ebayimg.com/images/g/ZbUAAOSwnE5ir4ce/s-l140.jpg,"Sold  Mar 30, 2025"
2021-22 Panini FIFA Score Soccer DUVAN ZAPATA Blue Lava /49,"28,250.05 VND",https://www.ebay.com/itm/396300771212,https://i.ebayimg.com/images/g/rn8AAeSw~5lnzfB2/s-l140.jpg,"Sold  Mar 16, 2025"
Topps Champions League Sticker CL 20/21 ATA 17 Duvan Zapata,"33,229.13 VND",https://www.ebay.com/itm/316020243557,https://i.ebayimg.com/images/g/1GsAAOSwraBgUur1/s-l140.jpg,"Sold  Jan 10, 2025"
Duvan Zapata - 2022-23 Panini Select Serie A - /10 Field Level Gold Wave Prizm ,"83,072.82 VND",https://www.ebay.com/itm/226661586944,https://i.ebayimg.com/images/g/KmkAAOSwlSNnNwhu/s-l140.jpg,"Sold  Mar 28, 2025"
2023-24 Select Serie A Multi-Color #77 Duvan Zapata,"154,710.00 VND",https://www.ebay.com/itm/365311971833,https://i.ebayimg.com/images/g/SsoAAeSw525n1j1q/s-l140.jpg,"Sold  Mar 18, 2025"
2023 Select Serie A Duvan Zapata Unstoppable Tie Dye #30/49,"72,713.70 VND",https://www.ebay.com/itm/376061133755,https://i.ebayimg.com/images/g/kW0AAeSwOWpn0J79/s-l140.jpg,"Sold  Mar 16, 2025"
