Title,Price,Link,Image Link,Sold Date
Edouard Mendy 2024-25 Donruss Optic FIFA SOCCER BLUE PRIZM /149 #154,"51,312.15 VND",https://www.ebay.com/itm/205342804803,https://i.ebayimg.com/images/g/y9wAAeSwhg5nzfFu/s-l140.jpg,"Sold  Mar 16, 2025"
Edouard Mendy 2024-25 Donruss Optic FIFA SOCCER RED FOIL #95/99 #154,"51,312.15 VND",https://www.ebay.com/itm/205333062249,https://i.ebayimg.com/images/g/tmcAAeSwXIhnvLaW/s-l140.jpg,"Sold  Mar 9, 2025"
Edouard Mendy 2024-25 Donruss Optic FIFA SOCCER AQUA MOJO #/49 #154,"51,312.15 VND",https://www.ebay.com/itm/205333062265,https://i.ebayimg.com/images/g/OocAAeSwqq1nuSam/s-l140.jpg,"Sold  Mar 9, 2025"
2020 Panini Prizm Premier League Edouard Mendy Hyper RC #211,"25,527.15 VND",https://www.ebay.com/itm/375988877246,https://i.ebayimg.com/images/g/NRkAAeSwjcdnq7gY/s-l140.jpg,"Sold  Feb 16, 2025"
2020-21 Panini Prizm Premier League - #211 Edouard Mendy (RC),"25,527.15 VND",https://www.ebay.com/itm/316098467551,https://i.ebayimg.com/images/g/oHcAAOSwb05ndYEi/s-l140.jpg,"Sold  Jan 20, 2025"
2021-22 Prizm Premier League Edouard Mendy Auto Choice Scope Chelsea FC LK006,"127,377.90 VND",https://www.ebay.com/itm/316456750953,https://i.ebayimg.com/images/g/6J0AAOSwluxnyl0C/s-l140.jpg,"Sold  Mar 11, 2025"
2021-22 Prizm Premier League Edouard Mendy Auto Red Stars Chelsea LK164,"90,505.35 VND",https://www.ebay.com/itm/316165262529,https://i.ebayimg.com/images/g/kFUAAOSw35lnmDpL/s-l140.jpg,"Sold  Feb 1, 2025"
2021-22 Prizm Premier League Edouard Mendy Tiger Scope Chelsea SSP MDB1Y,"141,817.50 VND",https://www.ebay.com/itm/396088076690,https://i.ebayimg.com/images/g/A2IAAOSwLGZneKP4/s-l140.jpg,"Sold  Jan 8, 2025"
2024-25 Panini Donruss Optic Edouard Mendy Red Prizm 048/299 #154 KT01,"7,806.00 VND",https://www.ebay.com/itm/396266789208,https://i.ebayimg.com/images/g/7I4AAOSwPx5nxKWu/s-l140.jpg,"Sold  Mar 11, 2025"
2024-25 Panini Donruss Optic Edouard Mendy Aqua Mojo Prizm 18/49 #154 KT01,"32,525.00 VND",https://www.ebay.com/itm/396262304903,https://i.ebayimg.com/images/g/bBcAAOSwhSJnw0XR/s-l140.jpg,"Sold  Mar 9, 2025"
2019 - 2020 Panini ADRENALYN XL Ligue 1 Card EDOUARD MENDY Stade de Reims,"42,092.57 VND",https://www.ebay.com/itm/254426951019,https://i.ebayimg.com/images/g/VSAAAOSwS5Rd1BQi/s-l140.jpg,"Sold  Apr 16, 2022"
2020-21 Merlin Chrome UEFA #91 Edouard Mendy Aqua Prism RC Chelsea,"38,677.50 VND",https://www.ebay.com/itm/256862507792,https://i.ebayimg.com/images/g/UyMAAeSwt7Rn2cIc/s-l140.jpg,"Sold  Mar 25, 2025"
