Title,Price,Link,Image Link,Sold Date
Edu 2023-24 Topps Bundesliga 60 Years Celebration Relic Patch [dbJ30,"25,785.00 VND",https://www.ebay.com/itm/376086114268,https://i.ebayimg.com/images/g/nfcAAOSwW0Vn3MbS/s-l500.jpg,"Sold  Mar 25, 2025"
Edu 2023-24 Topps Bundesliga 60 Years Celebration Relic Patch Gold 36/50 [dbJ30,"25,785.00 VND",https://www.ebay.com/itm/376086097187,https://i.ebayimg.com/images/g/bk8AAOSwUmNn3MTz/s-l140.jpg,"Sold  Mar 25, 2025"
Edu 2022-23 Panini Select Premier League Signatures Auto Blue Pulsar Arsenal,"25,527.15 VND",https://www.ebay.com/itm/286339138517,https://i.ebayimg.com/images/g/YTwAAOSwl5Vns~Yy/s-l140.jpg,"Sold  Feb 22, 2025"
Edu 2022-23 Panini Select Premier League Signatures Auto Blue Pulsar Arsenal,"244,957.50 VND",https://www.ebay.com/itm/256795127438,https://i.ebayimg.com/images/g/CnMAAOSwzrNnk0Mw/s-l140.jpg,"Sold  Feb 2, 2025"
Edu 2022-23 Impeccable Premier League Impeccable Stars Auto 86/99 [dbK58,"309,420.00 VND",https://www.ebay.com/itm/376108224860,https://i.ebayimg.com/images/g/PbkAAOSwun9n514B/s-l140.jpg,"Sold  Apr 2, 2025"
PANINI IMPECCABLE PREMIER LEAGUE 2022-23 EDU /99 ILLUSTRIOUS INK AUTO ARSENAL,"329,300.67 VND",https://www.ebay.com/itm/365476551560,https://i.ebayimg.com/images/g/SDYAAOSwShBmkUZo/s-l140.jpg,"Sold  Mar 29, 2025"
2022-23 Obsidian Soccer Edu Red Aurora Auto 27/44 Arsenal,"386,517.15 VND",https://www.ebay.com/itm/256863975936,https://i.ebayimg.com/images/g/YvsAAOSwlmBnsRvn/s-l140.jpg,"Sold  Mar 26, 2025"
2022-23 Panini Select Premier League Edu Auto Arsenal,"334,947.15 VND",https://www.ebay.com/itm/146323248344,https://i.ebayimg.com/images/g/PJAAAOSwtDxm1WX9/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Adrenalyn XL FIFA 365 2020 Team Mate Nr. 328 Edu Dracena,"33,229.13 VND",https://www.ebay.com/itm/316346321747,https://i.ebayimg.com/images/g/RHAAAOSwQLZdv04D/s-l140.jpg,"Sold  Mar 22, 2025"
Panini FIFA 365 2020 Sticker No. 349 Edu Dracena - Diogo Barbosa,"33,229.13 VND",https://www.ebay.com/itm/335841197127,https://i.ebayimg.com/images/g/rD0AAOSwGuZipLbB/s-l140.jpg,"Sold  Mar 22, 2025"
EDU 2022-23 Panini Obsidian Soccer Aurora Auto Orange #53/75 PSA 8,"210,250.89 VND",https://www.ebay.com/itm/388014647353,https://i.ebayimg.com/images/g/ywQAAOSwi7xnwlLM/s-l140.jpg,"Sold  Mar 7, 2025"
EDU EXPOSITO SELECT LA LIGA SOCCER PANINI 2022-23 RCD ESPANYOL /35,"42,375.07 VND",https://www.ebay.com/itm/135568507951,https://i.ebayimg.com/images/g/FVwAAOSwSIRntv~4/s-l140.jpg,"Sold  Mar 2, 2025"
EDU 60 YEARS OF BUNDESLIGA TOPPS 2023-24 SCHALKE 04 PATCH /50,"367,533.10 VND",https://www.ebay.com/itm/135568489984,https://i.ebayimg.com/images/g/d4kAAOSwhSJnttkp/s-l140.jpg,"Sold  Mar 2, 2025"
EDU IMPECCABLE PREMIER LEAGUE SOCCER PANINI 2023-24 ARSENAL AUTO,"2,909,754.74 VND",https://www.ebay.com/itm/135513636794,https://i.ebayimg.com/images/g/l~MAAOSw~Idnj8zh/s-l140.jpg,"Sold  Feb 2, 2025"
Autograph Edu (Brazil) Brazil Brazil World Cup 1970 World Cup 1970,"169,500.28 VND",https://www.ebay.com/itm/256788470432,https://i.ebayimg.com/images/g/ufYAAOSwlvNnjTYv/s-l140.jpg,"Sold  Jan 26, 2025"
2022/23 Impeccable Premier League EPL Illustrious Ink EDU Ruby Auto 33/35,"695,937.15 VND",https://www.ebay.com/itm/404879319282,https://i.ebayimg.com/images/g/q2EAAOSwH8hl~tf~/s-l140.jpg,"Sold  Jan 19, 2025"
2022-23 Panini Chronicles Base La Liga Panini Red Lasers Edu Exposito #42,"132,534.90 VND",https://www.ebay.com/itm/335768278243,https://i.ebayimg.com/images/g/GVcAAOSwxVNnhEY9/s-l140.jpg,"Sold  Jan 13, 2025"
EDU GASPAR ARSENAL FOREVER 2023-24 PREMIER LEAGUE AUTO LEGEND /15,"1,087,626.77 VND",https://www.ebay.com/itm/135478791259,https://i.ebayimg.com/images/g/qeMAAOSwqL1ndmyJ/s-l140.jpg,"Sold  Jan 12, 2025"
