Title,Price,Link,Image Link,Sold Date
2024-25 Panini Donruss Soccer France Eduardo Camavinga The Beautiful Game Auto 2,"618,840.00 VND",https://www.ebay.com/itm/167411860057,https://i.ebayimg.com/images/g/-pUAAeSwWeFn51vV/s-l140.jpg,"Sold  Mar 28, 2025"
2024-25 Panini Donruss Soccer France Eduardo Camavinga The Beautiful Game Auto 1,"618,840.00 VND",https://www.ebay.com/itm/167411849920,https://i.ebayimg.com/images/g/w2IAAeSw14Bn51sd/s-l140.jpg,"Sold  Mar 28, 2025"
2023-24 Topps Chrome Sapphire UEFA Eduardo Camavinga Yellow 47/75 #36,"76,065.75 VND",https://www.ebay.com/itm/316494613460,https://i.ebayimg.com/images/g/~TAAAeSwx29n1GaW/s-l140.jpg,"Sold  Mar 28, 2025"
2023 Topps Chrome Sapphire UEFA Eduardo Camavinga Yellow #30/75,"168,376.05 VND",https://www.ebay.com/itm/376090998196,https://i.ebayimg.com/images/g/CPoAAeSw~E1nyelm/s-l140.jpg,"Sold  Mar 27, 2025"
2023-24 Select La Liga Winter Camo #232 Eduardo Camavinga /99,"206,280.00 VND",https://www.ebay.com/itm/166985393227,https://i.ebayimg.com/images/g/pEIAAeSwh~ln2EWO/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Select La Liga Winter Camo #232 Eduardo Camavinga /99 Real Madrid,"257,592.15 VND",https://www.ebay.com/itm/116272061157,https://i.ebayimg.com/images/g/U8cAAOSwILBmqRZa/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 TOPPS CHROME SAPPHIRE UEFA CLUB COMPETITION BASE EDUARDO CAMAVINGA #36,"25,785.00 VND",https://www.ebay.com/itm/176823011988,https://i.ebayimg.com/images/g/p7QAAOSwPJBnonlX/s-l500.jpg,"Sold  Feb 24, 2025"
2022-23 Topps UEFA Club Competitions 1st Edition - Eduardo Camavinga #12,"316,381.95 VND",https://www.ebay.com/itm/256879281245,https://i.ebayimg.com/images/g/Cp4AAeSwLhZn7NvP/s-l140.jpg,"Sold  Apr 6, 2025"
Eduardo Camavinga 2023-24 Topps Chrome UEFA  Auto Neon Green 60/99 [dbM41,"605,947.50 VND",https://www.ebay.com/itm/376120662817,https://i.ebayimg.com/images/g/XPEAAOSw4Dhn7LGE/s-l140.jpg,"Sold  Apr 6, 2025"
Eduardo Camavinga 2023-24 Topps UEFA Club Competitions Purple Patch /299 [dbK74,"141,817.50 VND",https://www.ebay.com/itm/376120541033,https://i.ebayimg.com/images/g/4PkAAOSwdTZn7KbV/s-l140.jpg,"Sold  Apr 6, 2025"
