Title,Price,Link,Image Link,Sold Date
Eljif Elmas Andriy Pytov 2021 Panini Mosaic UEFA Euro Silver 25 Cards Lots,"25,785.00 VND",https://www.ebay.com/itm/375967958582,https://i.ebayimg.com/images/g/YJ0AAOSwNc1nkHI8/s-l140.jpg,"Sold  Feb 7, 2025"
Eljif Elmas Andriy Pytov 2021 Panini Mosaic UEFA Euro Silver 25 Cards Lots,"72,971.55 VND",https://www.ebay.com/itm/375940783846,https://i.ebayimg.com/images/g/YJ0AAOSwNc1nkHI8/s-l140.jpg,"Sold  Jan 26, 2025"
Eljif Elmas 2023-24 Topps Chrome UEFA Gold Geometric Refractor 36/50,"25,785.00 VND",https://www.ebay.com/itm/376120570277,https://i.ebayimg.com/images/g/T~AAAOSw1fxn7Kni/s-l140.jpg,"Sold  Apr 6, 2025"
Panini FIFA 365 2020 - Eljif Elmas - Hirving Lozano SSC Napoli No. 261,"33,229.13 VND",https://www.ebay.com/itm/205168208816,https://i.ebayimg.com/images/g/1E0AAOSwp6VnYETr/s-l140.jpg,"Sold  Mar 31, 2025"
2021-22 Topps C78 Match Attax Champions League #374 Eljif Elmas - SSC Napoli,"28,250.05 VND",https://www.ebay.com/itm/255175755517,https://i.ebayimg.com/images/g/x8EAAOSwDuRhZFd0/s-l140.jpg,"Sold  Sep 12, 2023"
2024 ELJIF ELMAS 03/25 TOPPS UEFA CHAMPIONS LEAGUE JADE ORANGE,"231,807.15 VND",https://www.ebay.com/itm/156832231721,https://i.ebayimg.com/images/g/cH8AAOSwZ6Jn4gHx/s-l140.jpg,"Sold  Mar 26, 2025"
2023-24 Topps UEFA Jade Edition Eljif Elmas Pink Refractor #101/125,"83,801.25 VND",https://www.ebay.com/itm/376080151387,https://i.ebayimg.com/images/g/Tc8AAeSwu~Jn2bhq/s-l140.jpg,"Sold  Mar 23, 2025"
Topps UEFA Club Competitions 23/24 Eljif Elmas Orange 13/25,"84,750.14 VND",https://www.ebay.com/itm/356682489048,https://i.ebayimg.com/images/g/x48AAeSwnfFn2U9f/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Topps Chrome UEFA Eljif Elmas Gold Mojo 42/50 North Macedonia Napoli,"25,785.00 VND",https://www.ebay.com/itm/365459379155,https://i.ebayimg.com/images/g/YmAAAOSw0TFn04bP/s-l140.jpg,"Sold  Mar 18, 2025"
Champions League EXTRA 2023/24 Card 132 - Eljif Elmas - Tunnel View,"28,250.05 VND",https://www.ebay.com/itm/296259767866,https://i.ebayimg.com/images/g/LAMAAOSwNWRl4KlZ/s-l140.jpg,"Sold  Mar 17, 2025"
Topps Champions League 2023 2024 Sticker 511 Eljif Elmas - SSC Napoli,"28,250.05 VND",https://www.ebay.com/itm/296148148524,https://i.ebayimg.com/images/g/BJ8AAOSwwa1lmDR6/s-l140.jpg,"Sold  Mar 17, 2025"
Champions League EXTRA Trading Card NT 9 - Eljif Elmas - New Transfer 23/24,"28,250.05 VND",https://www.ebay.com/itm/305506921984,https://i.ebayimg.com/images/g/VvcAAOSw0JFmGIEf/s-l140.jpg,"Sold  Mar 17, 2025"
Topps Match Attax Bundesliga 190 - Eljif Elmas - 2024/2025,"28,250.05 VND",https://www.ebay.com/itm/305956723042,https://i.ebayimg.com/images/g/TGgAAOSwsMlnUqas/s-l140.jpg,"Sold  Mar 17, 2025"
2020 Panini FIFA 365 Cards Cards 266 - Eljif Elmas - Impact Signing,"39,267.56 VND",https://www.ebay.com/itm/303300145979,https://i.ebayimg.com/images/g/-40AAOSwsyNeaGOE/s-l140.jpg,"Sold  Mar 17, 2025"
2021 Topps NOW UEFA Europa League Eljif Elmas #7 ~ SSC Napoli ~ PR 182,"257,592.15 VND",https://www.ebay.com/itm/266318466877,https://i.ebayimg.com/images/g/MncAAOSwK8VhXeHA/s-l140.jpg,"Sold  Jan 21, 2024"
ELJIF ELMAS 2022-23 Panini Chronicles Base Serie A Phoenix Blue /49 #246,"128,925.00 VND",https://www.ebay.com/itm/405644567980,https://i.ebayimg.com/images/g/SuQAAeSwSJVn0dXT/s-l140.jpg,"Sold  Mar 12, 2025"
2018-19 Panini Treble Soccer Base Card : Eljif Elmas #163 *2,"141,817.50 VND",https://www.ebay.com/itm/356486286599,https://i.ebayimg.com/images/g/rScAAOSwvAlnjeqx/s-l140.jpg,"Sold  Mar 12, 2025"
2024 Topps Uefa Club Competition SuperFractor Eljif Elmas 1/1,"4,318,987.50 VND",https://www.ebay.com/itm/365440084392,https://i.ebayimg.com/images/g/fYIAAOSw9EFnx7mi/s-l140.jpg,"Sold  Mar 9, 2025"
2021 Mosaic UEFA Euro Eljif Elmas Gold  Mosaic Prizm # 6/10 North Macedonia,"773,550.00 VND",https://www.ebay.com/itm/256823113868,https://i.ebayimg.com/images/g/2OwAAOSwWqlktwkZ/s-l140.jpg,"Sold  Feb 28, 2025"
2022-23 Panini Chronicles Serie A #246 Eljif Elmas Phoenix SSC Napoli Card NM-MT,"51,054.30 VND",https://www.ebay.com/itm/235547034658,https://i.ebayimg.com/images/g/JaIAAOSwC5pmkHeR/s-l140.jpg,"Sold  Jan 13, 2025"
Match Attax 2024/25 Champions League Eljif ELMAS Base Card #234 RB Leipzig,"30,836.80 VND",https://www.ebay.com/itm/387966178572,https://i.ebayimg.com/images/g/4QwAAeSwZFpntWGZ/s-l140.jpg,"Sold  Feb 25, 2025"
2020-21 Panini Chronicles Certified Serie a Mirror Gold /10 Eljif Elmas,"644,625.00 VND",https://www.ebay.com/itm/365025489370,https://i.ebayimg.com/images/g/DSYAAOSw9xJmnsqT/s-l140.jpg,"Sold  Feb 23, 2025"
Topps Midnight Bundesliga Eljif Elmas 3/5 Northern Lights RB Leipzig,"437,875.71 VND",https://www.ebay.com/itm/326445558808,https://i.ebayimg.com/images/g/wE0AAOSw9eZm8Exx/s-l140.jpg,"Sold  Feb 20, 2025"
2021 Mosaic UEFA UERO Soccer Eljif Elmas Stained Glass,"322,312.50 VND",https://www.ebay.com/itm/135548314766,https://i.ebayimg.com/images/g/QyYAAOSwaoRnrAsw/s-l140.jpg,"Sold  Feb 18, 2025"
2023 Topps Chrome UEFA UCC Eljif Elmas Violet Speckle Refractor #236/299,"25,527.15 VND",https://www.ebay.com/itm/375993855445,https://i.ebayimg.com/images/g/QEYAAeSwtmNnrle8/s-l140.jpg,"Sold  Feb 18, 2025"
2019-20 Panini Fifa 365 Album Stickers Eljif Elmas Hirving Lozano #261,"43,576.65 VND",https://www.ebay.com/itm/235953522434,https://i.ebayimg.com/images/g/i3IAAeSw1cRnqxaE/s-l140.jpg,"Sold  Feb 18, 2025"
2023 Topps Chrome Sapphire UEFA Eljif Elmas Gold /50 #182,"25,527.15 VND",https://www.ebay.com/itm/396197778509,https://i.ebayimg.com/images/g/I1MAAOSwt9dnqqvA/s-l140.jpg,"Sold  Feb 15, 2025"
2023 Topps Chrome UEFA Neon Green Wave Refractor /399 Eljif Elmas,"25,527.15 VND",https://www.ebay.com/itm/256807873820,https://i.ebayimg.com/images/g/K6AAAeSwSHZnpUtC/s-l140.jpg,"Sold  Feb 15, 2025"
2023-24 Topps Chrome UEFA Eljif Elmas Green 5/75 North Macedonia Napoli,"25,785.00 VND",https://www.ebay.com/itm/365358832488,https://i.ebayimg.com/images/g/zCAAAOSwbqdnkZ4j/s-l140.jpg,"Sold  Jan 27, 2025"
Eljif Elmas 2023-24 Topps Chrome UEFA Club Competitions Color Match 94/99 [dbF3,"25,785.00 VND",https://www.ebay.com/itm/375930254906,https://i.ebayimg.com/images/g/TpQAAOSwoXtniyoq/s-l140.jpg,"Sold  Jan 22, 2025"
2022-23 Panini Select Serie A Eljif Elmas Tie Dye Mezzanine /25,"102,882.15 VND",https://www.ebay.com/itm/176613347786,https://i.ebayimg.com/images/g/piIAAOSwQmxnAaqX/s-l140.jpg,"Sold  Jan 18, 2025"
Topps Match Attax Bundesliga 24/25 Card No. 190 Eljif Elmas,"28,250.05 VND",https://www.ebay.com/itm/315965788747,https://i.ebayimg.com/images/g/WJ4AAOSw5KVnOLz2/s-l140.jpg,"Sold  Jan 16, 2025"
