Title,Price,Link,Image Link,Sold Date
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
PANINI PREMIER LEAGUE 2023 TRANSFER UPDATE: CHOOSE STICKER FROM DROPDOWN,"32,896.84 VND to 431,646.39 VND",https://www.ebay.com/itm/404247047520,https://i.ebayimg.com/images/g/VW8AAOSwBj1kOW4c/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Premier League 2023 Transfer Update Stickers U1 - U48,"41,536.41 VND to 297,400.71 VND",https://www.ebay.com/itm/175682111956,https://i.ebayimg.com/images/g/iBcAAOSwVaxkzsWn/s-l140.jpg,"Sold  Mar 21, 2025"
Panini Premier League 2022/23 2023 New Transfer Squad Update Stickers U1 - U48,"58,150.98 VND to 91,380.11 VND",https://www.ebay.com/itm/374637665052,https://i.ebayimg.com/images/g/VosAAOSwOahkPWxf/s-l140.jpg,"Sold  Feb 16, 2025"
