Title,Price,Link,Image Link,Sold Date
2016 Panini Prizm UEFA Euro '16 Prizms Blue #193 Elseid Hysaj /249 ,"43,576.65 VND",https://www.ebay.com/itm/315714233238,https://i.ebayimg.com/images/g/y20AAeSwhgRnm69W/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Panini Prizm UEFA Euro '16 Prizms Flash #193 Elseid Hysaj,"64,462.50 VND",https://www.ebay.com/itm/315714233250,https://i.ebayimg.com/images/g/z~oAAeSwICJnm65i/s-l140.jpg,"Sold  Feb 5, 2025"
2024 Topps Chrome UEFA Euro Sapphire Gold /50 ELSEID HYSAJ #72,"60,594.75 VND",https://www.ebay.com/itm/286268795367,https://i.ebayimg.com/images/g/ZX8AAOSwinRnic6m/s-l140.jpg,"Sold  Jan 21, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 ELSEID HYSAJ #72,"270,742.50 VND",https://www.ebay.com/itm/286265148261,https://i.ebayimg.com/images/g/i7gAAOSw2sFnhzvV/s-l140.jpg,"Sold  Jan 19, 2025"
2024 Topps Chrome UEFA Euro Sapphire Orange /25 ELSEID HYSAJ #72,"25,527.15 VND",https://www.ebay.com/itm/286250062179,https://i.ebayimg.com/images/g/VxoAAOSw6s1ne1cq/s-l140.jpg,"Sold  Jan 10, 2025"
2024 Topps Chrome UEFA Euro Sapphire Gold /50 ELSEID HYSAJ #72,"25,527.15 VND",https://www.ebay.com/itm/286250051261,https://i.ebayimg.com/images/g/rs4AAOSwcK1ne1R-/s-l140.jpg,"Sold  Jan 10, 2025"
Panini FIFA 365 (2018) - Elseid Hysaj SSC Napoli No. 346,"33,229.13 VND",https://www.ebay.com/itm/205156220090,https://i.ebayimg.com/images/g/X7MAAOSw2nNnWBYW/s-l140.jpg,"Sold  Mar 31, 2025"
Panini FIFA 365 2019 - Elseid Hysaj SSC Napoli - No. 241,"33,229.13 VND",https://www.ebay.com/itm/205141537376,https://i.ebayimg.com/images/g/e-IAAOSwoyhnTdrN/s-l140.jpg,"Sold  Mar 31, 2025"
2024 Topps Chrome UEFA Euro ELSEID HYSAJ II/XI 2/11 XI Refractor SP Albania #72,"46,413.00 VND",https://www.ebay.com/itm/306182710863,https://i.ebayimg.com/images/g/eJ8AAOSwGDFnv9r7/s-l140.jpg,"Sold  Mar 24, 2025"
2024 Topps Chrome UEFA Euro ELSEID HYSAJ II/XI 2/11 XI Refractor SP Albania #72,"96,693.75 VND",https://www.ebay.com/itm/306143041024,https://i.ebayimg.com/images/g/eJ8AAOSwGDFnv9r7/s-l140.jpg,"Sold  Mar 7, 2025"
2024 Topps Chrome UEFA EURO Purple Lava Refractors #72 Elseid Hysaj 14/175,"51,312.15 VND",https://www.ebay.com/itm/297124632555,https://i.ebayimg.com/images/g/QO4AAeSwJ7Zns6sY/s-l140.jpg,"Sold  Mar 24, 2025"
