Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select FIFA Blue Pulsar United States Women’s USA Auto Emily Fox,"489,657.15 VND",https://www.ebay.com/itm/267113624346,https://i.ebayimg.com/images/g/oeAAAOSwtQtnduY2/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Select FIFA Blue Pulsar United States USWNT Auto Emily Fox,"334,947.15 VND",https://www.ebay.com/itm/276811544000,https://i.ebayimg.com/images/g/uRwAAOSwADpngOBr/s-l140.jpg,"Sold  Jan 19, 2025"
2023-24 Panini Select FIFA Emily Fox Pitchside Signatures Silver Prizm Auto KT01,"109,586.25 VND",https://www.ebay.com/itm/396358630282,https://i.ebayimg.com/images/g/A2IAAOSwMx9n4ZUo/s-l140.jpg,"Sold  Apr 2, 2025"
2023-24 Panini Select FIFA Emily Fox Pitchside Signatures Auto Blue Pulsar,"309,420.00 VND",https://www.ebay.com/itm/126993899779,https://i.ebayimg.com/images/g/-CsAAeSwD3xnu93W/s-l140.jpg,"Sold  Mar 15, 2025"
2023 Panini Select FIFA Emily Fox Pitchside Signatures Red Auto #PS-EF,"141,817.50 VND",https://www.ebay.com/itm/126978566300,https://i.ebayimg.com/images/g/FesAAeSwkMtnyeVt/s-l140.jpg,"Sold  Mar 11, 2025"
2023-24 Panini Select FIFA USWNT Emily Fox Pitchside Auto Silver Prizm,"644,625.00 VND",https://www.ebay.com/itm/204987654639,https://i.ebayimg.com/images/g/5g4AAOSwSlBm4jlM/s-l140.jpg,"Sold  Feb 17, 2025"
2023-24 Panini Select FIFA Emily Fox PS-EF Pitchside Signatures Silver Prizm,"411,270.75 VND",https://www.ebay.com/itm/186925455330,https://i.ebayimg.com/images/g/HJEAAOSwCFdnn9HG/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Panini Select FIFA Pitchside Signatures Red Prizm Emily Fox #PS-EF Auto,"154,452.15 VND",https://www.ebay.com/itm/365468925845,https://i.ebayimg.com/images/g/4OwAAOSwaBhn2h7B/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Select FIFA Pitchside Signatures Emily Fox #PS-EF Auto,"305,552.25 VND",https://www.ebay.com/itm/396230960170,https://i.ebayimg.com/images/g/~q8AAOSwdMZnt9nj/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 Panini Select FIFA Pitchside Signatures Red Prizm Emily Fox #PS-EF Auto,"190,551.15 VND",https://www.ebay.com/itm/256805432459,https://i.ebayimg.com/images/g/2J8AAeSwofdnorXG/s-l140.jpg,"Sold  Feb 14, 2025"
