Title,Price,Link,Image Link,Sold Date
Topps Match Attax Chrome Champions League 21/22 No. 28 Eric Dier,"33,229.13 VND",https://www.ebay.com/itm/335776314907,https://i.ebayimg.com/images/g/K14AAOSwCQxhykZa/s-l140.jpg,"Sold  Mar 16, 2025"
Topps Match Attax Champions League 24/25 No. 213 Eric Dier,"28,250.05 VND",https://www.ebay.com/itm/335506288789,https://i.ebayimg.com/images/g/o-4AAOSwIElmpiW4/s-l140.jpg,"Sold  Feb 13, 2025"
2022-23 Panini Select Premier League Eric Dier Auto Autograph Blue Pulsar Rare,"348,097.50 VND",https://www.ebay.com/itm/146421181626,https://i.ebayimg.com/images/g/r2AAAOSw1spnwoKm/s-l140.jpg,"Sold  Mar 5, 2025"
2022-23 Panini Select Premier League Eric Dier Auto Autograph Blue Pulsar Rare,"206,022.15 VND",https://www.ebay.com/itm/267172141973,https://i.ebayimg.com/images/g/SFgAAOSw0iJngfm7/s-l140.jpg,"Sold  Feb 27, 2025"
2022-23 Panini Select Premier League Autograph Auto Card : Eric Dier A2,"322,312.50 VND",https://www.ebay.com/itm/355710477372,https://i.ebayimg.com/images/g/73kAAOSwXtdmQc9g/s-l140.jpg,"Sold  Feb 16, 2025"
2022-23 Panini Select FIFA Pitchside Autograph Auto Card : Eric Dier,"373,882.50 VND",https://www.ebay.com/itm/354880046020,https://i.ebayimg.com/images/g/We0AAOSwGpBknQEc/s-l140.jpg,"Sold  Feb 14, 2025"
Panini Select Premier League 2022 23 Autograph Auto Eric Dier Tottenham Bayern B,"409,625.67 VND",https://www.ebay.com/itm/387792742849,https://i.ebayimg.com/images/g/j7AAAOSwWANneWKC/s-l140.jpg,"Sold  Jan 11, 2025"
Panini Select Premier League 2022 23 Autograph Auto Eric Dier Tottenham Bayern,"240,125.39 VND",https://www.ebay.com/itm/387792731700,https://i.ebayimg.com/images/g/pHoAAOSwWwJnbdCc/s-l140.jpg,"Sold  Jan 11, 2025"
2021 Panini Mosaic UEFA Euro Soccer Eric Dier Pitch Masters Gold 05/10 #26 RARE,"928,260.00 VND",https://www.ebay.com/itm/305704473647,https://i.ebayimg.com/images/g/XJMAAOSw5Almq0uA/s-l140.jpg,"Sold  Jan 4, 2025"
2022-23 Panini Select Premier League Eric Dier Signatures #S-ED,"154,452.15 VND",https://www.ebay.com/itm/396220281153,https://i.ebayimg.com/images/g/ZEkAAOSwRNtns1Go/s-l140.jpg,"Sold  Mar 17, 2025"
2019 Panini Prizm Premier League White Sparkle /15 Eric Dier #195 PSA 10 GEM MT,"1,956,307.95 VND",https://www.ebay.com/itm/256870559419,https://i.ebayimg.com/images/g/9nIAAeSwigtn4uHz/s-l140.jpg,"Sold  Mar 28, 2025"
2022-23 Panini Select La Liga ERIC DIER #PS-ED Pitchside Signatures Silver Auto,"96,693.75 VND",https://www.ebay.com/itm/176922655757,https://i.ebayimg.com/images/g/l9UAAOSwYzxn1GYx/s-l140.jpg,"Sold  Mar 24, 2025"
Panini World Cup Adrenalyn XL (2018) Eric Dier England No. 110,"33,229.13 VND",https://www.ebay.com/itm/205190952575,https://i.ebayimg.com/images/g/XYoAAOSwv1tnb9-B/s-l140.jpg,"Sold  Mar 21, 2025"
Champions League 18/19 - Card 190 - Eric Dier,"28,250.05 VND",https://www.ebay.com/itm/292798892554,https://i.ebayimg.com/images/g/ihAAAOSwatBb2zh9/s-l140.jpg,"Sold  Mar 18, 2025"
