Title,Price,Link,Image Link,Sold Date
2024 TOPPS CHROME UEFA EURO 1960 TOPPS CHROME #TC6 KENAN YILDIZ PSA 10,"244,957.50 VND",https://www.ebay.com/itm/297146894601,https://i.ebayimg.com/images/g/KtAAAeSwVcVn4kFV/s-l500.jpg,"Sold  Apr 6, 2025"
2024 Chrome UEFA Euro 1960 Topps /99 Vladimir Coufal #60A-VC Auto,"251,145.90 VND",https://www.ebay.com/itm/335828815584,https://i.ebayimg.com/images/g/LoEAAeSwxQtnu-mM/s-l140.jpg,"Sold  Mar 30, 2025"
2024 TOPPS CHROME UEFA EURO 1960 TOPPS CHROME #TC19 ILKAY GUNDOGAN 4/10 PSA 9,"670,410.00 VND",https://www.ebay.com/itm/297111322072,https://i.ebayimg.com/images/g/dZwAAeSw4Qhn01e3/s-l140.jpg,"Sold  Mar 26, 2025"
2024 Topps Chrome UEFA Euro 1960 Portugal Blue /150 Pauleta #TC-25,"128,925.00 VND",https://www.ebay.com/itm/306060846436,https://i.ebayimg.com/images/g/p74AAOSwyJZnkws9/s-l140.jpg,"Sold  Mar 25, 2025"
2024 Topps Chrome UEFA Euro 1960 Topps Chrome Gold Refractor 10/50 Jasmin Kurtic,"32,231.25 VND",https://www.ebay.com/itm/235998239451,https://i.ebayimg.com/images/g/B8IAAeSwx0Fnzz6E/s-l140.jpg,"Sold  Mar 20, 2025"
2024 TOPPS CHROME UEFA EURO 1960 TOPPS CHROME #TC6 KENAN YILDIZ 4/25 PSA 9,"696,195.00 VND",https://www.ebay.com/itm/297079328687,https://i.ebayimg.com/images/g/wLYAAeSwf6lnxgO4/s-l140.jpg,"Sold  Mar 17, 2025"
2024 TOPPS CHROME UEFA EURO 1960 TOPPS CHROME #TC11 MILOS KERKEZ 3/10 PSA 9,"1,186,110.00 VND",https://www.ebay.com/itm/297087079574,https://i.ebayimg.com/images/g/0VYAAeSw7odnyUut/s-l140.jpg,"Sold  Mar 16, 2025"
2024 TOPPS CHROME UEFA EURO 1960 TOPPS CHROME #TC11 MILOS KERKEZ 20/25 PSA 10,"747,765.00 VND",https://www.ebay.com/itm/306165169351,https://i.ebayimg.com/images/g/bQoAAeSwUsdny5wg/s-l140.jpg,"Sold  Mar 16, 2025"
2024 Topps Chrome UEFA EURO 1960 Red Refractors #TC-17 Andriy Yarmolenko 5/5,"928,260.00 VND",https://www.ebay.com/itm/297029327777,https://i.ebayimg.com/images/g/Z1EAAeSwdDBns7GH/s-l140.jpg,"Sold  Feb 24, 2025"
2024 Topps Chrome UEFA Euro 1960 Throwback National Debut Rodrigo Riquelme Spain,"50,280.75 VND",https://www.ebay.com/itm/387715452354,https://i.ebayimg.com/images/g/diUAAOSw2E9nQdvm/s-l140.jpg,"Sold  Feb 21, 2025"
VLADIMIR COUFAL 2024 TOPPS CHROME UEFA EURO 1960 ORANGE #TC-14 /25 Q0236,"25,785.00 VND",https://www.ebay.com/itm/276838290760,https://i.ebayimg.com/images/g/NG8AAOSwLMZnnT5j/s-l140.jpg,"Sold  Feb 10, 2025"
2024 Chrome UEFA Euro 1960 Topps Blue Refractor /150 Pep Guardiola #TC-23,"162,187.65 VND",https://www.ebay.com/itm/335749099279,https://i.ebayimg.com/images/g/YOoAAOSwNi5ncGLz/s-l140.jpg,"Sold  Feb 8, 2025"
2024 Topps Chrome UEFA Euro 1960 Topps Gold Refractor 44/50 Declan Rice #TC-18,"106,492.05 VND",https://www.ebay.com/itm/256797923053,https://i.ebayimg.com/images/g/kpYAAeSwYDVnmXcW/s-l140.jpg,"Sold  Feb 7, 2025"
2024 Topps Chrome Lois Openda UEFA Euro 1960 #TC-18 Gold /50,"97,983.00 VND",https://www.ebay.com/itm/396153790576,https://i.ebayimg.com/images/g/k0cAAOSwx01nlqor/s-l140.jpg,"Sold  Feb 5, 2025"
