Title,Price,Link,Image Link,Sold Date
2024-25 Panini Donruss FIFA Fabio Cannavaro Red Prizm Signature Series Auto /49,"721,980.00 VND",https://www.ebay.com/itm/365497655880,https://i.ebayimg.com/images/g/vfQAAOSwGdtn61zL/s-l140.jpg,"Sold  Apr 5, 2025"
2024-25 Donruss FIFA Fabio Cannavaro Pink Velocity Prizm Signature Series Auto,"670,410.00 VND",https://www.ebay.com/itm/365497642793,https://i.ebayimg.com/images/g/EpIAAOSwuTpn61p0/s-l140.jpg,"Sold  Apr 5, 2025"
2024-25 Donruss FIFA Fabio Cannavaro Dragon Scale Signature Series Auto /75,"954,045.00 VND",https://www.ebay.com/itm/365488333266,https://i.ebayimg.com/images/g/vGkAAOSwoEhn5hgR/s-l140.jpg,"Sold  Apr 1, 2025"
2024-25 Panini Donruss FIFA Fabio Cannavaro Red Prizm Signature Series Auto /49,"1,057,185.00 VND",https://www.ebay.com/itm/365471246032,https://i.ebayimg.com/images/g/yNUAAOSw1Lln25Ik/s-l140.jpg,"Sold  Mar 26, 2025"
2024-25 Panini Donruss FIFA Fabio Cannavaro Red Prizm Signature Series Auto /49,"1,572,885.00 VND",https://www.ebay.com/itm/365433831325,https://i.ebayimg.com/images/g/h-oAAOSwHg5nw8~p/s-l140.jpg,"Sold  Mar 6, 2025"
2024-25 Panini Donruss FIFA Fabio Cannavaro Signature Series Auto Italy #SS-FCA,"696,195.00 VND",https://www.ebay.com/itm/365437940592,https://i.ebayimg.com/images/g/98wAAOSwAeVnxmUk/s-l140.jpg,"Sold  Mar 6, 2025"
2024-25 Panini Donruss FIFA Fabio Cannavaro Signature Series Auto Italy #SS-FCA,"670,152.15 VND",https://www.ebay.com/itm/356631084627,https://i.ebayimg.com/images/g/z74AAeSwYxtnxfpp/s-l140.jpg,"Sold  Mar 3, 2025"
2024-25 Panini Donruss FIFA Fabio Cannavaro Signature Series Auto Italy #SS-FCA,"670,410.00 VND",https://www.ebay.com/itm/365429727552,https://i.ebayimg.com/images/g/ntkAAOSwlLNnwSdi/s-l140.jpg,"Sold  Mar 2, 2025"
2024-25 Donruss Fabio Cannavaro Optic Blue Prizm Signature Series Auto #/99,"988,760.00 VND",https://www.ebay.com/itm/376129261726,https://i.ebayimg.com/images/g/BCcAAeSwgRtn7u8W/s-l500.jpg,"Sold  Apr 8, 2025"
2024-25 Panini Donruss Fabio Cannavaro Signature Series Blue Auto /99 ,"1,431,100.00 VND",https://www.ebay.com/itm/356685013288,https://i.ebayimg.com/images/g/xgUAAeSw2wpn2iWT/s-l140.jpg,"Sold  Mar 23, 2025"
2024-25 Donruss FIFA Fabio Cannavaro Blue Signature Series Auto Color Match /99,"716,823.00 VND",https://www.ebay.com/itm/365497639102,https://i.ebayimg.com/images/g/GXEAAOSw6pxn61mr/s-l140.jpg,"Sold  Apr 5, 2025"
2024-25 Donruss FIFA Fabio Cannavaro Blue Signature Series Auto Color Match /99,"1,186,110.00 VND",https://www.ebay.com/itm/365473035615,https://i.ebayimg.com/images/g/4bwAAOSwcGNn3NpA/s-l140.jpg,"Sold  Mar 25, 2025"
2024-25 Donruss FIFA Fabio Cannavaro Blue Signature Series Auto Color Match /99,"979,830.00 VND",https://www.ebay.com/itm/365440146324,https://i.ebayimg.com/images/g/yAMAAOSwR5tnx8N4/s-l140.jpg,"Sold  Mar 9, 2025"
2022 National Treasures World Cup Fabio Cannavaro Auto /49,"1,160,325.00 VND",https://www.ebay.com/itm/388177929928,https://i.ebayimg.com/images/g/jYEAAOSwatZn6uIZ/s-l140.jpg,"Sold  Apr 5, 2025"
2022 National Treasures Italy Fabio Cannavaro legend Auto 1/1,"12,983,980.00 VND",https://www.ebay.com/itm/205363643191,https://i.ebayimg.com/images/g/0D4AAOSwOEln2rDH/s-l140.jpg,"Sold  Mar 20, 2025"
