Title,Price,Link,Image Link,Sold Date
2024-25 Donruss FIFA The Beautiful Game Auto Facundo Pellistri Pink Velocity,"128,925.00 VND",https://www.ebay.com/itm/205377602599,https://i.ebayimg.com/images/g/K74AAeSwC3xn4xS7/s-l140.jpg,"Sold  Apr 1, 2025"
2024-25 Donruss FIFA The Beautiful Game Auto Facundo Pellistri Pink Velocity🔥,"128,667.15 VND",https://www.ebay.com/itm/286387979077,https://i.ebayimg.com/images/g/3JEAAOSw-hJnygVT/s-l140.jpg,"Sold  Mar 11, 2025"
2024-25 Donruss Soccer The Beautiful Game Auto Facundo Pellistri Pink Velocity,"644,367.15 VND",https://www.ebay.com/itm/376021211535,https://i.ebayimg.com/images/g/WUoAAeSwquBnvObH/s-l140.jpg,"Sold  Feb 24, 2025"
2024-25 Panini Donruss FIFA FACUNDO PELLISTRI 05/49 Teal Mojo Prizm Uruguay #35,"25,527.15 VND",https://www.ebay.com/itm/306169448598,https://i.ebayimg.com/images/g/mm8AAOSwEjBnzkd4/s-l140.jpg,"Sold  Mar 18, 2025"
2024-25 Panini Donruss FIFA FACUNDO PELLISTRI 07/10 Gold Prizm Optic Uruguay #35,"438,345.00 VND",https://www.ebay.com/itm/306169447010,https://i.ebayimg.com/images/g/qdIAAOSwLDtnzkcx/s-l140.jpg,"Sold  Mar 18, 2025"
2024-25 Panini Donruss FIFA FACUNDO PELLISTRI 05/49 Teal Mojo Prizm Uruguay #35,"25,759.80 VND",https://www.ebay.com/itm/306209634892,https://i.ebayimg.com/images/g/mm8AAOSwEjBnzkd4/s-l140.jpg,"Sold  Apr 7, 2025"
Facundo Pellistri 2023-24 Panini Select La Liga Field Level Winter Camo 51/99,"25,785.00 VND",https://www.ebay.com/itm/376037487979,https://i.ebayimg.com/images/g/9WYAAOSwuEVnxTiM/s-l140.jpg,"Sold  Mar 7, 2025"
Facundo Pellistri 2023-24 Panini Select La Liga Field Level Winter Camo 62/99,"45,123.75 VND",https://www.ebay.com/itm/376037477725,https://i.ebayimg.com/images/g/7c8AAOSwUZhnxTbt/s-l140.jpg,"Sold  Mar 7, 2025"
2024-25 Donruss Soccer Facundo Pellistri Beautiful Game Blue 19/99 Auto,"257,850.00 VND",https://www.ebay.com/itm/356613511704,https://i.ebayimg.com/images/g/rDUAAOSwCqhnvAY0/s-l140.jpg,"Sold  Mar 3, 2025"
2024-25 Donruss Soccer Facundo Pellistri Beautiful Game Blue /99 Auto,"451,237.50 VND",https://www.ebay.com/itm/135537181534,https://i.ebayimg.com/images/g/AnYAAOSwiv5npQoT/s-l140.jpg,"Sold  Feb 13, 2025"
2024-25 Donruss Soccer Facundo Pellistri Beautiful Game Blue /99 Auto,"451,237.50 VND",https://www.ebay.com/itm/286299913186,https://i.ebayimg.com/images/g/J0IAAOSwWtdnoUpf/s-l140.jpg,"Sold  Feb 6, 2025"
2024-25 Donruss Soccer Facundo Pellistri #BG-FP Beautiful Game Auto Uruguay,"207,569.25 VND",https://www.ebay.com/itm/286299917787,https://i.ebayimg.com/images/g/Io8AAOSwL9hnoUr0/s-l140.jpg,"Sold  Feb 6, 2025"
2024-25 Donruss Soccer Facundo Pellistri #BG-FP Beautiful Game Red Auto Uruguay,"644,367.15 VND",https://www.ebay.com/itm/135532283702,https://i.ebayimg.com/images/g/wBwAAOSwfp9noR41/s-l140.jpg,"Sold  Feb 3, 2025"
2024-25 Donruss Soccer Facundo Pellistri #BG-FP Beautiful Game Auto Uruguay,"515,700.00 VND",https://www.ebay.com/itm/226572225583,https://i.ebayimg.com/images/g/6A4AAOSwm8Jnmr3c/s-l140.jpg,"Sold  Jan 30, 2025"
2024-25 Donruss Facundo Pellistri Beautiful Game Auto Blue #61/99 Rare SP #W,"221,430.20 VND",https://www.ebay.com/itm/187088353690,https://i.ebayimg.com/images/g/lXUAAeSwOTdn5ttG/s-l140.jpg,"Sold  Apr 2, 2025"
2024-25 Donruss Facundo Pellistri Beautiful Game Auto Blue #3/99,"143,110.00 VND",https://www.ebay.com/itm/376029233678,https://i.ebayimg.com/images/g/ru4AAeSwAdtnwNTY/s-l140.jpg,"Sold  Mar 4, 2025"
