Title,Price,Link,Image Link,Sold Date
FC BARCELONA SOCCER HAT CAP FCB OFFICIAL ADJUSTABLE licensed product ,"386,517.15 VND",https://www.ebay.com/itm/321680045102,https://i.ebayimg.com/images/g/3Y4AAOSwuxFYwbwg/s-l140.jpg,"Sold  Apr 4, 2025"
FC BARCELONA SOCCER HAT CAP FCB OFFICIAL ADJUSTABLE licensed product ,"257,850.00 VND",https://www.ebay.com/itm/356567544054,https://i.ebayimg.com/images/g/fI0AAeSwI3RnrgWu/s-l140.jpg,"Sold  Mar 13, 2025"
FC Barcelona Barca wrestler mask mascara luchador Mexico Futbol Soccer wrestling,"773,292.15 VND",https://www.ebay.com/itm/187006565557,https://i.ebayimg.com/images/g/a~8AAOSw-FVnT85q/s-l140.jpg,"Sold  Mar 30, 2025"
FC Barcelona Barca wrestler mask mascara luchador Mexico Futbol Soccer wrestling,"773,292.15 VND",https://www.ebay.com/itm/186976679092,https://i.ebayimg.com/images/g/a~8AAOSw-FVnT85q/s-l140.jpg,"Sold  Mar 1, 2025"
FC Barcelona Barca wrestler mask mascara luchador Mexico Futbol Soccer wrestling,"773,292.15 VND",https://www.ebay.com/itm/186851749085,https://i.ebayimg.com/images/g/a~8AAOSw-FVnT85q/s-l140.jpg,"Sold  Feb 18, 2025"
Spanish La Liga 2023-24 Champion Patch (FC Barcelona),"254,755.80 VND",https://www.ebay.com/itm/146137047683,https://i.ebayimg.com/images/g/M2AAAOSweF5nH73i/s-l140.jpg,"Sold  Mar 25, 2025"
Spanish La Liga 2022-23&2023-24 Champion Patch (FC Barcelona),"228,970.80 VND to 486,820.80 VND",https://www.ebay.com/itm/145258142923,https://i.ebayimg.com/images/g/IGUAAOSwYa5mdMzR/s-l140.jpg,"Sold  Mar 10, 2025"
Spanish La Liga 2022-23 & 2023-24 Champion Patch FC Barcelona,"257,592.15 VND to 386,517.15 VND",https://www.ebay.com/itm/387211533476,https://i.ebayimg.com/images/g/w8sAAOSwzklmmBIQ/s-l140.jpg,"Sold  Feb 27, 2025"
Nike FC Barcelona Mens Reversible Hooded Soccer Puffer Blue/Red Jacket Large,"1,031,400.00 VND",https://www.ebay.com/itm/197146540090,https://i.ebayimg.com/images/g/Ro0AAOSwjphndDmS/s-l140.jpg,"Sold  Mar 25, 2025"
Nike FC Barcelona Mens Reversible Hooded Soccer Puffer Blue/Red Jacket Large,"804,492.00 VND",https://www.ebay.com/itm/196921830481,https://i.ebayimg.com/images/g/Ro0AAOSwjphndDmS/s-l140.jpg,"Sold  Mar 25, 2025"
Fc Barcelona Coutinho 3rd Kit 2017-18 Authentic Soccer Name set,"1,031,400.00 VND",https://www.ebay.com/itm/394906302655,https://i.ebayimg.com/images/g/LGoAAOSwtOdjh-9a/s-l140.jpg,"Sold  Mar 12, 2025"
Fc Barcelona 3rd Kit Neymar Jr 11 2014-15 Authentic Soccer Name set,"1,031,400.00 VND",https://www.ebay.com/itm/394906302657,https://i.ebayimg.com/images/g/f1QAAOSwzw5jh7Pc/s-l140.jpg,"Sold  Mar 11, 2025"
FC Barcelona Men's Pullover Hoodie Sweater Size M Soccer FCB Barca Tri Color,"747,507.15 VND",https://www.ebay.com/itm/267172330951,https://i.ebayimg.com/images/g/kmwAAOSwSIRnv-ms/s-l140.jpg,"Sold  Mar 12, 2025"
FC Barcelona Men's Pullover Hoodie Sweater Size M Soccer FCB Barca ,"489,657.15 VND",https://www.ebay.com/itm/396127413978,https://i.ebayimg.com/images/g/dqIAAOSwQQlnEsqb/s-l140.jpg,"Sold  Feb 4, 2025"
Nike Soccer Jersy Womens Small Red Blue FC Barcelona FCB 2016 Dri Fit Swoosh Sz ,"773,292.15 VND",https://www.ebay.com/itm/306138274022,https://i.ebayimg.com/images/g/2KgAAeSwuLdnvVHP/s-l140.jpg,"Sold  Mar 10, 2025"
Nike Soccer Jersy Womens Small Red Blue FC Barcelona FCB 2016 Dri Fit Swoosh,"609,557.40 VND",https://www.ebay.com/itm/156635633137,https://i.ebayimg.com/images/g/UfUAAOSw-mBnhdPc/s-l140.jpg,"Sold  Mar 9, 2025"
