Title,Price,Link,Image Link,Sold Date
2023-24 Topps Chrome Merlin UEFA Fernando Muslera Pink Mojo Refractor #22/275,"38,677.50 VND",https://www.ebay.com/itm/375900808778,https://i.ebayimg.com/images/g/w5cAAOSwDM9ndvmO/s-l140.jpg,"Sold  Jan 7, 2025"
2024 Topps Chrome Merlin #66 Fernando Muslera Green Mojo Refractor 61/99 -,"258,118.40 VND",https://www.ebay.com/itm/267125660076,https://i.ebayimg.com/images/g/~m8AAOSwX-Bnh5HP/s-l140.jpg,"Sold  Jan 16, 2025"
2015-16 Panini Select Pink Prizm 20/20 Fernando Muslera #52,"247,190.00 VND",https://www.ebay.com/itm/256851707647,https://i.ebayimg.com/images/g/uIYAAeSwC9tnzzil/s-l140.jpg,"Sold  Mar 20, 2025"
2015-16 Panini Select Tie-Dye Prizm 6/30 Fernando Muslera #52,"260,200.00 VND",https://www.ebay.com/itm/236000069042,https://i.ebayimg.com/images/g/v-kAAeSwd8Zn0LvW/s-l140.jpg,"Sold  Mar 19, 2025"
2019-20 Panini Obsidian Electric Etch Purple #14 - Fernando Muslera /65,"142,161.60 VND",https://www.ebay.com/itm/256808184386,https://i.ebayimg.com/images/g/dEQAAOSwav1npaoB/s-l140.jpg,"Sold  Feb 17, 2025"
2019-20 Panini Obsidian Electric Etch Purple /65 Fernando Muslera #14,"201,134.60 VND",https://www.ebay.com/itm/235975195363,https://i.ebayimg.com/images/g/ESEAAeSw7Fpn6f9C/s-l140.jpg,"Sold  Mar 8, 2025"
2016-17 Panini Aficionado Fernando Muslera Artist‘s Proof Purple 22/99 Uruguay,"54,902.20 VND",https://www.ebay.com/itm/365424201538,https://i.ebayimg.com/images/g/ak0AAOSwptxnvoJv/s-l140.jpg,"Sold  Mar 2, 2025"
2016-17 Panini Aficionado Fernando Muslera Artist‘s Proof Purple 22/99 Uruguay,"66,090.80 VND",https://www.ebay.com/itm/365391029127,https://i.ebayimg.com/images/g/~y8AAOSwvKhnqq3f/s-l140.jpg,"Sold  Feb 15, 2025"
2023-24 Merlin UEFA Competitions Gold Atomic Refractors #66 Fernando Muslera /50,"154,710.00 VND",https://www.ebay.com/itm/167386677001,https://i.ebayimg.com/images/g/aqUAAeSwWeVn49Ua/s-l140.jpg,"Sold  Mar 31, 2025"
2022 Panini FIFA World Cup Qatar Sticker Fernando Muslera #URU 3 Purple Parallel,"515,442.15 VND",https://www.ebay.com/itm/226580677815,https://i.ebayimg.com/images/g/QFUAAOSwgAtnoVaZ/s-l140.jpg,"Sold  Feb 20, 2025"
2021-22 Panini Score FIFA Gold Lava 4/10 Fernando Muslera #25,"167,602.50 VND",https://www.ebay.com/itm/256793840223,https://i.ebayimg.com/images/g/--gAAOSw83lnlB1F/s-l140.jpg,"Sold  Feb 2, 2025"
2022 Panini Mosaic World Cup Fernando Muslera Pink Fluorescent /10 Uruguay,"309,420.00 VND",https://www.ebay.com/itm/265990384135,https://i.ebayimg.com/images/g/xcMAAOSwsuJjcwaQ/s-l140.jpg,"Sold  Jan 15, 2025"
2010 Panini Adrenalyn XL FIFA World Cup Goal Stopper Fernando Muslera,"51,312.15 VND",https://www.ebay.com/itm/256850345264,https://i.ebayimg.com/images/g/ceoAAOSwEzdnvHAg/s-l140.jpg,"Sold  Mar 16, 2025"
Panini FIFA World Cup Qatar 2022 # 27 Legend Fernando Muslera Uruguay,"42,375.07 VND",https://www.ebay.com/itm/395698790998,https://i.ebayimg.com/images/g/i0cAAOSwePBm6q4W/s-l140.jpg,"Sold  Mar 16, 2025"
2023-24 Topps Merlin UEFA FERNANDO MUSLERA 65/150 Speckle Refractor #66,"25,527.15 VND",https://www.ebay.com/itm/306113537771,https://i.ebayimg.com/images/g/350AAOSwkLlnrvIb/s-l140.jpg,"Sold  Feb 22, 2025"
2021-22 Panini Mosaic World Cup Fernando Muslera Blue 67/99 Galatasaray Uruguay,"25,785.00 VND",https://www.ebay.com/itm/365382955086,https://i.ebayimg.com/images/g/BzUAAOSw2yFnpXTz/s-l140.jpg,"Sold  Feb 16, 2025"
Fernando MUSLERA - PURPLE Platinum Qatar World Cup 2022 Adrenalyn XL Panini /499,"85,315.14 VND",https://www.ebay.com/itm/286290325343,https://i.ebayimg.com/images/g/96cAAOSwfu5nmkB0/s-l140.jpg,"Sold  Feb 5, 2025"
2019 Topps Champions League 19 20 GAL2 Fernando Muslera,"28,250.05 VND",https://www.ebay.com/itm/293308305680,https://i.ebayimg.com/images/g/Ho4AAOSw3dReaM12/s-l140.jpg,"Sold  Jan 27, 2025"
Topps Match Attax Champions League Card No. 362 Fernando Muslera,"28,250.05 VND",https://www.ebay.com/itm/316147504802,https://i.ebayimg.com/images/g/AGwAAOSwK05njq2J/s-l140.jpg,"Sold  Jan 24, 2025"
2015-16 PANINI SELECT SOCCER RED PRIZM VARIATION FERNANDO MUSLERA /199,"26,020.00 VND",https://www.ebay.com/itm/235906965913,https://i.ebayimg.com/images/g/Ix0AAOSw3~hnf~wC/s-l140.jpg,"Sold  Apr 7, 2025"
2024 Topps Chrome Merlin FERNANDO MUSLERA   #66 Gold Refractor 31/50,"650,500.00 VND",https://www.ebay.com/itm/335792049028,https://i.ebayimg.com/images/g/i8EAAOSwCuVnnS7~/s-l140.jpg,"Sold  Mar 29, 2025"
2015 Select Tie-Dye Prizm 14/30 Fernando Muslera (Ball Back Photo Variation) #52,"244,327.80 VND",https://www.ebay.com/itm/256851673423,https://i.ebayimg.com/images/g/KeUAAeSwylBnzy2W/s-l140.jpg,"Sold  Mar 19, 2025"
2016 Select Fernando Muslera Signatures Orange Auto #58/75,"209,461.00 VND",https://www.ebay.com/itm/376063636207,https://i.ebayimg.com/images/g/LNQAAeSwrexn0dhx/s-l140.jpg,"Sold  Mar 17, 2025"
2015/2016 Match Attax Champions League # 379 - Fernando Muslera - Galatasaray SK,"32,020.21 VND",https://www.ebay.com/itm/364663517292,https://i.ebayimg.com/images/g/vQ0AAOSwQ-llmHua/s-l140.jpg,"Sold  Mar 13, 2025"
