Title,Price,Link,Image Link,Sold Date
"Panini Mosaic UEFA Euro 2020 Blue Prizm /99 Francisco Trincao #156, Portugal","103,140.00 VND",https://www.ebay.com/itm/256867094016,https://i.ebayimg.com/images/g/iZgAAeSwq3Zn3xZ5/s-l140.jpg,"Sold  Apr 2, 2025"
2021 Panini Mosaic UEFA Euro 2020 Pink Prizm /25 Francisco Trincao #156,"547,673.40 VND",https://www.ebay.com/itm/235960435091,https://i.ebayimg.com/images/g/v3QAAeSwtZtnsTvG/s-l140.jpg,"Sold  Mar 25, 2025"
2021 Panini Mosaic UEFA Euro 2020 Genesis Prizm Francisco Trincao #156,"243,668.25 VND",https://www.ebay.com/itm/256850295775,https://i.ebayimg.com/images/g/q9cAAeSwq3ZnzeJ-/s-l140.jpg,"Sold  Mar 25, 2025"
2021 Panini Mosaic UEFA Euro 2020 Green Prizm Francisco Trincao #156,"33,262.65 VND",https://www.ebay.com/itm/335654706290,https://i.ebayimg.com/images/g/SNsAAOSw8H1nKLiM/s-l140.jpg,"Sold  Jan 27, 2025"
2021 Panini Mosaic UEFA Euro 2020 Genesis Prizm Francisco Trincao HGA 9 MINT,"688,201.65 VND",https://www.ebay.com/itm/235946826967,https://i.ebayimg.com/images/g/rSIAAeSwVJtnpS~f/s-l140.jpg,"Sold  Mar 25, 2025"
2021 Panini Mosaic UEFA Euro 2020 Purple Circles Prizm /49 Francisco Trincao,"191,840.40 VND",https://www.ebay.com/itm/256753079441,https://i.ebayimg.com/images/g/obQAAOSw-fZnYHxW/s-l140.jpg,"Sold  Jan 27, 2025"
2022-23 Panini Donruss Elite FIFA Francisco Trincao #187,"36,099.00 VND",https://www.ebay.com/itm/335753430468,https://i.ebayimg.com/images/g/6bcAAOSwN09ndWBF/s-l140.jpg,"Sold  Feb 8, 2025"
2022-23 Panini Donruss Elite FIFA Retail Orange /30 Francisco Trincao #187,"302,715.90 VND",https://www.ebay.com/itm/235905012287,https://i.ebayimg.com/images/g/gcwAAOSwexlnfihg/s-l140.jpg,"Sold  Feb 8, 2025"
2020 Topps Finest UEFA UCL Francisco Trincao Auto #FA-FTR,"109,586.25 VND",https://www.ebay.com/itm/375929874640,https://i.ebayimg.com/images/g/ps0AAOSwF4Rnit7S/s-l140.jpg,"Sold  Jan 22, 2025"
2020 Topps Finest UEFA Champions League Francisco Trincao Auto RC #FA-FTR,"328,758.75 VND",https://www.ebay.com/itm/126885166906,https://i.ebayimg.com/images/g/NngAAOSwC21niEMA/s-l140.jpg,"Sold  Jan 20, 2025"
2020-21 Chrome Sapphire UEFA #4 Francisco Trincao Barcelona Aqua 002/150,"128,925.00 VND",https://www.ebay.com/itm/186529430603,https://i.ebayimg.com/images/g/RFMAAOSwM3Rmgei7/s-l140.jpg,"Sold  Apr 2, 2025"
2023 Upper Deck Goodwin Champions Soccer Francisco Trincao AUTO HA-FT,"83,543.40 VND",https://www.ebay.com/itm/256454305903,https://i.ebayimg.com/images/g/TlIAAOSwMZJl~Ml1/s-l140.jpg,"Sold  Mar 29, 2025"
2020-21 Panini Mosaic La Liga Peacock Francisco Trincao #56 Rookie RC SGC 9.5,"863,539.65 VND",https://www.ebay.com/itm/256573890385,https://i.ebayimg.com/images/g/4asAAOSwzH5mlckK/s-l140.jpg,"Sold  Mar 25, 2025"
2020 Chronicles Optic Rated Rookie La Liga Blue /49 Francisco Trincao Rookie RC,"332,291.30 VND",https://www.ebay.com/itm/386823926468,https://i.ebayimg.com/images/g/vUUAAOSwpPFl0jjp/s-l140.jpg,"Sold  Mar 25, 2025"
2020 Topps Merlin Chrome UEFA Champions League Francisco Trincao /25 SGC 9.5,"593,055.00 VND",https://www.ebay.com/itm/356346745208,https://i.ebayimg.com/images/g/BfUAAOSwTHNnUtUO/s-l140.jpg,"Sold  Mar 25, 2025"
2020-21 Topps Finest Champions League #16 Francisco Trincao Blue /150 Card TCCCX,"25,527.15 VND",https://www.ebay.com/itm/235801466692,https://i.ebayimg.com/images/g/MssAAOSw571nGxyB/s-l140.jpg,"Sold  Mar 24, 2025"
Francisco Trincao 2020-21 Topps Chrome UEFA #4 Pink Refractors 089/175 Rookie,"90,670.93 VND",https://www.ebay.com/itm/135219120220,https://i.ebayimg.com/images/g/K7cAAOSw9qFmsCgB/s-l140.jpg,"Sold  Mar 24, 2025"
Francisco Trincao 2020-21 Topps Finest UEFA RC Auto,"463,872.15 VND",https://www.ebay.com/itm/256730245938,https://i.ebayimg.com/images/g/3cIAAOSwdo5nRwS8/s-l140.jpg,"Sold  Mar 23, 2025"
2020 Mosaic La Liga Genesis Prizm Francisco Trincao #56 PSA 9 MINT Rookie RC,"399,667.50 VND",https://www.ebay.com/itm/335858939531,https://i.ebayimg.com/images/g/R6QAAeSw25Vn0hj1/s-l140.jpg,"Sold  Mar 22, 2025"
2021 Panini Mosaic UEFA Euro 2020 - Stained Glass #28 Francisco Trincao,"799,335.00 VND",https://www.ebay.com/itm/156738819908,https://i.ebayimg.com/images/g/tDkAAOSwSxBno4Yi/s-l140.jpg,"Sold  Mar 5, 2025"
2020 Topps Finest UEFA Francisco Trincao Auto Blue Refractor #147/150,"193,387.50 VND",https://www.ebay.com/itm/376005568603,https://i.ebayimg.com/images/g/mwIAAeSwddpntKc-/s-l140.jpg,"Sold  Feb 23, 2025"
2021 Topps Chrome Champions League Green Refractor Francisco Trincao Rookie,"25,527.15 VND",https://www.ebay.com/itm/405536247468,https://i.ebayimg.com/images/g/gIsAAeSwaPpnqlDq/s-l140.jpg,"Sold  Feb 20, 2025"
2021 Panini Mosaic UEFA Euro 2020 Purple Fluorescent Prizm /70 Francisco Trincao,"176,885.10 VND",https://www.ebay.com/itm/335734763129,https://i.ebayimg.com/images/g/Uf8AAOSwAMBnYeqf/s-l140.jpg,"Sold  Jan 27, 2025"
FRANCISCO TRINCAO 2020 TOPPS MUSEUM UEFA ROOKIE SAPPHIRE #38 RC /75 Q2450,"58,016.25 VND",https://www.ebay.com/itm/276825228219,https://i.ebayimg.com/images/g/6rkAAOSw1QdnkAQv/s-l140.jpg,"Sold  Jan 28, 2025"
2024 The Kings Of Soccer 3R Card #C21 FRANCISCO TRINCAO SPORTING 3D Lenticular,"386,517.15 VND",https://www.ebay.com/itm/405434913271,https://i.ebayimg.com/images/g/0GUAAOSwfdVnaC51/s-l140.jpg,"Sold  Jan 26, 2025"
2022-23 Topps Finest Flashbacks UEFA Gold Refractor 5/50 Francisco Trincao #90,"26,816.40 VND",https://www.ebay.com/itm/335770740473,https://i.ebayimg.com/images/g/5YgAAOSwxUNnhs~r/s-l140.jpg,"Sold  Jan 23, 2025"
2020 Topps Finest UEFA Champions League Francisco Trincao Refractor #16,"25,527.15 VND",https://www.ebay.com/itm/375927970953,https://i.ebayimg.com/images/g/SusAAOSwcpVniYDv/s-l140.jpg,"Sold  Jan 21, 2025"
2020-21 Topps Chrome UEFA Champions Gold Refractor Francisco Trincao # /50 SP,"25,527.15 VND",https://www.ebay.com/itm/146321458130,https://i.ebayimg.com/images/g/6z0AAOSwQIZiAVRn/s-l140.jpg,"Sold  Jan 15, 2025"
