Title,Price,Link,Image Link,Sold Date
2016 Topps Match Attax English Premier League Top Goals/Apps Frank Lampard,"51,312.15 VND",https://www.ebay.com/itm/267123210614,https://i.ebayimg.com/images/g/GToAAOSw3T5nd-BS/s-l140.jpg,"Sold  Jan 19, 2025"
2010-11 Topps Match Attax English Premier League Frank Lampard #122,"36,099.00 VND",https://www.ebay.com/itm/235973350280,https://i.ebayimg.com/images/g/YawAAeSwZIdnu1qE/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 Panini Prizm Premier League Frank Lampard Manga Case Hit SP #28 PSA 10,"2,243,295.00 VND",https://www.ebay.com/itm/267187057542,https://i.ebayimg.com/images/g/Ga4AAOSwzZdn0V5v/s-l140.jpg,"Sold  Mar 19, 2025"
2023 Panini Prizm Premier League Frank Lampard Manga SSP #28,"1,057,185.00 VND",https://www.ebay.com/itm/126919776686,https://i.ebayimg.com/images/g/-B0AAeSwWqtnoTHe/s-l140.jpg,"Sold  Feb 8, 2025"
2023-24 Panini Premier League Prizm Frank Lampard Manga Chelsea PSA 10 ,"2,320,650.00 VND",https://www.ebay.com/itm/356442987973,https://i.ebayimg.com/images/g/Ek0AAOSw1-RnfJVP/s-l140.jpg,"Sold  Jan 10, 2025"
2023-24 Panini Immaculate Soccer Frank Lampard Shadowbox Signatures  1 Of 1 AUTO,"15,986,700.00 VND",https://www.ebay.com/itm/205353901919,https://i.ebayimg.com/images/g/JBoAAeSwMCZn1L8X/s-l140.jpg,"Sold  Mar 19, 2025"
2023-24 Panini Immaculate Soccer Frank Lampard Shadowbox Signatures /15 AUTO,"2,578,500.00 VND",https://www.ebay.com/itm/187029154854,https://i.ebayimg.com/images/g/q0AAAeSwBRhnzSku/s-l140.jpg,"Sold  Mar 15, 2025"
1997 MERLIN'S PREMIER LEAGUE 98 #472 FRANK LAMPARD JR. RC PSA 7,"270,742.50 VND",https://www.ebay.com/itm/267175290204,https://i.ebayimg.com/images/g/MdAAAeSwx3dnw5ph/s-l140.jpg,"Sold  Mar 8, 2025"
1997 MERLIN'S PREMIER LEAGUE 98 #472 FRANK LAMPARD JR. RC PSA 7 X3866438-123,"257,592.15 VND",https://www.ebay.com/itm/387652134966,https://i.ebayimg.com/images/g/rrQAAOSwAFBnRgR1/s-l140.jpg,"Sold  Jan 15, 2025"
1997 MERLIN'S PREMIER LEAGUE 98 #472 FRANK LAMPARD JR. RC PSA 7 X3811514-654,"231,807.15 VND",https://www.ebay.com/itm/365384017555,https://i.ebayimg.com/images/g/M-kAAeSw8eBnpio0/s-l140.jpg,"Sold  Feb 25, 2025"
1997 MERLIN'S PREMIER LEAGUE 98 #472 FRANK LAMPARD JR. RC PSA 7 X3811515-655,"257,592.15 VND",https://www.ebay.com/itm/387846692981,https://i.ebayimg.com/images/g/9fMAAOSwKdhnkA~V/s-l140.jpg,"Sold  Feb 5, 2025"
1997 MERLIN'S PREMIER LEAGUE 98 #472 FRANK LAMPARD JR. RC PSA 7 X3811581-648,"257,592.15 VND",https://www.ebay.com/itm/267127166369,https://i.ebayimg.com/images/g/rf8AAOSwpSFniZ74/s-l140.jpg,"Sold  Jan 20, 2025"
2006 Panini FIFA World Cup Germany Frank Lampard #94,"25,527.15 VND",https://www.ebay.com/itm/256816755211,https://i.ebayimg.com/images/g/zYcAAeSwOaBnrugi/s-l140.jpg,"Sold  Mar 1, 2025"
2006 Panini FIFA World Cup Germany Frank Lampard #94 PSA 10 GEM MT,"1,222,209.00 VND",https://www.ebay.com/itm/235937300716,https://i.ebayimg.com/images/g/SKgAAeSwjhBnnLlW/s-l140.jpg,"Sold  Feb 28, 2025"
2014 Panini Prizm World Cup Frank Lampard #136,"35,583.30 VND",https://www.ebay.com/itm/335745700086,https://i.ebayimg.com/images/g/mp4AAOSwe91nbHz6/s-l140.jpg,"Sold  Jan 31, 2025"
2014 Panini Prizm World Cup - Stars #13 Frank Lampard,"51,312.15 VND",https://www.ebay.com/itm/296981451711,https://i.ebayimg.com/images/g/i6QAAOSwbfVnn8I3/s-l140.jpg,"Sold  Feb 17, 2025"
➠ Topps Champions League - 30 Seasons Celebration #75 Frank Lampard - Chelsea FC,"28,250.05 VND",https://www.ebay.com/itm/388018264096,https://i.ebayimg.com/images/g/0lAAAOSw3RJnRu2y/s-l140.jpg,"Sold  Mar 8, 2025"
➠ Topps Champions League - 30 Seasons Celebration #49 Frank Lampard - Chelsea FC,"28,250.05 VND",https://www.ebay.com/itm/387950047826,https://i.ebayimg.com/images/g/5gwAAOSwD91nfmKM/s-l140.jpg,"Sold  Feb 22, 2025"
➠ Topps Champions League - 30 Seasons Celebration #75 Frank Lampard - Chelsea FC,"28,250.05 VND",https://www.ebay.com/itm/387950047203,https://i.ebayimg.com/images/g/0lAAAOSw3RJnRu2y/s-l140.jpg,"Sold  Feb 22, 2025"
➠ Topps Champions League - 30 Seasons Celebration #75 Frank Lampard - Chelsea FC,"28,250.05 VND",https://www.ebay.com/itm/387858934841,https://i.ebayimg.com/images/g/0lAAAOSw3RJnRu2y/s-l140.jpg,"Sold  Feb 1, 2025"
➠ Topps Champions League - 30 Seasons Celebration #49 Frank Lampard - Chelsea FC,"28,250.05 VND",https://www.ebay.com/itm/387858932947,https://i.ebayimg.com/images/g/5gwAAOSwD91nfmKM/s-l140.jpg,"Sold  Feb 1, 2025"
➠ Topps Champions League - 30 Seasons Celebration #75 Frank Lampard - Chelsea FC,"42,375.07 VND",https://www.ebay.com/itm/387814699120,https://i.ebayimg.com/images/g/0lAAAOSw3RJnRu2y/s-l140.jpg,"Sold  Jan 18, 2025"
➠ Topps Champions League - 30 Seasons Celebration #49 Frank Lampard - Chelsea FC,"70,625.12 VND",https://www.ebay.com/itm/387814692340,https://i.ebayimg.com/images/g/5gwAAOSwD91nfmKM/s-l140.jpg,"Sold  Jan 18, 2025"
2021 Topps Finest UEFA Flashbacks Frank Lampard Refractor Auto /75 Chelsea,"1,546,842.15 VND",https://www.ebay.com/itm/187088399218,https://i.ebayimg.com/images/g/bXAAAeSwpyRn5td1/s-l140.jpg,"Sold  Apr 1, 2025"
2021 Topps Finest UEFA Flashbacks Frank Lampard Refractor Aqua Auto /30Chelsea,"1,985,445.00 VND",https://www.ebay.com/itm/187078322575,https://i.ebayimg.com/images/g/f54AAeSwdxpn2uYF/s-l140.jpg,"Sold  Mar 30, 2025"
2021 Topps Finest UEFA Flashbacks Frank Lampard Refractor Auto /75 Chelsea,"1,546,842.15 VND",https://www.ebay.com/itm/276884823137,https://i.ebayimg.com/images/g/lGwAAOSwaONntqI6/s-l140.jpg,"Sold  Feb 19, 2025"
2021 Topps Finest Flashbacks Frank Lampard Auto Refractor /75 Chelsea England,"1,880,293.67 VND",https://www.ebay.com/itm/356596831014,https://i.ebayimg.com/images/g/cpUAAeSwRlpnuLwk/s-l140.jpg,"Sold  Mar 3, 2025"
2021 Topps Finest Flashbacks Frank Lampard Auto Refractor /75 Chelsea England,"1,261,189.40 VND",https://www.ebay.com/itm/326453230066,https://i.ebayimg.com/images/g/bVIAAOSwnfNnrVLo/s-l140.jpg,"Sold  Feb 27, 2025"
