Title,Price,Link,Image Link,Sold Date
Frank Rijkaard Ajax 2023-24 Panini Immaculate Soccer AUTO SSP Silver Ink #/99,"747,765.00 VND",https://www.ebay.com/itm/205388053604,https://i.ebayimg.com/images/g/C2IAAeSwK3Jn6F2y/s-l500.jpg,"Sold  Apr 6, 2025"
Frank Rijkaard Ajax 2023-24 Panini Immaculate Soccer AUTO SSP Silver Ink #/49,"928,260.00 VND",https://www.ebay.com/itm/205328963895,https://i.ebayimg.com/images/g/hx8AAeSwBttnw0uB/s-l140.jpg,"Sold  Mar 9, 2025"
Frank Rijkaard Ajax 2023-24 Panini Immaculate Soccer AUTO SSP Silver Ink #/99,"747,765.00 VND",https://www.ebay.com/itm/205388053604,https://i.ebayimg.com/images/g/C2IAAeSwK3Jn6F2y/s-l140.jpg,"Sold  Apr 6, 2025"
2022-23 Topps Merlin Chrome UEFA | #MM-12 | Frank Rijkaard | Merlin's Masters,"25,527.15 VND",https://www.ebay.com/itm/267205246519,https://i.ebayimg.com/images/g/lroAAOSwXfdlp0r-/s-l500.jpg,"Sold  Apr 6, 2025"
2023-24 Panini immaculate Soccer Frank Rijkaard Ajax Ink Auto /99,"1,160,325.00 VND",https://www.ebay.com/itm/167428805180,https://i.ebayimg.com/images/g/GSsAAeSwQtdn8DWQ/s-l140.jpg,"Sold  Apr 5, 2025"
Frank Rijkaard Serie A Select 23-24 Tie Dye Autograph /15,"1,727,595.00 VND",https://www.ebay.com/itm/405701508088,https://i.ebayimg.com/images/g/UIEAAeSwbupn5cK6/s-l140.jpg,"Sold  Apr 3, 2025"
2023-24 Panini Immaculate Soccer Frank Rijkaard Elegant Ink 30/99 AC Milan #EIFR,"928,260.00 VND",https://www.ebay.com/itm/176945812762,https://i.ebayimg.com/images/g/zTMAAOSwARJn33DO/s-l140.jpg,"Sold  Mar 27, 2025"
2014 Panini FIFA World Cup Soccer Frank Rijkaard AUTO,"1,624,455.00 VND",https://www.ebay.com/itm/388103896771,https://i.ebayimg.com/images/g/bY8AAOSwHcVn2I4J/s-l140.jpg,"Sold  Mar 24, 2025"
2022-2023 Topps Dynasty UEFA Frank Rijkaard 1/5 On Card Auto,"10,313,742.15 VND",https://www.ebay.com/itm/167360668406,https://i.ebayimg.com/images/g/NcYAAeSwYv5nyni1/s-l140.jpg,"Sold  Mar 7, 2025"
2023-24 Obsidian Soccer - Frank Rijkaard Auto  Lightning Strike Red Flood /10  ,"1,263,465.00 VND",https://www.ebay.com/itm/256812963099,https://i.ebayimg.com/images/g/xGMAAOSwWaJnnR7r/s-l140.jpg,"Sold  Feb 18, 2025"
2022-23 Topps Finest UEFA Club Competitions #FM-2 Frank Rijkaard Finest Moments,"38,419.65 VND",https://www.ebay.com/itm/355474373282,https://i.ebayimg.com/images/g/GKMAAOSwHBZl0kOA/s-l140.jpg,"Sold  Feb 16, 2025"
2022-23 Topps Dynasty UEFA Dual Auto 7/10 Marco Van Basten Frank Rijkaard,"16,762,828.50 VND",https://www.ebay.com/itm/235940798423,https://i.ebayimg.com/images/g/6lcAAOSwYslnjU-Q/s-l140.jpg,"Sold  Feb 9, 2025"
2023-24 Obsidian Soccer - Frank Rijkaard Auto  Lightning Strike Red Flood /10  ,"1,289,250.00 VND",https://www.ebay.com/itm/256800605156,https://i.ebayimg.com/images/g/xGMAAOSwWaJnnR7r/s-l140.jpg,"Sold  Feb 5, 2025"
