Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select FIFA Soccer No 58 Gabriel Menino Rookie Red Prizm,"41,536.41 VND",https://www.ebay.com/itm/316336411529,https://i.ebayimg.com/images/g/WosAAOSwYBVnWhvc/s-l500.jpg,"Sold  Apr 2, 2025"
2023-24 Panini Select FIFA Soccer No 58 Gabriel Menino Rookie Silver Prizm,"41,536.41 VND",https://www.ebay.com/itm/335818191158,https://i.ebayimg.com/images/g/Tu0AAOSwm8xnWhue/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Panini Select FIFA Soccer No 58 Gabriel Menino Rookie Red Prizm,"42,200.99 VND",https://www.ebay.com/itm/316044964229,https://i.ebayimg.com/images/g/WosAAOSwYBVnWhvc/s-l140.jpg,"Sold  Jan 11, 2025"
Panini Donruss Soccer Card 2023-24 No. 200 Gabriel Menino Rated Rookie,"33,229.13 VND",https://www.ebay.com/itm/335757745039,https://i.ebayimg.com/images/g/LuEAAOSwaQZmcq5R/s-l140.jpg,"Sold  Mar 24, 2025"
2023-24 Panini Optic Donruss Soccer No. 200 Gabriel Menino Rated Rookie,"33,229.13 VND",https://www.ebay.com/itm/335760497718,https://i.ebayimg.com/images/g/43kAAOSwECZnSt2h/s-l140.jpg,"Sold  Mar 22, 2025"
Panini Donruss Soccer 2023-24 Card No. 10 Gabriel Menino The Rookies Bronze,"41,868.70 VND",https://www.ebay.com/itm/316172214525,https://i.ebayimg.com/images/g/CxIAAOSwALNm1iaU/s-l140.jpg,"Sold  Mar 22, 2025"
Panini Donruss Soccer 2023-24 No. 200 Gabriel Menino Diamond Refractor SP,"62,803.05 VND",https://www.ebay.com/itm/235939977198,https://i.ebayimg.com/images/g/s7IAAOSw4p1nFjJE/s-l140.jpg,"Sold  Mar 22, 2025"
Panini FIFA 365 2022 Sticker No. 25 Gabriel Menino / Raphael Veiga,"33,229.13 VND",https://www.ebay.com/itm/335872196978,https://i.ebayimg.com/images/g/tboAAOSw8y5haoG-/s-l140.jpg,"Sold  Mar 22, 2025"
Panini FIFA 365 2022 Sticker No. 31 Gabriel Menino – Rising Star,"33,229.13 VND",https://www.ebay.com/itm/335823212020,https://i.ebayimg.com/images/g/tEYAAOSwZz5haoKP/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Panini Select FIFA Gabriel Menino Rookie Terrace Pink Prizm #58/75 G992,"38,677.50 VND",https://www.ebay.com/itm/388013980529,https://i.ebayimg.com/images/g/kkcAAeSw7PhnwiHh/s-l140.jpg,"Sold  Mar 7, 2025"
2023-24 Panini Select FIFA Gabriel Menino RC Terrace Tie-Dye Prizm 16/30 #58,"60,852.60 VND",https://www.ebay.com/itm/396104987503,https://i.ebayimg.com/images/g/SIwAAOSw9~lnfofl/s-l140.jpg,"Sold  Jan 13, 2025"
2023-24 Panini Select FIFA #58 Gabriel Menino Multi-Color,"64,204.65 VND",https://www.ebay.com/itm/296936644887,https://i.ebayimg.com/images/g/ZMUAAOSwL5ZngUzx/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 Panini Select FIFA #58 Gabriel Menino White Prizm /20 RC,"476,764.65 VND",https://www.ebay.com/itm/126760188823,https://i.ebayimg.com/images/g/tMEAAOSwGy9nKaqY/s-l140.jpg,"Sold  Feb 1, 2025"
2023-24 Panini Select FIFA #58 Gabriel Menino Winter Camo #/99,"38,419.65 VND",https://www.ebay.com/itm/296936644845,https://i.ebayimg.com/images/g/YNUAAOSwjLJngU1h/s-l140.jpg,"Sold  Jan 27, 2025"
Gabriel Menino 2023-24 Panini Obsidian Soccer Palmeiras No 183  /40 Orange Etch,"128,925.00 VND",https://www.ebay.com/itm/296952481389,https://i.ebayimg.com/images/g/eagAAOSwNSlncuHu/s-l140.jpg,"Sold  Jan 24, 2025"
